#house;legislative-period;session-number;date of vote;dossier nummer;onder nummer;type;outcome;stemmings type;bron amendement op OB;link amendement HTML op PM;link stemming XML op PM;link stemming in context HTML op PM;bron stemming op OB;nl.p.cda;nl.p.cu;nl.p.d66;nl.p.fractieyildirim;nl.p.gl;nl.p.lidverdonk;nl.p.osf;nl.p.pvda;nl.p.pvdd;nl.p.pvv;nl.p.sgp;nl.p.sp;nl.p.vvd;indiener 1, naam volgens stemming;indiener 1, id volgens stemming;indiener 2, naam volgens stemming;indiener 2, id volgens stemming;titel document volgens stemming
commons;2009-2010;13;2009-10-13;32146;7;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-32146-7.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20092010-950-951.1.9.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20092010-950-951?view=html#nl.proc.ob.d.h-tk-20092010-950-951.1.9.1;https://zoek.officielebekendmakingen.nl/h-tk-20092010-950-951.html;no;no;no;;no;no;;no;aye;no;no;aye;no;Jasper van Dijk;nl.m.03104;;;de motie-Jasper van Dijk over afzien van de invoering van marktwerking in de educatie ( 32146, nr. 7)
commons;2009-2010;13;2009-10-13;30429;;wetsvoorstel;accepted;fractie;https://zoek.officielebekendmakingen.nl/dossier/30429;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20092010-949-950.1.24.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20092010-949-950?view=html#nl.proc.ob.d.h-tk-20092010-949-950.1.24.1;https://zoek.officielebekendmakingen.nl/h-tk-20092010-949-950.html;aye;aye;aye;;aye;aye;;aye;aye;aye;aye;aye;aye;;;;;Wijziging van de Kernenergiewet in verband met vereenvoudiging van het bevoegd gezag, invoering van een verplichting tot financiële zekerheidstelling en enkele andere wijzigingen ( 30429)
commons;2009-2010;13;2009-10-13;30429;32;amendement;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-30429-32.html;http://resolver.politicalmashup.nl/nl.parldoc.d.kst-30429-32?view=html;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20092010-949-950.1.21.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20092010-949-950?view=html#nl.proc.ob.d.h-tk-20092010-949-950.1.21.1;https://zoek.officielebekendmakingen.nl/h-tk-20092010-949-950.html;aye;aye;aye;;aye;no;;aye;aye;no;aye;aye;aye;Jansen;nl.m.03106;;;amendement-Jansen c.s. (stuk nr. 32)
commons;2009-2010;13;2009-10-13;30429;28;amendement;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-30429-28.html;http://resolver.politicalmashup.nl/nl.parldoc.d.kst-30429-28?view=html;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20092010-949-950.1.18.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20092010-949-950?view=html#nl.proc.ob.d.h-tk-20092010-949-950.1.18.1;https://zoek.officielebekendmakingen.nl/h-tk-20092010-949-950.html;no;no;no;;aye;no;;no;aye;no;no;aye;no;Vendrik;nl.m.02245;;;amendement-Vendrik (stuk nr. 28)
commons;2009-2010;13;2009-10-13;30429;29;amendement;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-30429-29.html;http://resolver.politicalmashup.nl/nl.parldoc.d.kst-30429-29?view=html;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20092010-949-950.1.15.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20092010-949-950?view=html#nl.proc.ob.d.h-tk-20092010-949-950.1.15.1;https://zoek.officielebekendmakingen.nl/h-tk-20092010-949-950.html;no;no;aye;;aye;no;;no;aye;no;aye;aye;no;Vendrik;nl.m.02245;;;amendement-Vendrik (stuk nr. 29, I)
commons;2009-2010;13;2009-10-13;30429;24;amendement;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-30429-24.html;http://resolver.politicalmashup.nl/nl.parldoc.d.kst-30429-24?view=html;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20092010-949-950.1.12.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20092010-949-950?view=html#nl.proc.ob.d.h-tk-20092010-949-950.1.12.1;https://zoek.officielebekendmakingen.nl/h-tk-20092010-949-950.html;no;no;no;;aye;no;;no;aye;no;no;aye;no;Jansen;nl.m.03106;;;amendement-Jansen (stuk nr. 24, I)
commons;2009-2010;13;2009-10-13;30429;31;amendement;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-30429-31.html;http://resolver.politicalmashup.nl/nl.parldoc.d.kst-30429-31?view=html;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20092010-949-950.1.9.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20092010-949-950?view=html#nl.proc.ob.d.h-tk-20092010-949-950.1.9.1;https://zoek.officielebekendmakingen.nl/h-tk-20092010-949-950.html;no;no;aye;;aye;no;;no;no;no;no;aye;no;Van der Ham;nl.m.02317;;;amendement-Van der Ham (stuk nr. 31, I)
commons;2009-2010;13;2009-10-13;30429;27;amendement;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-30429-27.html;http://resolver.politicalmashup.nl/nl.parldoc.d.kst-30429-27?view=html;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20092010-949-950.1.6.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20092010-949-950?view=html#nl.proc.ob.d.h-tk-20092010-949-950.1.6.1;https://zoek.officielebekendmakingen.nl/h-tk-20092010-949-950.html;no;no;no;;aye;no;;no;aye;no;no;aye;no;Jansen;nl.m.03106;;;amendement-Jansen (stuk nr. 27)
commons;2009-2010;13;2009-10-13;32123-I;9;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-32123-I-9.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20092010-952-954.1.8.9.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20092010-952-954?view=html#nl.proc.ob.d.h-tk-20092010-952-954.1.8.9.1;https://zoek.officielebekendmakingen.nl/h-tk-20092010-952-954.html;no;no;aye;;aye;aye;;no;aye;aye;no;aye;no;Van Raak;nl.m.03035;;;motie-Van Raak (32123-I, nr. 9)
commons;2009-2010;13;2009-10-13;32123;7;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-32123-7.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20092010-952-954.1.8.12.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20092010-952-954?view=html#nl.proc.ob.d.h-tk-20092010-952-954.1.8.12.1;https://zoek.officielebekendmakingen.nl/h-tk-20092010-952-954.html;no;no;aye;;aye;aye;;no;aye;no;no;aye;no;Van Gent;nl.m.02218;;;de motie-Van Gent over het moment van openbaarmaking van de begrotingsstukken ( 32123 III, nr. 7)
