#house;legislative-period;session-number;date of vote;dossier nummer;onder nummer;type;outcome;stemmings type;bron amendement op OB;link amendement HTML op PM;link stemming XML op PM;link stemming in context HTML op PM;bron stemming op OB;nl.p.cda;nl.p.cu;nl.p.d66;nl.p.gl;nl.p.groeplazrak;nl.p.groepnawijn;nl.p.groepwilders;nl.p.lpf;nl.p.osf;nl.p.pvda;nl.p.sgp;nl.p.sp;nl.p.vvd;indiener 1, naam volgens stemming;indiener 1, id volgens stemming;indiener 2, naam volgens stemming;indiener 2, id volgens stemming;titel document volgens stemming
commons;2004-2005;36;2004-12-16;29800;3;amendement;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-29800-3.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20042005-2405-2406.1.8.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20042005-2405-2406?view=html#nl.proc.ob.d.h-tk-20042005-2405-2406.1.8.1;https://zoek.officielebekendmakingen.nl/h-tk-20042005-2405-2406.html;no;no;no;aye;aye;;no;no;;aye;no;aye;no;Van Velzen;nl.m.02342;;;amendement-Van Velzen (stuk nr. 3)
commons;2004-2005;36;2004-12-16;29800;;wetsvoorstel;accepted;fractie;https://zoek.officielebekendmakingen.nl/dossier/29800;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20042005-2404-2405.1.7.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20042005-2404-2405?view=html#nl.proc.ob.d.h-tk-20042005-2404-2405.1.7.1;https://zoek.officielebekendmakingen.nl/h-tk-20042005-2404-2405.html;aye;aye;aye;aye;aye;;aye;aye;;aye;aye;no;aye;;;;;Vaststelling van de begrotingsstaten van het Ministerie van Defensie (X) voor het jaar 2005 ( 29800-X)
commons;2004-2005;36;2004-12-16;29800-VIII;117;motie;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-29800-VIII-117.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20042005-2403-2404.1.10.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20042005-2403-2404?view=html#nl.proc.ob.d.h-tk-20042005-2403-2404.1.10.1;https://zoek.officielebekendmakingen.nl/h-tk-20042005-2403-2404.html;aye;aye;aye;aye;aye;;aye;aye;;aye;aye;aye;aye;Van Vroonhoven-Kok;nl.m.02346;;;de motie-Van Vroonhoven-Kok c.s. over de restauratie van kanjermonumenten ( 29800-VIII, nr. 117)
commons;2004-2005;36;2004-12-16;29800-VIII;119;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-29800-VIII-119.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20042005-2403-2404.1.13.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20042005-2403-2404?view=html#nl.proc.ob.d.h-tk-20042005-2403-2404.1.13.1;https://zoek.officielebekendmakingen.nl/h-tk-20042005-2403-2404.html;no;no;no;aye;aye;;no;no;;aye;no;aye;no;Vergeer;nl.m.02344;;;de motie-Vergeer over Forum ( 29800-VIII, nr. 119)
commons;2004-2005;36;2004-12-16;29800-VIII;121;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-29800-VIII-121.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20042005-2403-2404.1.16.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20042005-2403-2404?view=html#nl.proc.ob.d.h-tk-20042005-2403-2404.1.16.1;https://zoek.officielebekendmakingen.nl/h-tk-20042005-2403-2404.html;no;no;no;aye;aye;;no;no;;aye;no;aye;no;Vergeer;nl.m.02344;;;de motie-Vergeer c.s. over de pensioenvoorziening voor museale medewerkers van het Zuiderzeemuseum ( 29800-VIII, nr. 121)
commons;2004-2005;36;2004-12-16;29800-VIII;139;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-29800-VIII-139.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20042005-2403-2404.1.19.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20042005-2403-2404?view=html#nl.proc.ob.d.h-tk-20042005-2403-2404.1.19.1;https://zoek.officielebekendmakingen.nl/h-tk-20042005-2403-2404.html;no;no;no;aye;aye;;no;no;;aye;no;aye;no;Halsema;nl.m.02220;;;de motie-Halsema c.s. over reservering van 5,5 mln euro voor "cultuur en economie" ( 29800-VIII, nr. 139)
commons;2004-2005;36;2004-12-16;29800-VIII;123;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-29800-VIII-123.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20042005-2403-2404.1.22.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20042005-2403-2404?view=html#nl.proc.ob.d.h-tk-20042005-2403-2404.1.22.1;https://zoek.officielebekendmakingen.nl/h-tk-20042005-2403-2404.html;no;no;no;aye;aye;;no;no;;aye;no;aye;no;Halsema;nl.m.02220;;;de motie-Halsema over een effectrapportage ( 29800-VIII, nr. 123)
commons;2004-2005;36;2004-12-16;29800-VIII;137;motie;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-29800-VIII-137.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20042005-2403-2404.1.25.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20042005-2403-2404?view=html#nl.proc.ob.d.h-tk-20042005-2403-2404.1.25.1;https://zoek.officielebekendmakingen.nl/h-tk-20042005-2403-2404.html;aye;aye;aye;aye;aye;;aye;aye;;aye;aye;aye;aye;Van Vroonhoven-Kok;nl.m.02346;;;de motie-Van Vroonhoven-Kok c.s. over het wegwerken van de achterstand in de restauratie van monumenten ( 29800-VIII, nr. 137)
commons;2004-2005;36;2004-12-16;29800-VIII;138;motie;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-29800-VIII-138.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20042005-2403-2404.1.28.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20042005-2403-2404?view=html#nl.proc.ob.d.h-tk-20042005-2403-2404.1.28.1;https://zoek.officielebekendmakingen.nl/h-tk-20042005-2403-2404.html;aye;aye;aye;aye;no;;aye;aye;;no;no;aye;aye;Dittrich;nl.m.02512;;;de motie-Dittrich c.s. over verhoging van het indemniteitspercentage ( 29800-VIII, nr. 138)
commons;2004-2005;36;2004-12-16;29800-VIII;140;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-29800-VIII-140.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20042005-2403-2404.1.31.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20042005-2403-2404?view=html#nl.proc.ob.d.h-tk-20042005-2403-2404.1.31.1;https://zoek.officielebekendmakingen.nl/h-tk-20042005-2403-2404.html;no;no;no;aye;aye;;no;aye;;aye;no;aye;no;Halsema;nl.m.02220;;;de motie-Halsema c.s. over waarborging van de jaarlijkse loon- en prijscompensatie ( 29800-VIII, nr. 140)
