#house;legislative-period;session-number;date of vote;dossier nummer;onder nummer;type;outcome;stemmings type;bron amendement op OB;link amendement HTML op PM;link stemming XML op PM;link stemming in context HTML op PM;bron stemming op OB;nl.p.cda;nl.p.cu;nl.p.d66;nl.p.gl;nl.p.groeplazrak;nl.p.groepnawijn;nl.p.groepwilders;nl.p.lpf;nl.p.osf;nl.p.pvda;nl.p.sgp;nl.p.sp;nl.p.vvd;indiener 1, naam volgens stemming;indiener 1, id volgens stemming;indiener 2, naam volgens stemming;indiener 2, id volgens stemming;titel document volgens stemming
commons;2004-2005;2;2004-09-22;27659;34;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-27659-34.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20042005-13-14.1.7.54.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20042005-13-14?view=html#nl.proc.ob.d.h-tk-20042005-13-14.1.7.54.1;https://zoek.officielebekendmakingen.nl/h-tk-20042005-13-14.html;no;no;aye;aye;aye;;no;aye;;aye;no;aye;no;Kant;nl.m.02226;Tonkens;nl.m.02340;de motie-Kant/Tonkens over eisen voor een verdere democratisering van een bestuur ( 27659, nr. 34)
commons;2004-2005;2;2004-09-22;27659;38;motie;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-27659-38.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20042005-13-14.1.7.60.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20042005-13-14?view=html#nl.proc.ob.d.h-tk-20042005-13-14.1.7.60.1;https://zoek.officielebekendmakingen.nl/h-tk-20042005-13-14.html;no;aye;aye;aye;aye;;aye;aye;;aye;aye;aye;no;Heemskerk;nl.m.02461;;;de motie-Heemskerk over een gelijk speelveld voor de verschillende instellingen ( 27659, nr. 38)
commons;2004-2005;2;2004-09-22;27659;36;motie;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-27659-36.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20042005-13-14.1.7.57.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20042005-13-14?view=html#nl.proc.ob.d.h-tk-20042005-13-14.1.7.57.1;https://zoek.officielebekendmakingen.nl/h-tk-20042005-13-14.html;aye;aye;aye;aye;aye;;aye;aye;;aye;aye;aye;aye;Heemskerk;nl.m.02461;;;de motie-Heemskerk over het door instellingen zelf kunnen aanwijzen van belanghebbenden ( 27659, nr. 36)
commons;2004-2005;2;2004-09-22;29621;7;motie;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-29621-7.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20042005-14-15.1.9.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20042005-14-15?view=html#nl.proc.ob.d.h-tk-20042005-14-15.1.9.1;https://zoek.officielebekendmakingen.nl/h-tk-20042005-14-15.html;aye;aye;aye;aye;aye;;aye;aye;;aye;aye;aye;aye;Jan de Vries;nl.m.02373;;;de motie-Jan de Vries c.s. over herstel van de onrechtmatigheid bij het ministerie van OCW ( 29621, nr. 7)
commons;2004-2005;2;2004-09-22;27659;;wetsvoorstel;accepted;fractie;https://zoek.officielebekendmakingen.nl/dossier/27659;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20042005-13-14.1.7.50.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20042005-13-14?view=html#nl.proc.ob.d.h-tk-20042005-13-14.1.7.50.1;https://zoek.officielebekendmakingen.nl/h-tk-20042005-13-14.html;aye;aye;aye;no;aye;;aye;aye;;aye;aye;no;aye;;;;;het wetsvoorstel Vereenvoudiging van het stelsel van overheidsbemoeienis met het aanbod van zorginstellingen (Wet toelating zorginstellingen) ( 27659)
commons;2004-2005;2;2004-09-22;27659;31;amendement;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-27659-31.html;http://resolver.politicalmashup.nl/nl.parldoc.d.kst-27659-31?view=html;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20042005-13-14.1.7.45.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20042005-13-14?view=html#nl.proc.ob.d.h-tk-20042005-13-14.1.7.45.1;https://zoek.officielebekendmakingen.nl/h-tk-20042005-13-14.html;no;aye;no;aye;aye;;no;no;;aye;aye;aye;no;Heemskerk;nl.m.02461;;;amendement-Heemskerk (stuk nr. 31)
commons;2004-2005;2;2004-09-22;27659;41;amendement;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-27659-41.html;http://resolver.politicalmashup.nl/nl.parldoc.d.kst-27659-41?view=html;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20042005-13-14.1.7.40.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20042005-13-14?view=html#nl.proc.ob.d.h-tk-20042005-13-14.1.7.40.1;https://zoek.officielebekendmakingen.nl/h-tk-20042005-13-14.html;no;aye;no;aye;aye;;no;aye;;aye;aye;aye;no;Kant;nl.m.02226;Tonkens;nl.m.02340;amendement-Kant/Tonkens (stuk nr. 41)
commons;2004-2005;2;2004-09-22;27659;44;amendement;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-27659-44.html;http://resolver.politicalmashup.nl/nl.parldoc.d.kst-27659-44?view=html;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20042005-13-14.1.7.37.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20042005-13-14?view=html#nl.proc.ob.d.h-tk-20042005-13-14.1.7.37.1;https://zoek.officielebekendmakingen.nl/h-tk-20042005-13-14.html;no;no;no;aye;aye;;no;aye;;aye;no;aye;no;Kant;nl.m.02226;Tonkens;nl.m.02340;amendement-Kant/Tonkens (stuk nr. 44)
commons;2004-2005;2;2004-09-22;27659;24;amendement;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-27659-24.html;http://resolver.politicalmashup.nl/nl.parldoc.d.kst-27659-24?view=html;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20042005-13-14.1.7.32.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20042005-13-14?view=html#nl.proc.ob.d.h-tk-20042005-13-14.1.7.32.1;https://zoek.officielebekendmakingen.nl/h-tk-20042005-13-14.html;aye;no;no;no;no;;aye;aye;;no;aye;no;aye;Vietsch;nl.m.02372;;;amendement-Vietsch (stuk nr. 24)
commons;2004-2005;2;2004-09-22;27659;23;amendement;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-27659-23.html;http://resolver.politicalmashup.nl/nl.parldoc.d.kst-27659-23?view=html;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20042005-13-14.1.7.28.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20042005-13-14?view=html#nl.proc.ob.d.h-tk-20042005-13-14.1.7.28.1;https://zoek.officielebekendmakingen.nl/h-tk-20042005-13-14.html;aye;no;no;no;no;;aye;aye;;no;no;aye;no;Vietsch;nl.m.02372;;;amendement-Vietsch (stuk nr. 23)
commons;2004-2005;2;2004-09-22;27659;42;amendement;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-27659-42.html;http://resolver.politicalmashup.nl/nl.parldoc.d.kst-27659-42?view=html;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20042005-13-14.1.7.23.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20042005-13-14?view=html#nl.proc.ob.d.h-tk-20042005-13-14.1.7.23.1;https://zoek.officielebekendmakingen.nl/h-tk-20042005-13-14.html;no;aye;no;aye;no;;no;aye;;no;no;aye;no;Kant;nl.m.02226;Tonkens;nl.m.02340;amendement-Kant/Tonkens (stuk nr. 42, I)
commons;2004-2005;2;2004-09-22;27659;40;amendement;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-27659-40.html;http://resolver.politicalmashup.nl/nl.parldoc.d.kst-27659-40?view=html;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20042005-13-14.1.7.18.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20042005-13-14?view=html#nl.proc.ob.d.h-tk-20042005-13-14.1.7.18.1;https://zoek.officielebekendmakingen.nl/h-tk-20042005-13-14.html;no;no;no;aye;no;;no;no;;no;no;aye;no;Kant;nl.m.02226;Tonkens;nl.m.02340;amendement-Kant/Tonkens (stuk nr. 40)
commons;2004-2005;2;2004-09-22;27659;28;amendement;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-27659-28.html;http://resolver.politicalmashup.nl/nl.parldoc.d.kst-27659-28?view=html;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20042005-13-14.1.7.15.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20042005-13-14?view=html#nl.proc.ob.d.h-tk-20042005-13-14.1.7.15.1;https://zoek.officielebekendmakingen.nl/h-tk-20042005-13-14.html;no;aye;no;aye;no;;no;no;;no;no;aye;no;Rouvoet;nl.m.02541;;;amendement-Rouvoet (stuk nr. 28)
commons;2004-2005;2;2004-09-22;27659;39;amendement;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-27659-39.html;http://resolver.politicalmashup.nl/nl.parldoc.d.kst-27659-39?view=html;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20042005-13-14.1.7.10.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20042005-13-14?view=html#nl.proc.ob.d.h-tk-20042005-13-14.1.7.10.1;https://zoek.officielebekendmakingen.nl/h-tk-20042005-13-14.html;aye;aye;aye;aye;aye;;aye;aye;;aye;aye;aye;aye;Van der Vlies;nl.m.02682;;;amendement-Van der Vlies (stuk nr. 39, I)
commons;2004-2005;2;2004-09-22;27659;43;amendement;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-27659-43.html;http://resolver.politicalmashup.nl/nl.parldoc.d.kst-27659-43?view=html;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20042005-13-14.1.7.7.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20042005-13-14?view=html#nl.proc.ob.d.h-tk-20042005-13-14.1.7.7.1;https://zoek.officielebekendmakingen.nl/h-tk-20042005-13-14.html;no;no;no;aye;aye;;no;no;;aye;no;aye;no;Tonkens;nl.m.02340;Kant;nl.m.02226;amendement-Tonkens/Kant (stuk nr. 43, I)
commons;2004-2005;2;2004-09-22;27659;45;amendement;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-27659-45.html;http://resolver.politicalmashup.nl/nl.parldoc.d.kst-27659-45?view=html;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20042005-13-14.1.7.4.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20042005-13-14?view=html#nl.proc.ob.d.h-tk-20042005-13-14.1.7.4.1;https://zoek.officielebekendmakingen.nl/h-tk-20042005-13-14.html;aye;aye;no;no;aye;;aye;aye;;aye;aye;no;aye;Weekers;nl.m.02247;;;amendement-Weekers (stuk nr. 45)
commons;2004-2005;2;2004-09-22;29469;;wetsvoorstel;accepted;fractie;https://zoek.officielebekendmakingen.nl/dossier/29469;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20042005-15-15.1.8.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20042005-15-15?view=html#nl.proc.ob.d.h-tk-20042005-15-15.1.8.1;https://zoek.officielebekendmakingen.nl/h-tk-20042005-15-15.html;aye;aye;aye;no;aye;;aye;aye;;aye;aye;no;aye;;;;;Regels met betrekking tot het verstrekken van een brede doeluitkering aan provincies en regionaal openbare lichamen ten behoeve van de uitvoering van een integraal verkeer- en vervoerbeleid (Wet BDU verkeer en vervoer) ( 29469)
commons;2004-2005;2;2004-09-22;29621;6;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-29621-6.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20042005-14-15.1.6.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20042005-14-15?view=html#nl.proc.ob.d.h-tk-20042005-14-15.1.6.1;https://zoek.officielebekendmakingen.nl/h-tk-20042005-14-15.html;no;no;no;aye;aye;;aye;aye;;aye;no;aye;no;Hamer;nl.m.02221;;;de motie-Hamer c.s. over incidenten bij het ministerie van OCW ( 29621, nr. 6)
senate;2004-2005;1;2004-09-28;28831;;motie;accepted;fractie;https://zoek.officielebekendmakingen.nl/dossier/28831;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-ek-20042005-2-2.1.6.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-ek-20042005-2-2?view=html#nl.proc.ob.d.h-ek-20042005-2-2.1.6.1;https://zoek.officielebekendmakingen.nl/h-ek-20042005-2-2.html;aye;aye;aye;aye;;;;aye;aye;aye;aye;aye;aye;Bemelmans-Videc;nl.m.02260;;;de motie-Bemelmans-Videc c.s. over de maatschappelijke effectiviteit in kwalitatieve zin tot speerpunt maken van onderzoek- en handhavingsactiviteiten van inspecties ( 28831, B)
senate;2004-2005;1;2004-09-28;28831;;motie;accepted;fractie;https://zoek.officielebekendmakingen.nl/dossier/28831;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-ek-20042005-2-2.1.9.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-ek-20042005-2-2?view=html#nl.proc.ob.d.h-ek-20042005-2-2.1.9.1;https://zoek.officielebekendmakingen.nl/h-ek-20042005-2-2.html;aye;aye;aye;aye;;;;aye;aye;aye;aye;aye;aye;Bemelmans-Videc;nl.m.02260;;;de motie-Bemelmans-Videc c.s. over de maatschappelijke effectiviteit in kwalitatieve zin tot speerpunt maken van onderzoek- en handhavingsactiviteiten van inspecties ( 28831, B)
commons;2004-2005;5;2004-09-29;29800;17;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-29800-17.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20042005-192-194.1.10.33.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20042005-192-194?view=html#nl.proc.ob.d.h-tk-20042005-192-194.1.10.33.1;https://zoek.officielebekendmakingen.nl/h-tk-20042005-192-194.html;no;aye;no;aye;aye;;no;no;;aye;aye;aye;no;Halsema;nl.m.02220;;;de motie-Halsema c.s. over de verdere vergroening van de belastingen en stimulering van milieuvriendelijke technologie en gedrag ( 29800, nr. 17)
commons;2004-2005;5;2004-09-29;29800;18;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-29800-18.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20042005-192-194.1.10.36.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20042005-192-194?view=html#nl.proc.ob.d.h-tk-20042005-192-194.1.10.36.1;https://zoek.officielebekendmakingen.nl/h-tk-20042005-192-194.html;no;no;no;aye;aye;;no;no;;aye;no;aye;no;Halsema;nl.m.02220;Bos;nl.m.02212;de motie-Halsema/Bos over het toevoegen van vrijvallende rente-uitgaven aan de begroting OCW ( 29800, nr. 18)
commons;2004-2005;5;2004-09-29;29800;26;motie;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-29800-26.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20042005-192-194.1.10.39.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20042005-192-194?view=html#nl.proc.ob.d.h-tk-20042005-192-194.1.10.39.1;https://zoek.officielebekendmakingen.nl/h-tk-20042005-192-194.html;aye;aye;aye;aye;aye;;aye;aye;;aye;aye;aye;aye;Halsema;nl.m.02220;;;de motie-Halsema c.s. over Sudan ( 29800, nr. 26)
commons;2004-2005;5;2004-09-29;29800;20;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-29800-20.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20042005-192-194.1.10.42.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20042005-192-194?view=html#nl.proc.ob.d.h-tk-20042005-192-194.1.10.42.1;https://zoek.officielebekendmakingen.nl/h-tk-20042005-192-194.html;no;aye;no;aye;aye;;no;no;;aye;aye;no;no;Rouvoet;nl.m.02541;;;de motie-Rouvoet c.s. over de koopkrachtreparaties voor gezinnen, chronisch zieken en gehandicapten ( 29800, nr. 20)
commons;2004-2005;5;2004-09-29;29800;21;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-29800-21.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20042005-192-194.1.10.45.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20042005-192-194?view=html#nl.proc.ob.d.h-tk-20042005-192-194.1.10.45.1;https://zoek.officielebekendmakingen.nl/h-tk-20042005-192-194.html;no;aye;no;aye;aye;;no;no;;aye;aye;aye;no;Rouvoet;nl.m.02541;;;de motie-Rouvoet c.s. over een eco-efficiënte economie ( 29800, nr. 21)
commons;2004-2005;5;2004-09-29;29800;22;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-29800-22.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20042005-192-194.1.10.48.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20042005-192-194?view=html#nl.proc.ob.d.h-tk-20042005-192-194.1.10.48.1;https://zoek.officielebekendmakingen.nl/h-tk-20042005-192-194.html;no;aye;no;aye;aye;;no;no;;aye;aye;aye;no;Van der Vlies;nl.m.02682;;;de motie-Van der Vlies over de invoering van een pleziervaartuigenbelasting ( 29800, nr. 22)
commons;2004-2005;5;2004-09-29;29800;23;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-29800-23.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20042005-192-194.1.10.51.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20042005-192-194?view=html#nl.proc.ob.d.h-tk-20042005-192-194.1.10.51.1;https://zoek.officielebekendmakingen.nl/h-tk-20042005-192-194.html;no;aye;no;no;no;;aye;aye;;no;aye;no;no;Wilders;nl.m.02258;;;de motie-Wilders over het nooit laten toetreden van Turkije tot de Europese Unie ( 29800, nr. 23)
commons;2004-2005;5;2004-09-29;29800;24;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-29800-24.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20042005-192-194.1.10.54.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20042005-192-194?view=html#nl.proc.ob.d.h-tk-20042005-192-194.1.10.54.1;https://zoek.officielebekendmakingen.nl/h-tk-20042005-192-194.html;no;no;no;no;no;;aye;aye;;no;no;no;no;Wilders;nl.m.02258;Herben;nl.m.02353;de motie-Wilders/Herben over het verbieden van gezinsvorming en gezinshereniging voor een periode van vijf jaar voor niet-westerse immigranten ( 29800, nr. 24)
commons;2004-2005;5;2004-09-29;29800;25;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-29800-25.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20042005-192-194.1.10.57.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20042005-192-194?view=html#nl.proc.ob.d.h-tk-20042005-192-194.1.10.57.1;https://zoek.officielebekendmakingen.nl/h-tk-20042005-192-194.html;no;no;no;no;no;;aye;aye;;no;no;no;no;Wilders;nl.m.02258;Herben;nl.m.02353;de motie-Wilders/Herben over het invoeren van een systeem van "na drie misdrijven levenslang" ( 29800, nr. 25)
commons;2004-2005;5;2004-09-29;29800;16;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-29800-16.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20042005-192-194.1.10.30.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20042005-192-194?view=html#nl.proc.ob.d.h-tk-20042005-192-194.1.10.30.1;https://zoek.officielebekendmakingen.nl/h-tk-20042005-192-194.html;no;aye;no;aye;aye;;no;aye;;aye;aye;aye;no;Halsema;nl.m.02220;;;de motie-Halsema c.s. over de koopkrachtontwikkeling van chronisch zieken en gehandicapten ( 29800, nr. 16)
commons;2004-2005;5;2004-09-29;29800;15;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-29800-15.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20042005-192-194.1.10.27.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20042005-192-194?view=html#nl.proc.ob.d.h-tk-20042005-192-194.1.10.27.1;https://zoek.officielebekendmakingen.nl/h-tk-20042005-192-194.html;no;no;no;aye;aye;;no;no;;aye;no;aye;no;Marijnissen;nl.m.02529;;;de motie-Marijnissen c.s. over het ongedaan maken van de geplande bezuinigingen op het Muziek Centrum van de Omroep ( 29800, nr. 15)
commons;2004-2005;5;2004-09-29;29800;4;motie;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-29800-4.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20042005-192-194.1.9.3.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20042005-192-194?view=html#nl.proc.ob.d.h-tk-20042005-192-194.1.9.3.1;https://zoek.officielebekendmakingen.nl/h-tk-20042005-192-194.html;aye;no;aye;no;no;;aye;aye;;no;aye;no;aye;Verhagen;nl.m.02920;;;de motie-Verhagen c.s. over wijzigingen in de begroting 2005 en volgende jaren ( 29800, nr. 4)
commons;2004-2005;5;2004-09-29;29800;5;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-29800-5.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20042005-192-194.1.10.3.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20042005-192-194?view=html#nl.proc.ob.d.h-tk-20042005-192-194.1.10.3.1;https://zoek.officielebekendmakingen.nl/h-tk-20042005-192-194.html;no;aye;no;aye;aye;;no;no;;aye;no;aye;no;Bos;nl.m.02212;;;de motie-Bos c.s. over het aanpassen van de begrotingsvoorstellen op diverse punten, over heropening van het overleg met vakbonden en werkgevers en over de dekking van deze voorstellen ( 29800, nr. 5)
commons;2004-2005;5;2004-09-29;29800;6;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-29800-6.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20042005-192-194.1.10.6.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20042005-192-194?view=html#nl.proc.ob.d.h-tk-20042005-192-194.1.10.6.1;https://zoek.officielebekendmakingen.nl/h-tk-20042005-192-194.html;no;aye;no;aye;aye;;no;aye;;aye;no;aye;no;Bos;nl.m.02212;;;de motie-Bos c.s. over het aanpassen van de voorstellen ten aanzien van VUT/prepensioen/levensloop ( 29800, nr. 6)
commons;2004-2005;5;2004-09-29;29800;8;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-29800-8.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20042005-192-194.1.10.9.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20042005-192-194?view=html#nl.proc.ob.d.h-tk-20042005-192-194.1.10.9.1;https://zoek.officielebekendmakingen.nl/h-tk-20042005-192-194.html;no;aye;no;aye;aye;;no;no;;aye;aye;aye;no;Bos;nl.m.02212;;;de motie-Bos c.s. over de voorgenomen bezuinigingen op de justitiële jeugdinrichtingen en de gezinsvoogdij en meer intensieve extra- en intramurale hulp aan jongeren in problemen ( 29800, nr. 8)
commons;2004-2005;5;2004-09-29;29800;9;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-29800-9.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20042005-192-194.1.10.12.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20042005-192-194?view=html#nl.proc.ob.d.h-tk-20042005-192-194.1.10.12.1;https://zoek.officielebekendmakingen.nl/h-tk-20042005-192-194.html;no;no;no;no;no;;no;aye;;no;no;no;no;Herben;nl.m.02353;;;de motie-Herben c.s. over het houden van een referendum over eventuele toetreding van Turkije tot de Europese Unie ( 29800, nr. 9)
commons;2004-2005;5;2004-09-29;29800;10;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-29800-10.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20042005-192-194.1.10.15.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20042005-192-194?view=html#nl.proc.ob.d.h-tk-20042005-192-194.1.10.15.1;https://zoek.officielebekendmakingen.nl/h-tk-20042005-192-194.html;no;no;no;no;no;;no;aye;;no;no;aye;no;Herben;nl.m.02353;;;de motie-Herben over het instellen van een parlementair onderzoek naar de effectiviteit van de Nederlandse ontwikkelingshulp in de afgelopen dertig jaar ( 29800, nr. 10)
commons;2004-2005;5;2004-09-29;29800;11;motie;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-29800-11.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20042005-192-194.1.10.18.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20042005-192-194?view=html#nl.proc.ob.d.h-tk-20042005-192-194.1.10.18.1;https://zoek.officielebekendmakingen.nl/h-tk-20042005-192-194.html;aye;aye;aye;aye;aye;;aye;aye;;aye;aye;aye;aye;Herben;nl.m.02353;;;de motie-Herben over de mogelijkheden om na veertig dienstjaren in een slijtend beroep vervroegd met pensioen te kunnen gaan ( 29800, nr. 11)
commons;2004-2005;5;2004-09-29;29800;12;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-29800-12.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20042005-192-194.1.10.21.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20042005-192-194?view=html#nl.proc.ob.d.h-tk-20042005-192-194.1.10.21.1;https://zoek.officielebekendmakingen.nl/h-tk-20042005-192-194.html;no;aye;no;aye;aye;;no;aye;;aye;no;aye;no;Herben;nl.m.02353;;;de motie-Herben over het collectief sparen voor deeltijdpensioen binnen de levensloopregeling zonder mogelijkheid van opting out ( 29800, nr. 12)
commons;2004-2005;5;2004-09-29;29800;14;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-29800-14.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20042005-192-194.1.10.24.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20042005-192-194?view=html#nl.proc.ob.d.h-tk-20042005-192-194.1.10.24.1;https://zoek.officielebekendmakingen.nl/h-tk-20042005-192-194.html;no;no;no;aye;aye;;no;no;;aye;no;aye;no;Marijnissen;nl.m.02529;;;de motie-Marijnissen c.s. over het terugdraaien van de bezuiniging op cultuur ( 29800, nr. 14)
commons;2004-2005;7;2004-10-05;28167;18;amendement;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-28167-18.html;http://resolver.politicalmashup.nl/nl.parldoc.d.kst-28167-18?view=html;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20042005-287-287.1.18.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20042005-287-287?view=html#nl.proc.ob.d.h-tk-20042005-287-287.1.18.1;https://zoek.officielebekendmakingen.nl/h-tk-20042005-287-287.html;no;no;no;aye;aye;;no;no;;aye;no;aye;no;Stuurman;nl.m.02465;Van Gent;nl.m.02218;amendement-Stuurman/Van Gent (stuk nr. 18)
