#house;legislative-period;session-number;date of vote;dossier nummer;onder nummer;type;outcome;stemmings type;bron amendement op OB;link amendement HTML op PM;link stemming XML op PM;link stemming in context HTML op PM;bron stemming op OB;nl.p.aov;nl.p.cd;nl.p.cda;nl.p.d66;nl.p.fractiebierman;nl.p.fractiehendriks;nl.p.gl;nl.p.gpv;nl.p.groephendriks;nl.p.groepnijpels;nl.p.ou55plus;nl.p.pvda;nl.p.rpf;nl.p.sgp;nl.p.sp;nl.p.vvd;indiener 1, naam volgens stemming;indiener 1, id volgens stemming;indiener 2, naam volgens stemming;indiener 2, id volgens stemming;titel document volgens stemming
commons;1995-1996;83;1996-05-21;24552:,24553;20;motie;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-24552:,24553-20.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19951996-83-5585-5587.1.9.23.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19951996-83-5585-5587?view=html#nl.proc.ob.d.h-tk-19951996-83-5585-5587.1.9.23.1;https://zoek.officielebekendmakingen.nl/h-tk-19951996-83-5585-5587.html;aye;aye;aye;aye;;;aye;aye;aye;aye;aye;aye;aye;aye;aye;aye;Remkes;nl.m.02991;;;motie-Remkes c.s. (24552, 24553, nr. 20)
commons;1995-1996;83;1996-05-21;24552:,24553;21;motie;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-24552:,24553-21.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19951996-83-5585-5587.1.9.26.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19951996-83-5585-5587?view=html#nl.proc.ob.d.h-tk-19951996-83-5585-5587.1.9.26.1;https://zoek.officielebekendmakingen.nl/h-tk-19951996-83-5585-5587.html;aye;aye;aye;aye;;;aye;aye;aye;aye;aye;aye;aye;aye;aye;aye;Remkes;nl.m.02991;;;motie-Remkes c.s. (24552, 24553, nr. 21)
commons;1995-1996;83;1996-05-21;24552:,24553;22;motie;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-24552:,24553-22.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19951996-83-5585-5587.1.9.29.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19951996-83-5585-5587?view=html#nl.proc.ob.d.h-tk-19951996-83-5585-5587.1.9.29.1;https://zoek.officielebekendmakingen.nl/h-tk-19951996-83-5585-5587.html;aye;aye;aye;aye;;;aye;aye;aye;aye;aye;aye;aye;aye;aye;aye;Hoekema;nl.m.02520;;;motie-Hoekema c.s. (24552, 24553, nr. 22)
commons;1995-1996;86;1996-05-29;24571;56;amendement;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-24571-56.html;http://resolver.politicalmashup.nl/nl.parldoc.d.kst-24571-56?view=html;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19951996-86-5783-5788.1.9.80.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19951996-86-5783-5788?view=html#nl.proc.ob.d.h-tk-19951996-86-5783-5788.1.9.80.1;https://zoek.officielebekendmakingen.nl/h-tk-19951996-86-5783-5788.html;aye;no;aye;aye;;;aye;aye;no;aye;no;aye;aye;aye;aye;aye;Van Heemst;nl.m.02887;;;amendement-Van Heemst c.s. (stuk nr. 56)
commons;1995-1996;86;1996-05-29;24571;15;amendement;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-24571-15.html;http://resolver.politicalmashup.nl/nl.parldoc.d.kst-24571-15?view=html;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19951996-86-5783-5788.1.9.77.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19951996-86-5783-5788?view=html#nl.proc.ob.d.h-tk-19951996-86-5783-5788.1.9.77.1;https://zoek.officielebekendmakingen.nl/h-tk-19951996-86-5783-5788.html;aye;no;no;no;;;aye;aye;aye;aye;no;no;aye;aye;aye;no;Schutte;nl.m.02676;;;amendement-Schutte (stuk nr. 15)
commons;1995-1996;86;1996-05-29;24571;51;amendement;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-24571-51.html;http://resolver.politicalmashup.nl/nl.parldoc.d.kst-24571-51?view=html;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19951996-86-5783-5788.1.9.70.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19951996-86-5783-5788?view=html#nl.proc.ob.d.h-tk-19951996-86-5783-5788.1.9.70.1;https://zoek.officielebekendmakingen.nl/h-tk-19951996-86-5783-5788.html;aye;no;aye;no;;;aye;aye;aye;aye;no;aye;aye;aye;aye;aye;Verhagen;nl.m.02920;Koekkoek;nl.m.02524;amendement-Verhagen/Koekkoek (stuk nr. 51)
commons;1995-1996;86;1996-05-29;24571;65;amendement;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-24571-65.html;http://resolver.politicalmashup.nl/nl.parldoc.d.kst-24571-65?view=html;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19951996-86-5783-5788.1.9.61.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19951996-86-5783-5788?view=html#nl.proc.ob.d.h-tk-19951996-86-5783-5788.1.9.61.1;https://zoek.officielebekendmakingen.nl/h-tk-19951996-86-5783-5788.html;no;no;aye;aye;;;aye;no;aye;aye;no;aye;no;no;aye;aye;Verhagen;nl.m.02920;;;amendement-Verhagen (stuk nr. 65, I)
commons;1995-1996;86;1996-05-29;24571;67;amendement;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-24571-67.html;http://resolver.politicalmashup.nl/nl.parldoc.d.kst-24571-67?view=html;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19951996-86-5783-5788.1.9.58.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19951996-86-5783-5788?view=html#nl.proc.ob.d.h-tk-19951996-86-5783-5788.1.9.58.1;https://zoek.officielebekendmakingen.nl/h-tk-19951996-86-5783-5788.html;aye;no;aye;aye;;;aye;aye;no;aye;no;aye;aye;aye;aye;no;Van Heemst;nl.m.02887;;;amendement-Van Heemst (stuk nr. 67, I)
commons;1995-1996;86;1996-05-29;24571;47;amendement;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-24571-47.html;http://resolver.politicalmashup.nl/nl.parldoc.d.kst-24571-47?view=html;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19951996-86-5783-5788.1.9.52.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19951996-86-5783-5788?view=html#nl.proc.ob.d.h-tk-19951996-86-5783-5788.1.9.52.1;https://zoek.officielebekendmakingen.nl/h-tk-19951996-86-5783-5788.html;aye;no;aye;aye;;;aye;no;no;no;no;aye;no;no;aye;aye;Hoekema;nl.m.02520;;;amendement-Hoekema c.s. (stuk nr. 47, I)
commons;1995-1996;86;1996-05-29;24571;54;amendement;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-24571-54.html;http://resolver.politicalmashup.nl/nl.parldoc.d.kst-24571-54?view=html;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19951996-86-5783-5788.1.9.49.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19951996-86-5783-5788?view=html#nl.proc.ob.d.h-tk-19951996-86-5783-5788.1.9.49.1;https://zoek.officielebekendmakingen.nl/h-tk-19951996-86-5783-5788.html;aye;no;aye;no;;;aye;aye;aye;aye;no;aye;aye;aye;aye;aye;Van der Vlies;nl.m.02682;;;amendement-Van der Vlies (stuk nr. 54, I)
