house	legislative-period	session-number	date of vote	dossier nummer	onder nummer	type	outcome	stemmings type	bron amendement op OB	link amendement HTML op PM	link stemming XML op PM	link stemming in context HTML op PM	bron stemming op OB	nl.p.cda	nl.p.cu	nl.p.d66	nl.p.gl	nl.p.groepeerdmansvanschijndel	nl.p.groeplazrak	nl.p.groepnawijn	nl.p.groepvanoudenallen	nl.p.groepwilders	nl.p.lpf	nl.p.osf	nl.p.pvda	nl.p.sgp	nl.p.sp	nl.p.vvd	indiener 1, naam volgens stemming	indiener 1, id volgens stemming	indiener 2, naam volgens stemming	indiener 2, id volgens stemming	titel document volgens stemming
commons	2005-2006	34	2005-12-14	19637	998	motie	rejected	fractie	https://zoek.officielebekendmakingen.nl/kst-19637-998.html		http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-2414-2415.1.21.1	http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-2414-2415?view=html#nl.proc.ob.d.h-tk-20052006-2414-2415.1.21.1	https://zoek.officielebekendmakingen.nl/h-tk-20052006-2414-2415.html	no	aye	aye	aye		no	no		no	no		aye	aye	aye	no	Huizinga-Heringa	nl.m.02320			de motie-Huizinga-Heringa c.s. over een regelmatige vorm van informatievoorziening t.a.v. de situatie van asielzoekers in het land van herkomst ( 19637, nr. 998)
commons	2005-2006	34	2005-12-14	19673	993	motie	rejected	fractie	https://zoek.officielebekendmakingen.nl/kst-19673-993.html		http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-2414-2415.1.6.1	http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-2414-2415?view=html#nl.proc.ob.d.h-tk-20052006-2414-2415.1.6.1	https://zoek.officielebekendmakingen.nl/h-tk-20052006-2414-2415.html	no	aye	no	aye		no	no		no	no		aye	no	aye	no	Klaas de Vries	nl.m.01724			motie-Klaas de Vries c.s. (19673, nr. 993)
commons	2005-2006	34	2005-12-14	19637	996	motie	rejected	fractie	https://zoek.officielebekendmakingen.nl/kst-19637-996.html		http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-2414-2415.1.9.1	http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-2414-2415?view=html#nl.proc.ob.d.h-tk-20052006-2414-2415.1.9.1	https://zoek.officielebekendmakingen.nl/h-tk-20052006-2414-2415.html	no	no	aye	aye		no	no		no	no		aye	no	aye	no	Lambrechts	nl.m.02526			de motie-Lambrechts over het instellen van een parlementair onderzoek ( 19637, nr. 996)
commons	2005-2006	35	2005-12-15	30300 B	13	amendement	rejected	fractie	https://zoek.officielebekendmakingen.nl/kst-30300 B-13.html		http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-2432-2432.1.15.1	http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-2432-2432?view=html#nl.proc.ob.d.h-tk-20052006-2432-2432.1.15.1	https://zoek.officielebekendmakingen.nl/h-tk-20052006-2432-2432.html	no	aye	aye	aye		aye	no		no	no		aye	aye	aye	no	Dubbelboer	nl.m.02407			amendement-Dubbelboer (stuk nr. 13)
commons	2005-2006	35	2005-12-15	30300		wetsvoorstel	accepted	fractie	https://zoek.officielebekendmakingen.nl/dossier/30300		http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-2432-2432.1.21.1	http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-2432-2432?view=html#nl.proc.ob.d.h-tk-20052006-2432-2432.1.21.1	https://zoek.officielebekendmakingen.nl/h-tk-20052006-2432-2432.html	aye	aye	aye	aye		aye	aye		aye	aye		aye	aye	aye	aye					Vaststelling van de begrotingsstaat van het gemeentefonds voor het jaar 2006 ( 30300 B)
commons	2005-2006	35	2005-12-15	30300 C	5	amendement	rejected	fractie	https://zoek.officielebekendmakingen.nl/kst-30300 C-5.html		http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-2432-2433.1.7.1	http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-2432-2433?view=html#nl.proc.ob.d.h-tk-20052006-2432-2433.1.7.1	https://zoek.officielebekendmakingen.nl/h-tk-20052006-2432-2433.html	no	aye	no	aye		aye	no		no	no		aye	aye	aye	no	Dubbelboer	nl.m.02407			amendement-Dubbelboer (stuk nr. 5)
commons	2005-2006	35	2005-12-15	30300 B	12	amendement	rejected	fractie	https://zoek.officielebekendmakingen.nl/kst-30300 B-12.html		http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-2432-2432.1.9.1	http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-2432-2432?view=html#nl.proc.ob.d.h-tk-20052006-2432-2432.1.9.1	https://zoek.officielebekendmakingen.nl/h-tk-20052006-2432-2432.html	no	no	no	aye		aye	no		no	no		aye	no	aye	no	De Wit	nl.m.02940			amendement-De Wit (stuk nr. 12)
commons	2005-2006	35	2005-12-15	30300 B	8	amendement	rejected	fractie	https://zoek.officielebekendmakingen.nl/kst-30300 B-8.html		http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-2432-2432.1.6.1	http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-2432-2432?view=html#nl.proc.ob.d.h-tk-20052006-2432-2432.1.6.1	https://zoek.officielebekendmakingen.nl/h-tk-20052006-2432-2432.html	no	no	no	aye		aye	no		no	no		aye	no	aye	no	Noorman-den Uyl	nl.m.02531			amendement-Noorman-den Uyl (stuk nr. 8, I)
commons	2005-2006	35	2005-12-15	30300		wetsvoorstel	accepted	fractie	https://zoek.officielebekendmakingen.nl/dossier/30300		http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-2431-2432.1.48.1	http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-2431-2432?view=html#nl.proc.ob.d.h-tk-20052006-2431-2432.1.48.1	https://zoek.officielebekendmakingen.nl/h-tk-20052006-2431-2432.html	aye	aye	aye	aye		aye	aye		aye	aye		aye	aye	aye	aye					Vaststelling van de begrotingsstaat van het Infrastructuurfonds voor het jaar 2006 ( 30300 A)
commons	2005-2006	35	2005-12-15	30300 A	23	amendement	accepted	fractie	https://zoek.officielebekendmakingen.nl/kst-30300 A-23.html		http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-2431-2432.1.39.1	http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-2431-2432?view=html#nl.proc.ob.d.h-tk-20052006-2431-2432.1.39.1	https://zoek.officielebekendmakingen.nl/h-tk-20052006-2431-2432.html	aye	aye	aye	aye		aye	aye		aye	aye		aye	aye	aye	aye	Van der Staaij	nl.m.02252			amendement-Van der Staaij (stuk nr. 23)
