house	legislative-period	session-number	date of vote	dossier nummer	onder nummer	type	outcome	stemmings type	bron amendement op OB	link amendement HTML op PM	link stemming XML op PM	link stemming in context HTML op PM	bron stemming op OB	nl.p.cda	nl.p.cu	nl.p.d66	nl.p.gl	nl.p.groepeerdmansvanschijndel	nl.p.groeplazrak	nl.p.groepnawijn	nl.p.groepvanoudenallen	nl.p.groepwilders	nl.p.lpf	nl.p.osf	nl.p.pvda	nl.p.sgp	nl.p.sp	nl.p.vvd	indiener 1, naam volgens stemming	indiener 1, id volgens stemming	indiener 2, naam volgens stemming	indiener 2, id volgens stemming	titel document volgens stemming
commons	2005-2006	3	2005-09-22	30300	30	motie	rejected	fractie	https://zoek.officielebekendmakingen.nl/kst-30300-30.html		http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-158-161.1.8.69.1	http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-158-161?view=html#nl.proc.ob.d.h-tk-20052006-158-161.1.8.69.1	https://zoek.officielebekendmakingen.nl/h-tk-20052006-158-161.html	no	aye	no	aye		no	no		no	no		no	aye	aye	no	Rouvoet	nl.m.02541			de motie-Rouvoet over het stimuleren van studenten tot verrichten van vrijwilligerswerk ( 30300, nr. 30)
commons	2005-2006	3	2005-09-22	30300	20	motie	rejected	fractie	https://zoek.officielebekendmakingen.nl/kst-30300-20.html		http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-158-161.1.8.39.1	http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-158-161?view=html#nl.proc.ob.d.h-tk-20052006-158-161.1.8.39.1	https://zoek.officielebekendmakingen.nl/h-tk-20052006-158-161.html	no	no	aye	aye		no	no		no	no		no	no	aye	no	Halsema	nl.m.02220	Marijnissen	nl.m.02529	de motie-Halsema/Marijnissen over verplichtstellen van de werkgeversbijdrage voor kinderopvang ( 30300, nr. 20)
commons	2005-2006	3	2005-09-22	30300	21	motie	rejected	fractie	https://zoek.officielebekendmakingen.nl/kst-30300-21.html		http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-158-161.1.8.42.1	http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-158-161?view=html#nl.proc.ob.d.h-tk-20052006-158-161.1.8.42.1	https://zoek.officielebekendmakingen.nl/h-tk-20052006-158-161.html	no	aye	aye	aye		no	no		no	no		aye	aye	aye	no	Halsema	nl.m.02220			de motie-Halsema c.s. over bevordering van eerlijke handel in cacao ( 30300, nr. 21)
commons	2005-2006	3	2005-09-22	30300	22	motie	accepted	fractie	https://zoek.officielebekendmakingen.nl/kst-30300-22.html		http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-158-161.1.8.45.1	http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-158-161?view=html#nl.proc.ob.d.h-tk-20052006-158-161.1.8.45.1	https://zoek.officielebekendmakingen.nl/h-tk-20052006-158-161.html	aye	aye	aye	aye		aye	aye		aye	aye		aye	aye	aye	aye	Dittrich	nl.m.02512			de motie-Dittrich c.s. over versnelde inrichting van Het Groene Hart als Nationaal Landschap ( 30300, nr. 22)
commons	2005-2006	3	2005-09-22	30300	23	motie	accepted	fractie	https://zoek.officielebekendmakingen.nl/kst-30300-23.html		http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-158-161.1.8.48.1	http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-158-161?view=html#nl.proc.ob.d.h-tk-20052006-158-161.1.8.48.1	https://zoek.officielebekendmakingen.nl/h-tk-20052006-158-161.html	aye	aye	aye	aye		aye	aye		aye	aye		aye	aye	aye	aye	Dittrich	nl.m.02512			de motie-Dittrich c.s. over bevordering van de doorstroom van leerkrachten van primair onderwijs naar het voortgezet onderwijs ( 30300, nr. 23)
commons	2005-2006	3	2005-09-22	30300	24	motie	accepted	fractie	https://zoek.officielebekendmakingen.nl/kst-30300-24.html		http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-158-161.1.8.51.1	http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-158-161?view=html#nl.proc.ob.d.h-tk-20052006-158-161.1.8.51.1	https://zoek.officielebekendmakingen.nl/h-tk-20052006-158-161.html	aye	aye	aye	aye		aye	aye		aye	aye		aye	aye	aye	aye	Dittrich	nl.m.02512			de motie-Dittrich c.s. over de zorgtoeslag ( 30300, nr. 24)
commons	2005-2006	3	2005-09-22	30300	25	motie	accepted	fractie	https://zoek.officielebekendmakingen.nl/kst-30300-25.html		http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-158-161.1.8.54.1	http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-158-161?view=html#nl.proc.ob.d.h-tk-20052006-158-161.1.8.54.1	https://zoek.officielebekendmakingen.nl/h-tk-20052006-158-161.html	aye	aye	aye	aye		aye	aye		aye	aye		aye	aye	aye	aye	Dittrich	nl.m.02512			de motie-Dittrich c.s. over verhoging van de basisbeurs ( 30300, nr. 25)
commons	2005-2006	3	2005-09-22	30300	26	motie	accepted	fractie	https://zoek.officielebekendmakingen.nl/kst-30300-26.html		http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-158-161.1.8.57.1	http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-158-161?view=html#nl.proc.ob.d.h-tk-20052006-158-161.1.8.57.1	https://zoek.officielebekendmakingen.nl/h-tk-20052006-158-161.html	aye	no	no	no		no	aye		aye	aye		no	no	no	aye	Van As	nl.m.02327			de motie-Van As c.s. over een tegenprestatie van mensen die een bijstandsuitkering genieten ( 30300, nr. 26)
commons	2005-2006	3	2005-09-22	29283	27	motie	rejected	fractie	https://zoek.officielebekendmakingen.nl/kst-29283-27.html		http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-158-161.1.8.60.1	http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-158-161?view=html#nl.proc.ob.d.h-tk-20052006-158-161.1.8.60.1	https://zoek.officielebekendmakingen.nl/h-tk-20052006-158-161.html	no	no	no	no		no	aye		aye	aye		no	no	no	aye	Van As	nl.m.02327			motie-Van As (29283, nr. 27)
commons	2005-2006	3	2005-09-22	30300	28	motie	accepted	fractie	https://zoek.officielebekendmakingen.nl/kst-30300-28.html		http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-158-161.1.8.63.1	http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-158-161?view=html#nl.proc.ob.d.h-tk-20052006-158-161.1.8.63.1	https://zoek.officielebekendmakingen.nl/h-tk-20052006-158-161.html	aye	aye	aye	aye		aye	aye		aye	aye		aye	aye	aye	aye	Rouvoet	nl.m.02541			de motie-Rouvoet c.s. over onderzoek naar laten vervallen van verplichte sociale verzekeringen voor studenten en scholieren ( 30300, nr. 28)
commons	2005-2006	3	2005-09-22	30300	29	motie	rejected	fractie	https://zoek.officielebekendmakingen.nl/kst-30300-29.html		http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-158-161.1.8.66.1	http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-158-161?view=html#nl.proc.ob.d.h-tk-20052006-158-161.1.8.66.1	https://zoek.officielebekendmakingen.nl/h-tk-20052006-158-161.html	no	aye	no	aye		no	aye		aye	aye		aye	aye	aye	no	Rouvoet	nl.m.02541			de motie-Rouvoet c.s. over kwaliteitsverbetering in de verpleeghuiszorg ( 30300, nr. 29)
commons	2005-2006	3	2005-09-22	30300	31	motie	accepted	fractie	https://zoek.officielebekendmakingen.nl/kst-30300-31.html		http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-158-161.1.8.72.1	http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-158-161?view=html#nl.proc.ob.d.h-tk-20052006-158-161.1.8.72.1	https://zoek.officielebekendmakingen.nl/h-tk-20052006-158-161.html	aye	aye	no	no		no	aye		aye	aye		no	aye	aye	aye	Van der Vlies	nl.m.02682			de motie-Van der Vlies c.s. over bevordering van duurzaamheid binnen de land- en tuinbouw ( 30300, nr. 31)
commons	2005-2006	3	2005-09-22	30300	19	motie	accepted	fractie	https://zoek.officielebekendmakingen.nl/kst-30300-19.html		http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-158-161.1.8.36.1	http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-158-161?view=html#nl.proc.ob.d.h-tk-20052006-158-161.1.8.36.1	https://zoek.officielebekendmakingen.nl/h-tk-20052006-158-161.html	aye	aye	aye	aye		aye	aye		aye	aye		aye	aye	aye	no	Halsema	nl.m.02220	Verhagen	nl.m.02920	de motie-Halsema/Verhagen over verruiming van fiscale compensatie van chronisch zieken en gehandicapten ( 30300, nr. 19)
commons	2005-2006	3	2005-09-22	30300	18	motie	accepted	fractie	https://zoek.officielebekendmakingen.nl/kst-30300-18.html		http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-158-161.1.8.33.1	http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-158-161?view=html#nl.proc.ob.d.h-tk-20052006-158-161.1.8.33.1	https://zoek.officielebekendmakingen.nl/h-tk-20052006-158-161.html	aye	aye	aye	no		no	aye		aye	aye		aye	aye	no	aye	Van Aartsen	nl.m.01809			de motie-Van Aartsen c.s. over verhoging van de onbelaste vergoeding van zakelijke kilometers ( 30300, nr. 18)
commons	2005-2006	3	2005-09-22	30300	8	motie	rejected	fractie	https://zoek.officielebekendmakingen.nl/kst-30300-8.html		http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-158-161.1.8.3.1	http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-158-161?view=html#nl.proc.ob.d.h-tk-20052006-158-161.1.8.3.1	https://zoek.officielebekendmakingen.nl/h-tk-20052006-158-161.html	no	aye	no	aye		no	aye		no	no		aye	no	aye	no	Bos	nl.m.02212			de motie-Bos c.s. over een evenwichtiger koopkrachtbeeld ( 30300, nr. 8)
commons	2005-2006	3	2005-09-22	30300	9	motie	accepted	fractie	https://zoek.officielebekendmakingen.nl/kst-30300-9.html		http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-158-161.1.8.6.1	http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-158-161?view=html#nl.proc.ob.d.h-tk-20052006-158-161.1.8.6.1	https://zoek.officielebekendmakingen.nl/h-tk-20052006-158-161.html	aye	aye	aye	aye		aye	aye		aye	aye		aye	aye	aye	aye	Verhagen	nl.m.02920			de motie-Verhagen c.s. over jeugdbeleid, onderwijs en sport ( 30300, nr. 9)
commons	2005-2006	3	2005-09-22	30300	10	motie	accepted	fractie	https://zoek.officielebekendmakingen.nl/kst-30300-10.html		http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-158-161.1.8.9.1	http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-158-161?view=html#nl.proc.ob.d.h-tk-20052006-158-161.1.8.9.1	https://zoek.officielebekendmakingen.nl/h-tk-20052006-158-161.html	aye	aye	aye	aye		aye	aye		aye	aye		aye	aye	aye	aye	Verhagen	nl.m.02920			de motie-Verhagen c.s. over verhoging van de kinderkorting ( 30300, nr. 10)
commons	2005-2006	3	2005-09-22	30300	11	motie	accepted	fractie	https://zoek.officielebekendmakingen.nl/kst-30300-11.html		http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-158-161.1.8.12.1	http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-158-161?view=html#nl.proc.ob.d.h-tk-20052006-158-161.1.8.12.1	https://zoek.officielebekendmakingen.nl/h-tk-20052006-158-161.html	aye	aye	aye	aye		aye	aye		aye	aye		aye	aye	aye	aye	Verhagen	nl.m.02920			de motie-Verhagen c.s. over compensatie van de olieprijzen ( 30300, nr. 11)
commons	2005-2006	3	2005-09-22	30300	12	motie	accepted	fractie	https://zoek.officielebekendmakingen.nl/kst-30300-12.html		http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-158-161.1.8.15.1	http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-158-161?view=html#nl.proc.ob.d.h-tk-20052006-158-161.1.8.15.1	https://zoek.officielebekendmakingen.nl/h-tk-20052006-158-161.html	aye	aye	aye	aye		aye	aye		aye	aye		aye	aye	aye	aye	Marijnissen	nl.m.02529			de motie-Marijnissen over wegwerken van achterstand bij de rechterlijke macht ( 30300, nr. 12)
commons	2005-2006	3	2005-09-22	30300	13	motie	rejected	fractie	https://zoek.officielebekendmakingen.nl/kst-30300-13.html		http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-158-161.1.8.18.1	http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-158-161?view=html#nl.proc.ob.d.h-tk-20052006-158-161.1.8.18.1	https://zoek.officielebekendmakingen.nl/h-tk-20052006-158-161.html	no	no	no	aye		no	no		no	no		aye	no	aye	no	Marijnissen	nl.m.02529			de motie-Marijnissen over het niet invoeren van de Zorgverzekeringswet ( 30300, nr. 13)
commons	2005-2006	3	2005-09-22	30300	14	motie	accepted	fractie	https://zoek.officielebekendmakingen.nl/kst-30300-14.html		http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-158-161.1.8.21.1	http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-158-161?view=html#nl.proc.ob.d.h-tk-20052006-158-161.1.8.21.1	https://zoek.officielebekendmakingen.nl/h-tk-20052006-158-161.html	no	no	aye	aye		no	aye		no	aye		aye	no	no	aye	Van Aartsen	nl.m.01809	Bos	nl.m.02212	de motie-Van Aartsen/Bos over voor- en naschoolse opvang ( 30300, nr. 14)
commons	2005-2006	3	2005-09-22	30300	15	motie	accepted	fractie	https://zoek.officielebekendmakingen.nl/kst-30300-15.html		http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-158-161.1.8.24.1	http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-158-161?view=html#nl.proc.ob.d.h-tk-20052006-158-161.1.8.24.1	https://zoek.officielebekendmakingen.nl/h-tk-20052006-158-161.html	aye	no	aye	no		no	aye		aye	aye		no	aye	no	aye	Van Aartsen	nl.m.01809			de motie-Van Aartsen c.s. over vermindering van het aantal vergunningen en vergunningenstelsels ( 30300, nr. 15)
commons	2005-2006	3	2005-09-22	30300	16	motie	accepted	fractie	https://zoek.officielebekendmakingen.nl/kst-30300-16.html		http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-158-161.1.8.27.1	http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-158-161?view=html#nl.proc.ob.d.h-tk-20052006-158-161.1.8.27.1	https://zoek.officielebekendmakingen.nl/h-tk-20052006-158-161.html	aye	no	aye	aye		no	aye		aye	aye		aye	no	aye	aye	Van Aartsen	nl.m.01809			de motie-Van Aartsen c.s. over dekking voor topsportfaciliteiten ( 30300, nr. 16)
commons	2005-2006	3	2005-09-22	30300	17	motie	accepted	fractie	https://zoek.officielebekendmakingen.nl/kst-30300-17.html		http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-158-161.1.8.30.1	http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-158-161?view=html#nl.proc.ob.d.h-tk-20052006-158-161.1.8.30.1	https://zoek.officielebekendmakingen.nl/h-tk-20052006-158-161.html	aye	aye	aye	aye		no	aye		no	no		aye	aye	aye	aye	Van Aartsen	nl.m.01809			de motie-Van Aartsen c.s. over financiering van de Amsterdamse vestiging van de Hermitage ( 30300, nr. 17)
commons	2005-2006	4	2005-09-27	29912	8	amendement	rejected	fractie	https://zoek.officielebekendmakingen.nl/kst-29912-8.html	http://resolver.politicalmashup.nl/nl.parldoc.d.kst-29912-8?view=html	http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-191-191.1.6.1	http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-191-191?view=html#nl.proc.ob.d.h-tk-20052006-191-191.1.6.1	https://zoek.officielebekendmakingen.nl/h-tk-20052006-191-191.html	aye	aye	no	no		no	aye		no	no		no	no	no	no	Van Vroonhoven-Kok	nl.m.02346			amendement-Van Vroonhoven-Kok (stuk nr. 8)
commons	2005-2006	4	2005-09-27	29685		wetsvoorstel	accepted	fractie	https://zoek.officielebekendmakingen.nl/dossier/29685		http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-191-191-1.1.12.1	http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-191-191-1?view=html#nl.proc.ob.d.h-tk-20052006-191-191-1.1.12.1	https://zoek.officielebekendmakingen.nl/h-tk-20052006-191-191-1.html	aye	aye	aye	no		no	aye		aye	aye		aye	aye	no	aye					Wijziging van de Wet op de rechtsbijstand houdende aanpassing van het inkomens- en vermogensbegrip aan het fiscale inkomens- en vermogensbegrip ( 29685)
commons	2005-2006	4	2005-09-27	29685	9	amendement	rejected	fractie	https://zoek.officielebekendmakingen.nl/kst-29685-9.html	http://resolver.politicalmashup.nl/nl.parldoc.d.kst-29685-9?view=html	http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-191-191-1.1.7.1	http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-191-191-1?view=html#nl.proc.ob.d.h-tk-20052006-191-191-1.1.7.1	https://zoek.officielebekendmakingen.nl/h-tk-20052006-191-191-1.html	no	no	no	aye		no	aye		no	aye		no	no	aye	no	De Wit	nl.m.02940			amendement-De Wit (stuk nr. 9, I)
commons	2005-2006	4	2005-09-27	26671	20	motie	accepted	fractie	https://zoek.officielebekendmakingen.nl/kst-26671-20.html		http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-190-191.1.19.1	http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-190-191?view=html#nl.proc.ob.d.h-tk-20052006-190-191.1.19.1	https://zoek.officielebekendmakingen.nl/h-tk-20052006-190-191.html	aye	aye	aye	aye		aye	aye		aye	aye		aye	aye	aye	aye	Gerkens	nl.m.02326	Van Dam	nl.m.02464	motie-Gerkens/Van Dam (26671, nr. 20)
commons	2005-2006	4	2005-09-27	26671		wetsvoorstel	accepted	fractie	https://zoek.officielebekendmakingen.nl/dossier/26671		http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-190-191.1.15.1	http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-190-191?view=html#nl.proc.ob.d.h-tk-20052006-190-191.1.15.1	https://zoek.officielebekendmakingen.nl/h-tk-20052006-190-191.html	aye	aye	aye	no		aye	aye		aye	aye		aye	aye	aye	aye					Wijziging van het Wetboek van Strafrecht, het Wetboek van Strafvordering en de Telecommunicatiewet in verband met nieuwe ontwikkelingen in de informatietechnologie (computercriminaliteit II) ( 26671)
commons	2005-2006	4	2005-09-27	26671	19	amendement	accepted	fractie	https://zoek.officielebekendmakingen.nl/kst-26671-19.html	http://resolver.politicalmashup.nl/nl.parldoc.d.kst-26671-19?view=html	http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-190-191.1.8.1	http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-190-191?view=html#nl.proc.ob.d.h-tk-20052006-190-191.1.8.1	https://zoek.officielebekendmakingen.nl/h-tk-20052006-190-191.html	no	no	no	aye		no	aye		aye	aye		aye	aye	aye	aye	Van Dam	nl.m.02464			amendement-Van Dam (stuk nr. 19)
commons	2005-2006	4	2005-09-27	30109	12	motie	accepted	fractie	https://zoek.officielebekendmakingen.nl/kst-30109-12.html		http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-190-190.1.9.1	http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-190-190?view=html#nl.proc.ob.d.h-tk-20052006-190-190.1.9.1	https://zoek.officielebekendmakingen.nl/h-tk-20052006-190-190.html	aye	aye	aye	aye		no	aye		no	aye		aye	aye	aye	no	Verburg	nl.m.02246	Noorman-den Uyl	nl.m.02531	de motie-Verburg/Noorman-den Uyl over het betrekken van de beperking van bovenmatige gouden handdrukken en het onmisbaarheidscriterium bij het middellangetermijnadvies van de SER ( 30109, nr. 12)
commons	2005-2006	4	2005-09-27	30109	11	motie	rejected	fractie	https://zoek.officielebekendmakingen.nl/kst-30109-11.html		http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-190-190.1.6.1	http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-190-190?view=html#nl.proc.ob.d.h-tk-20052006-190-190.1.6.1	https://zoek.officielebekendmakingen.nl/h-tk-20052006-190-190.html	no	aye	aye	no		no	aye		aye	aye		no	aye	no	aye	Weekers	nl.m.02247	Huizinga-Heringa	nl.m.02320	de motie-Weekers/Huizinga-Heringa over het afzien van de afwijkingsmogelijkheid van de ontslagregels bij cao en het opnemen van een hardheidsclausule in het Ontslagbesluit ( 30109, nr. 11)
commons	2005-2006	4	2005-09-27	29912		wetsvoorstel	accepted	fractie	https://zoek.officielebekendmakingen.nl/dossier/29912		http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-191-191.1.11.1	http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-191-191?view=html#nl.proc.ob.d.h-tk-20052006-191-191.1.11.1	https://zoek.officielebekendmakingen.nl/h-tk-20052006-191-191.html	aye	aye	aye	aye		aye	aye		aye	aye		aye	aye	aye	aye					Aanpassing van de Auteurswet 1912 ter implementatie van richtlijn nr. 2001/84/EG van het Europees Parlement en van de Raad van de Europese Unie van 27 september 2001 betreffende het volgrecht ten behoeve van de auteur van een oorspronkelijk kunstwerk (PbEG L 272) ( 29912)
commons	2005-2006	6	2005-09-29	27088	44	motie	rejected	fractie	https://zoek.officielebekendmakingen.nl/kst-27088-44.html		http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-324-325.1.5.1	http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-324-325?view=html#nl.proc.ob.d.h-tk-20052006-324-325.1.5.1	https://zoek.officielebekendmakingen.nl/h-tk-20052006-324-325.html	no	aye	no	aye		aye	no		no	no		aye	aye	aye	no	Gerkens	nl.m.02326			de motie-Gerkens c.s. over invulling van het begrip kostenoriëntatie in de ontwerpbesluiten ( 27088, nr. 44)
commons	2005-2006	6	2005-09-29	23645	106	motie	rejected	fractie	https://zoek.officielebekendmakingen.nl/kst-23645-106.html		http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-305-306.1.12.1	http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-305-306?view=html#nl.proc.ob.d.h-tk-20052006-305-306.1.12.1	https://zoek.officielebekendmakingen.nl/h-tk-20052006-305-306.html	no	aye	aye	aye		aye	no		no	no		aye	aye	aye	no	Dijksma	nl.m.02510			de motie-Dijksma over aanpassing van het coulancebeleid voor welwillende reizigers ( 23645, nr. 106.)
commons	2005-2006	6	2005-09-29	02	641	motie	rejected	fractie	https://zoek.officielebekendmakingen.nl/kst-02-641.html		http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-345-345.1.9.1	http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-345-345?view=html#nl.proc.ob.d.h-tk-20052006-345-345.1.9.1	https://zoek.officielebekendmakingen.nl/h-tk-20052006-345-345.html	no	aye	no	no		no	no		no	aye		no	aye	no	no	Herben	nl.m.02353			de motie-Herben over de mogelijkheid van een speciaal partnerschap en de opnamecapaciteit van de EU ( 21501-02, nr. 641)
commons	2005-2006	6	2005-09-29	27088	45	motie	accepted	fractie	https://zoek.officielebekendmakingen.nl/kst-27088-45.html		http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-324-325.1.8.1	http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-324-325?view=html#nl.proc.ob.d.h-tk-20052006-324-325.1.8.1	https://zoek.officielebekendmakingen.nl/h-tk-20052006-324-325.html	no	no	no	no		no	no		no	no		no	no	no	no	Aptroot	nl.m.02412			de motie-Aptroot c.s. over kostenverrekening door de kabelbedrijven ( 27088, nr. 45)
commons	2005-2006	6	2005-09-29	23645	105	motie	rejected	fractie	https://zoek.officielebekendmakingen.nl/kst-23645-105.html		http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-305-306.1.9.1	http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-305-306?view=html#nl.proc.ob.d.h-tk-20052006-305-306.1.9.1	https://zoek.officielebekendmakingen.nl/h-tk-20052006-305-306.html	no	no	no	aye		no	no		no	no		no	no	aye	no	Gerkens	nl.m.02326	Duyvendak	nl.m.02307	de motie-Gerkens/Duyvendak over uniforme regels voor het boetebeleid voor het personenvervoer per spoor ( 23645, nr. 105)
commons	2005-2006	6	2005-09-29	23645	104	motie	rejected	fractie	https://zoek.officielebekendmakingen.nl/kst-23645-104.html		http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-305-306.1.6.1	http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-305-306?view=html#nl.proc.ob.d.h-tk-20052006-305-306.1.6.1	https://zoek.officielebekendmakingen.nl/h-tk-20052006-305-306.html	no	no	no	aye		no	no		no	no		no	no	aye	no	Gerkens	nl.m.02326	Duyvendak	nl.m.02307	de motie-Gerkens/Duyvendak over uitstel van invoering van het boetebeleid van de NS ( 23645, nr. 104)
commons	2005-2006	6	2005-09-29	02	640	motie	accepted	fractie	https://zoek.officielebekendmakingen.nl/kst-02-640.html		http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-345-345.1.6.1	http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-345-345?view=html#nl.proc.ob.d.h-tk-20052006-345-345.1.6.1	https://zoek.officielebekendmakingen.nl/h-tk-20052006-345-345.html	aye	aye	aye	no		no	no		no	no		aye	aye	aye	aye	Van Baalen	nl.m.02288			de motie-Van Baalen c.s. over de opschorting van de toetredingsonderhandelingen van de EU met Turkije ( 21501-02, nr. 640)
commons	2005-2006	7	2005-10-04	29543	9	motie	rejected	fractie	https://zoek.officielebekendmakingen.nl/kst-29543-9.html		http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-385-385.1.6.1	http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-385-385?view=html#nl.proc.ob.d.h-tk-20052006-385-385.1.6.1	https://zoek.officielebekendmakingen.nl/h-tk-20052006-385-385.html	no	no	aye	aye		aye	aye		no	no		aye	no	no	no	Nawijn	nl.m.02385			de motie-Nawijn over versnelde naturalisatie om redenen van staatsbelang c.q. van gewichtige Nederlandse belangen ( 29543, nr. 9)
commons	2005-2006	7	2005-10-04	29543	10	motie	rejected	fractie	https://zoek.officielebekendmakingen.nl/kst-29543-10.html		http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-385-385.1.9.1	http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-385-385?view=html#nl.proc.ob.d.h-tk-20052006-385-385.1.9.1	https://zoek.officielebekendmakingen.nl/h-tk-20052006-385-385.html	no	no	aye	aye		aye	aye		no	no		aye	no	no	no	Vos	nl.m.02547			de motie-Vos over het volgen van inhoudelijke adviezen van de betrokken vakminister bij naturalisatie vanwege een Nederlands cultureel belang ( 29543, nr. 10)
