#house;legislative-period;session-number;date of vote;dossier nummer;onder nummer;type;outcome;stemmings type;bron amendement op OB;link amendement HTML op PM;link stemming XML op PM;link stemming in context HTML op PM;bron stemming op OB;nl.p.cda;nl.p.cu;nl.p.d66;nl.p.fractieyildirim;nl.p.gl;nl.p.lidverdonk;nl.p.osf;nl.p.pvda;nl.p.pvdd;nl.p.pvv;nl.p.sgp;nl.p.sp;nl.p.vvd;indiener 1, naam volgens stemming;indiener 1, id volgens stemming;indiener 2, naam volgens stemming;indiener 2, id volgens stemming;titel document volgens stemming
commons;2007-2008;15;2007-10-18;31133;7;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-31133-7.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20072008-1035-1036.1.10.4.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20072008-1035-1036?view=html#nl.proc.ob.d.h-tk-20072008-1035-1036.1.10.4.1;https://zoek.officielebekendmakingen.nl/h-tk-20072008-1035-1036.html;no;no;no;;aye;aye;;no;no;aye;aye;no;aye;Brinkman;nl.m.03099;Van Beek;nl.m.02209;de motie-Brinkman/Van Beek over het individueel korten van gemeenten indien zij de macronorm overschrijden ( 31133, nr. 7)
commons;2007-2008;15;2007-10-18;31133;;wetsvoorstel;accepted;fractie;https://zoek.officielebekendmakingen.nl/dossier/31133;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20072008-1035-1036.1.6.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20072008-1035-1036?view=html#nl.proc.ob.d.h-tk-20072008-1035-1036.1.6.1;https://zoek.officielebekendmakingen.nl/h-tk-20072008-1035-1036.html;aye;aye;aye;;aye;no;;aye;aye;no;aye;aye;no;;;;;Wijziging van de Gemeentewet in verband met het schrappen van de beperking van de tarieven van de onroerendezaakbelastingen ( 31133)
commons;2007-2008;15;2007-10-18;31200-VIII;18;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-31200-VIII-18.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20072008-1035-1035.1.9.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20072008-1035-1035?view=html#nl.proc.ob.d.h-tk-20072008-1035-1035.1.9.1;https://zoek.officielebekendmakingen.nl/h-tk-20072008-1035-1035.html;no;no;aye;;aye;aye;;no;aye;aye;no;aye;aye;Ouwehand;nl.m.03108;Leijten;nl.m.03095;motie-Ouwehand/Leijten (31200-VIII, nr. 18)
commons;2007-2008;15;2007-10-18;31200-VIII;17;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-31200-VIII-17.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20072008-1035-1035.1.6.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20072008-1035-1035?view=html#nl.proc.ob.d.h-tk-20072008-1035-1035.1.6.1;https://zoek.officielebekendmakingen.nl/h-tk-20072008-1035-1035.html;no;no;aye;;aye;aye;;no;aye;no;aye;aye;no;Leijten;nl.m.03095;;;motie-Leijten c.s. (31200-VIII, nr. 17)
commons;2007-2008;15;2007-10-18;30995;26;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-30995-26.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20072008-1034-1035.1.24.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20072008-1034-1035?view=html#nl.proc.ob.d.h-tk-20072008-1034-1035.1.24.1;https://zoek.officielebekendmakingen.nl/h-tk-20072008-1034-1035.html;no;no;no;;no;aye;;no;no;aye;no;no;aye;Madlener;nl.m.03129;;;de motie-Madlener over het verbieden van positieve discriminatie van asielzoekers die onder de pardonregeling vallen ( 30995, nr. 26)
commons;2007-2008;15;2007-10-18;30995;25;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-30995-25.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20072008-1034-1035.1.21.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20072008-1034-1035?view=html#nl.proc.ob.d.h-tk-20072008-1034-1035.1.21.1;https://zoek.officielebekendmakingen.nl/h-tk-20072008-1034-1035.html;no;no;no;;no;aye;;no;no;aye;no;no;aye;Van der Burg;nl.m.03063;;;de motie-Van der Burg over inzicht in de effecten van het toelaten van grote groepen pardonners ( 30995, nr. 25)
commons;2007-2008;15;2007-10-18;31200-XIV;67;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-31200-XIV-67.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20072008-1032-1033.1.7.15.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20072008-1032-1033?view=html#nl.proc.ob.d.h-tk-20072008-1032-1033.1.7.15.1;https://zoek.officielebekendmakingen.nl/h-tk-20072008-1032-1033.html;no;no;aye;;aye;no;;no;aye;no;no;aye;no;Thieme;nl.m.03100;Van Gent;nl.m.02218;motie-Thieme/Van Gent (31200-XIV, nr. 67)
commons;2007-2008;15;2007-10-18;31200-XIV;80;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-31200-XIV-80.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20072008-1032-1033.1.7.12.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20072008-1032-1033?view=html#nl.proc.ob.d.h-tk-20072008-1032-1033.1.7.12.1;https://zoek.officielebekendmakingen.nl/h-tk-20072008-1032-1033.html;no;no;aye;;aye;no;;no;aye;aye;no;aye;no;Thieme;nl.m.03100;Van Gent;nl.m.02218;motie-Thieme/Van Gent (31200-XIV, nr. 80)
commons;2007-2008;15;2007-10-18;31200-XIV;65;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-31200-XIV-65.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20072008-1032-1033.1.7.9.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20072008-1032-1033?view=html#nl.proc.ob.d.h-tk-20072008-1032-1033.1.7.9.1;https://zoek.officielebekendmakingen.nl/h-tk-20072008-1032-1033.html;no;no;aye;;aye;no;;no;aye;aye;no;aye;no;Thieme;nl.m.03100;Van Gent;nl.m.02218;motie-Thieme/Van Gent (31200-XIV, nr. 65)
commons;2007-2008;15;2007-10-18;30452;33;amendement;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-30452-33.html;http://resolver.politicalmashup.nl/nl.parldoc.d.kst-30452-33?view=html;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20072008-1030-1031.1.7.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20072008-1030-1031?view=html#nl.proc.ob.d.h-tk-20072008-1030-1031.1.7.1;https://zoek.officielebekendmakingen.nl/h-tk-20072008-1030-1031.html;aye;aye;aye;;aye;no;;aye;aye;no;aye;aye;no;Tang;nl.m.03085;;;amendement-Tang (stuk nr. 33, I)
