#house;legislative-period;session-number;date of vote;dossier nummer;onder nummer;type;outcome;stemmings type;bron amendement op OB;link amendement HTML op PM;link stemming XML op PM;link stemming in context HTML op PM;bron stemming op OB;nl.p.cda;nl.p.cu;nl.p.d66;nl.p.gl;nl.p.groepdejong2;nl.p.groepwijnschenk;nl.p.ln;nl.p.lpf;nl.p.osf;nl.p.pvda;nl.p.sgp;nl.p.sp;nl.p.vvd;indiener 1, naam volgens stemming;indiener 1, id volgens stemming;indiener 2, naam volgens stemming;indiener 2, id volgens stemming;titel document volgens stemming
commons;2002-2003;35;2002-12-18;28665;24;amendement;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-28665-24.html;http://resolver.politicalmashup.nl/nl.parldoc.d.kst-28665-24?view=html;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20022003-2647-2648.1.32.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20022003-2647-2648?view=html#nl.proc.ob.d.h-tk-20022003-2647-2648.1.32.1;https://zoek.officielebekendmakingen.nl/h-tk-20022003-2647-2648.html;aye;aye;aye;aye;aye;aye;aye;aye;;aye;aye;aye;aye;Crone;nl.m.02507;;;amendement-Crone (stuk nr. 24)
commons;2002-2003;35;2002-12-18;28665;20;amendement;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-28665-20.html;http://resolver.politicalmashup.nl/nl.parldoc.d.kst-28665-20?view=html;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20022003-2647-2648.1.29.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20022003-2647-2648?view=html#nl.proc.ob.d.h-tk-20022003-2647-2648.1.29.1;https://zoek.officielebekendmakingen.nl/h-tk-20022003-2647-2648.html;no;no;aye;aye;no;no;no;no;;aye;no;aye;no;Duyvendak;nl.m.02307;;;amendement-Duyvendak c.s. (stuk nr. 20, IA)
commons;2002-2003;35;2002-12-18;28665;16;amendement;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-28665-16.html;http://resolver.politicalmashup.nl/nl.parldoc.d.kst-28665-16?view=html;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20022003-2647-2648.1.24.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20022003-2647-2648?view=html#nl.proc.ob.d.h-tk-20022003-2647-2648.1.24.1;https://zoek.officielebekendmakingen.nl/h-tk-20022003-2647-2648.html;aye;aye;aye;aye;aye;aye;aye;aye;;aye;aye;aye;aye;Kortenhorst;nl.m.02325;;;amendement-Kortenhorst (stuk nr. 16)
commons;2002-2003;35;2002-12-18;28665;14;amendement;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-28665-14.html;http://resolver.politicalmashup.nl/nl.parldoc.d.kst-28665-14?view=html;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20022003-2647-2648.1.19.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20022003-2647-2648?view=html#nl.proc.ob.d.h-tk-20022003-2647-2648.1.19.1;https://zoek.officielebekendmakingen.nl/h-tk-20022003-2647-2648.html;aye;aye;no;aye;no;no;aye;aye;;aye;aye;aye;no;Kortenhorst;nl.m.02325;;;amendement-Kortenhorst (stuk nr. 14, I)
commons;2002-2003;35;2002-12-18;28665;35:,I;amendement;accepted;fractie;https://zoek.officielebekendmakingen.nl/dossier/28665;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20022003-2647-2648.1.15.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20022003-2647-2648?view=html#nl.proc.ob.d.h-tk-20022003-2647-2648.1.15.1;https://zoek.officielebekendmakingen.nl/h-tk-20022003-2647-2648.html;aye;aye;no;aye;no;no;aye;aye;;aye;aye;aye;no;Kortenhorst;nl.m.02325;;;amendement-Kortenhorst (stuk nr. 35, I, herdruk)
commons;2002-2003;35;2002-12-18;28665;15:,I;amendement;accepted;fractie;https://zoek.officielebekendmakingen.nl/dossier/28665;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20022003-2647-2648.1.11.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20022003-2647-2648?view=html#nl.proc.ob.d.h-tk-20022003-2647-2648.1.11.1;https://zoek.officielebekendmakingen.nl/h-tk-20022003-2647-2648.html;aye;aye;aye;aye;no;no;aye;aye;;aye;aye;aye;no;Kortenhorst;nl.m.02325;;;amendement-Kortenhorst (stuk nr. 15, I, herdruk)
commons;2002-2003;35;2002-12-18;28665;26;amendement;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-28665-26.html;http://resolver.politicalmashup.nl/nl.parldoc.d.kst-28665-26?view=html;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20022003-2647-2648.1.8.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20022003-2647-2648?view=html#nl.proc.ob.d.h-tk-20022003-2647-2648.1.8.1;https://zoek.officielebekendmakingen.nl/h-tk-20022003-2647-2648.html;no;no;no;aye;no;no;no;no;;aye;no;aye;no;Duyvendak;nl.m.02307;Vendrik;nl.m.02245;amendement-Duyvendak/Vendrik (stuk nr. 26, I)
commons;2002-2003;35;2002-12-18;28665;23;amendement;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-28665-23.html;http://resolver.politicalmashup.nl/nl.parldoc.d.kst-28665-23?view=html;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20022003-2647-2648.1.48.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20022003-2647-2648?view=html#nl.proc.ob.d.h-tk-20022003-2647-2648.1.48.1;https://zoek.officielebekendmakingen.nl/h-tk-20022003-2647-2648.html;no;aye;aye;aye;no;no;no;no;;aye;aye;aye;no;Crone;nl.m.02507;;;amendement-Crone (stuk nr. 23, I)
commons;2002-2003;35;2002-12-18;28665;26;amendement;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-28665-26.html;http://resolver.politicalmashup.nl/nl.parldoc.d.kst-28665-26?view=html;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20022003-2647-2648.1.53.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20022003-2647-2648?view=html#nl.proc.ob.d.h-tk-20022003-2647-2648.1.53.1;https://zoek.officielebekendmakingen.nl/h-tk-20022003-2647-2648.html;no;no;no;aye;no;no;no;no;;aye;no;aye;no;Duyvendak;nl.m.02307;Vendrik;nl.m.02245;amendement-Duyvendak/Vendrik (stuk nr. 26, III)
commons;2002-2003;35;2002-12-18;28174;30;amendement;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-28174-30.html;http://resolver.politicalmashup.nl/nl.parldoc.d.kst-28174-30?view=html;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20022003-2648-2650.1.27.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20022003-2648-2650?view=html#nl.proc.ob.d.h-tk-20022003-2648-2650.1.27.1;https://zoek.officielebekendmakingen.nl/h-tk-20022003-2648-2650.html;no;no;no;no;no;no;no;aye;;no;no;no;no;Stuger;nl.m.02377;;;amendement-Stuger (stuk nr. 30)
