#house;legislative-period;session-number;date of vote;dossier nummer;onder nummer;type;outcome;stemmings type;bron amendement op OB;link amendement HTML op PM;link stemming XML op PM;link stemming in context HTML op PM;bron stemming op OB;nl.p.aov;nl.p.cd;nl.p.cda;nl.p.d66;nl.p.fractiebierman;nl.p.fractiehendriks;nl.p.gl;nl.p.gpv;nl.p.groephendriks;nl.p.groepnijpels;nl.p.groepverkerk;nl.p.ou55plus;nl.p.pvda;nl.p.rpf;nl.p.sgp;nl.p.sp;nl.p.vvd;indiener 1, naam volgens stemming;indiener 1, id volgens stemming;indiener 2, naam volgens stemming;indiener 2, id volgens stemming;titel document volgens stemming
commons;1994-1995;37;1994-12-20;23900-XV;32;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-23900-XV-32.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19941995-37-2580-2581.1.44.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19941995-37-2580-2581?view=html#nl.proc.ob.d.h-tk-19941995-37-2580-2581.1.44.1;https://zoek.officielebekendmakingen.nl/h-tk-19941995-37-2580-2581.html;aye;no;no;no;;;aye;no;no;;;no;no;no;no;aye;no;Marijnissen;nl.m.02529;;;de motie-Marijnissen over dispensatie van het wettelijk minimumloon ( 23900-XV, nr. 32)
commons;1994-1995;37;1994-12-20;23900-XV;24;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-23900-XV-24.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19941995-37-2580-2581.1.23.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19941995-37-2580-2581?view=html#nl.proc.ob.d.h-tk-19941995-37-2580-2581.1.23.1;https://zoek.officielebekendmakingen.nl/h-tk-19941995-37-2580-2581.html;aye;no;aye;no;;;aye;no;aye;;;aye;no;no;no;aye;no;Rosenmöller;nl.m.02970;;;de motie-Rosenmöller over meer beleidsvrijheid voor de keuringsartsen bij de herkeuring van WAO'ers ( 23900-XV, nr. 24)
commons;1994-1995;37;1994-12-20;23900-XV;25;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-23900-XV-25.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19941995-37-2580-2581.1.26.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19941995-37-2580-2581?view=html#nl.proc.ob.d.h-tk-19941995-37-2580-2581.1.26.1;https://zoek.officielebekendmakingen.nl/h-tk-19941995-37-2580-2581.html;aye;no;no;no;;;aye;no;aye;;;aye;no;no;no;aye;no;Rosenmöller;nl.m.02970;;;de motie-Rosenmöller over het onderzoek naar de werking van het nieuwe arbeidsongeschiktheidscriterium ( 23900-XV, nr. 25)
commons;1994-1995;37;1994-12-20;23900-XV;26;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-23900-XV-26.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19941995-37-2580-2581.1.29.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19941995-37-2580-2581?view=html#nl.proc.ob.d.h-tk-19941995-37-2580-2581.1.29.1;https://zoek.officielebekendmakingen.nl/h-tk-19941995-37-2580-2581.html;aye;aye;aye;no;;;aye;aye;aye;;;aye;no;aye;aye;aye;no;Boogaard;nl.m.02504;;;de motie-Boogaard c.s. over een integrale inkomenseffectrapportage ten aanzien van 65-plussers ( 23900-XV, nr. 26)
commons;1994-1995;37;1994-12-20;23900-XV;28;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-23900-XV-28.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19941995-37-2580-2581.1.32.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19941995-37-2580-2581?view=html#nl.proc.ob.d.h-tk-19941995-37-2580-2581.1.32.1;https://zoek.officielebekendmakingen.nl/h-tk-19941995-37-2580-2581.html;aye;no;aye;no;;;aye;aye;aye;;;aye;no;aye;aye;aye;no;Van Middelkoop;nl.m.02973;Biesheuvel;nl.m.02822;de motie-Van Middelkoop/Biesheuvel over de voorgenomen afschaffing van het recht op kinderbijslag voor niet-WSF-studenten ( 23900-XV, nr. 28)
commons;1994-1995;37;1994-12-20;23900-XV;29;motie;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-23900-XV-29.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19941995-37-2580-2581.1.35.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19941995-37-2580-2581?view=html#nl.proc.ob.d.h-tk-19941995-37-2580-2581.1.35.1;https://zoek.officielebekendmakingen.nl/h-tk-19941995-37-2580-2581.html;aye;aye;aye;aye;;;aye;aye;aye;;;aye;aye;aye;aye;aye;aye;Van Middelkoop;nl.m.02973;;;de motie-Van Middelkoop c.s. over IAO-verdragen ( 23900-XV, nr. 29)
commons;1994-1995;37;1994-12-20;23900-XV;30;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-23900-XV-30.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19941995-37-2580-2581.1.38.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19941995-37-2580-2581?view=html#nl.proc.ob.d.h-tk-19941995-37-2580-2581.1.38.1;https://zoek.officielebekendmakingen.nl/h-tk-19941995-37-2580-2581.html;no;no;no;no;;;aye;no;no;;;aye;no;no;no;aye;no;Marijnissen;nl.m.02529;;;de motie-Marijnissen over wijziging van het Schattingsbesluit ( 23900-XV, nr. 30)
commons;1994-1995;37;1994-12-20;23900-VII en -VI;19;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-23900-VII en -VI-19.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19941995-37-2581-2581.1.9.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19941995-37-2581-2581?view=html#nl.proc.ob.d.h-tk-19941995-37-2581-2581.1.9.1;https://zoek.officielebekendmakingen.nl/h-tk-19941995-37-2581-2581.html;aye;aye;aye;no;;;no;no;aye;;;aye;no;aye;aye;aye;no;Van der Heijden;nl.m.02754;;;de motie-Van der Heijden over verhoging van de extra normvergoeding ( 23900-VII en -VI, nr. 19)
commons;1994-1995;37;1994-12-20;23900-VII en -VI;20;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-23900-VII en -VI-20.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19941995-37-2581-2581.1.12.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19941995-37-2581-2581?view=html#nl.proc.ob.d.h-tk-19941995-37-2581-2581.1.12.1;https://zoek.officielebekendmakingen.nl/h-tk-19941995-37-2581-2581.html;aye;aye;aye;no;;;aye;aye;aye;;;aye;no;aye;aye;aye;no;Van der Heijden;nl.m.02754;;;de motie-Van der Heijden over met voorrang toewijzen van extra personeel ( 23900-VII en -VI, nr. 20)
commons;1994-1995;37;1994-12-20;24018;;wetsvoorstel;accepted;fractie;https://zoek.officielebekendmakingen.nl/dossier/24018;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19941995-37-2583-2583-2.1.7.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19941995-37-2583-2583-2?view=html#nl.proc.ob.d.h-tk-19941995-37-2583-2583-2.1.7.1;https://zoek.officielebekendmakingen.nl/h-tk-19941995-37-2583-2583-2.html;aye;aye;no;aye;;;aye;aye;no;;;aye;aye;aye;aye;aye;aye;;;;;Wijziging van de begroting van de uitgaven en de ontvangsten van het Fonds economische structuurversterking voor het jaar 1994 (wijziging samenhangende met de Najaarsnota) ( 24018)
