#house;legislative-period;session-number;date of vote;dossier nummer;onder nummer;type;outcome;stemmings type;bron amendement op OB;link amendement HTML op PM;link stemming XML op PM;link stemming in context HTML op PM;bron stemming op OB;nl.p.aov;nl.p.cda;nl.p.d66;nl.p.fractiebierman;nl.p.gl;nl.p.gpv;nl.p.pvda;nl.p.rpf;nl.p.sgp;nl.p.sp;nl.p.vvd;indiener 1, naam volgens stemming;indiener 1, id volgens stemming;indiener 2, naam volgens stemming;indiener 2, id volgens stemming;titel document volgens stemming
commons;1998-1999;94;1999-06-29;26507;;wetsvoorstel;accepted;fractie;https://zoek.officielebekendmakingen.nl/dossier/26507;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19981999-5404-5404.1.7.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19981999-5404-5404?view=html#nl.proc.ob.d.h-tk-19981999-5404-5404.1.7.1;https://zoek.officielebekendmakingen.nl/h-tk-19981999-5404-5404.html;;aye;aye;;aye;aye;aye;aye;aye;aye;aye;;;;;Wijziging van de begroting van de uitgaven en de ontvangsten van het Ministerie van Justitie (VI) voor het jaar 1999 (wijziging samenhangende met de Voorjaarsnota) ( 26507)
commons;1998-1999;94;1999-06-29;26500;13;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-26500-13.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19981999-5402-5403.1.11.20.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19981999-5402-5403?view=html#nl.proc.ob.d.h-tk-19981999-5402-5403.1.11.20.1;https://zoek.officielebekendmakingen.nl/h-tk-19981999-5402-5403.html;;aye;no;;aye;aye;no;aye;aye;aye;no;Vendrik;nl.m.02245;Karimi;nl.m.02255;motie-Vendrik/Karimi (26500, nr. 13)
commons;1998-1999;94;1999-06-29;26500;12;motie;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-26500-12.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19981999-5402-5403.1.11.17.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19981999-5402-5403?view=html#nl.proc.ob.d.h-tk-19981999-5402-5403.1.11.17.1;https://zoek.officielebekendmakingen.nl/h-tk-19981999-5402-5403.html;;aye;no;;no;aye;aye;aye;aye;no;aye;Van Beek;nl.m.02209;;;motie-Van Beek c.s. (26500, nr. 12)
commons;1998-1999;94;1999-06-29;26500;9;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-26500-9.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19981999-5402-5403.1.11.14.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19981999-5402-5403?view=html#nl.proc.ob.d.h-tk-19981999-5402-5403.1.11.14.1;https://zoek.officielebekendmakingen.nl/h-tk-19981999-5402-5403.html;;no;no;;aye;aye;no;aye;aye;aye;no;Van Dijke;nl.m.02509;;;de motie-Van Dijke over het fiscaal beleid ten aanzien van de eigen woning ( 26500, nr. 9)
senate;1998-1999;36;1999-06-29;26376;;wetsvoorstel;accepted;hoofdelijk;https://zoek.officielebekendmakingen.nl/dossier/26376;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-ek-19981999-1550-1562.1.14.11.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-ek-19981999-1550-1562?view=html#nl.proc.ob.d.h-ek-19981999-1550-1562.1.14.11.1;https://zoek.officielebekendmakingen.nl/h-ek-19981999-1550-1562.html;;;;;;;;;;;;;;;;het wetsvoorstel Wijziging van de Wet op de studiefinanciering in verband met het onder de prestatiebeurs brengen van de reisvoorziening ( 26376)
commons;1998-1999;94;1999-06-29;26401;7;motie;accepted;hoofdelijk;https://zoek.officielebekendmakingen.nl/kst-26401-7.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19981999-5401-5401.1.12.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19981999-5401-5401?view=html#nl.proc.ob.d.h-tk-19981999-5401-5401.1.12.1;https://zoek.officielebekendmakingen.nl/h-tk-19981999-5401-5401.html;;;;;;;;;;;;Augusteijn-Esser;nl.m.02502;;;de motie-Augusteijn-Esser c.s. over tussendoelen m.b.t. de normstelling van waterkwaliteitswaarden ( 26401, nr. 7)
commons;1998-1999;94;1999-06-29;26401;9;motie;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-26401-9.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19981999-5401-5401.1.18.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19981999-5401-5401?view=html#nl.proc.ob.d.h-tk-19981999-5401-5401.1.18.1;https://zoek.officielebekendmakingen.nl/h-tk-19981999-5401-5401.html;;aye;aye;;aye;aye;aye;aye;aye;aye;aye;Van den Berg;nl.m.02792;;;de motie-Van den Berg c.s. over het betrekken van waterschappen bij het opstellen van gemeentelijke bestemmingsplannen ( 26401, nr. 9)
commons;1998-1999;94;1999-06-29;26382;3;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-26382-3.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19981999-5401-5402.1.8.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19981999-5401-5402?view=html#nl.proc.ob.d.h-tk-19981999-5401-5402.1.8.1;https://zoek.officielebekendmakingen.nl/h-tk-19981999-5401-5402.html;;aye;no;;no;no;no;no;no;no;no;Van der Knaap;nl.m.02227;;;de motie-Van der Knaap over het financiële kader voor de huidige en toekomstige defensietaken ( 26382, nr. 3)
commons;1998-1999;94;1999-06-29;26269;9;motie;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-26269-9.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19981999-5402-5402.1.6.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19981999-5402-5402?view=html#nl.proc.ob.d.h-tk-19981999-5402-5402.1.6.1;https://zoek.officielebekendmakingen.nl/h-tk-19981999-5402-5402.html;;aye;aye;;aye;aye;aye;aye;aye;aye;aye;Schutte;nl.m.02676;;;de motie-Schutte c.s. houdende de uitspraak dat de Kamer voldoende is voorbereid voor het debat met de regering ( 26269, nr. 9)
commons;1998-1999;94;1999-06-29;26500;11;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-26500-11.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19981999-5402-5403.1.11.5.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19981999-5402-5403?view=html#nl.proc.ob.d.h-tk-19981999-5402-5403.1.11.5.1;https://zoek.officielebekendmakingen.nl/h-tk-19981999-5402-5403.html;;aye;no;;no;aye;no;aye;aye;no;no;Balkenende;nl.m.02207;;;motie-Balkenende (26500, nr. 11)
commons;1998-1999;94;1999-06-29;26500;6;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-26500-6.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19981999-5402-5403.1.11.8.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19981999-5402-5403?view=html#nl.proc.ob.d.h-tk-19981999-5402-5403.1.11.8.1;https://zoek.officielebekendmakingen.nl/h-tk-19981999-5402-5403.html;;no;no;;aye;aye;no;aye;aye;aye;no;Marijnissen;nl.m.02529;;;de motie-Marijnissen over overbruggingszorg voor ouderen die op wachtlijsten staan ( 26500, nr. 6)
commons;1998-1999;94;1999-06-29;26500;8;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-26500-8.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19981999-5402-5403.1.11.11.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19981999-5402-5403?view=html#nl.proc.ob.d.h-tk-19981999-5402-5403.1.11.11.1;https://zoek.officielebekendmakingen.nl/h-tk-19981999-5402-5403.html;;no;no;;aye;aye;no;aye;aye;aye;no;Marijnissen;nl.m.02529;;;de motie-Marijnissen over extra middelen voor de jeugdhulpverlening ( 26500, nr. 8)
commons;1998-1999;96;1999-07-01;26447;6;motie;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-26447-6.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19981999-5628-5628-1.1.9.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19981999-5628-5628-1?view=html#nl.proc.ob.d.h-tk-19981999-5628-5628-1.1.9.1;https://zoek.officielebekendmakingen.nl/h-tk-19981999-5628-5628-1.html;;aye;aye;;aye;aye;aye;aye;aye;aye;aye;Bussemaker;nl.m.02251;;;de motie-Bussemaker/Schimmel over evaluatie van de Wet financiering loopbaanonderbreking ( 26447, nr. 5) - motie-Bussemaker c.s. over betaald bindingsverlof ( 26447, nr. 6) - motie-Schimmel c.s. over kortdurend zorgverlof ( 26447, nr. 7) - motie-Örgü c.s. over administratievelastendruk als gevolg van alle nieuwe verlofregelingen ( 26447, nr. 8) - motie-Örgü c.s. over de financiële consequenties ( 26447, nr. 9) - motie-Van Middelkoop c.s. over opneming van verlofregelingen in het BW ( 26447, nr. 10) - motie-Van Gent over een inkomenseffectenonderzoek ( 26447, nr. 11). - motie-Bussemaker c.s. over betaald bindingsverlof ( 26447, nr. 6)
