#house;legislative-period;session-number;date of vote;dossier nummer;onder nummer;type;outcome;stemmings type;bron amendement op OB;link amendement HTML op PM;link stemming XML op PM;link stemming in context HTML op PM;bron stemming op OB;nl.p.aov;nl.p.cda;nl.p.d66;nl.p.fractiebierman;nl.p.gl;nl.p.gpv;nl.p.pvda;nl.p.rpf;nl.p.sgp;nl.p.sp;nl.p.vvd;indiener 1, naam volgens stemming;indiener 1, id volgens stemming;indiener 2, naam volgens stemming;indiener 2, id volgens stemming;titel document volgens stemming
commons;1998-1999;3;1998-09-17;26200;3;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-26200-3.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19981999-108-169.1.16.4.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19981999-108-169?view=html#nl.proc.ob.d.h-tk-19981999-108-169.1.16.4.1;https://zoek.officielebekendmakingen.nl/h-tk-19981999-108-169.html;;aye;no;;aye;aye;no;aye;aye;aye;no;De Hoop Scheffer;nl.m.02798;;;motie-De Hoop Scheffer (26200, nr. 3)
commons;1998-1999;3;1998-09-17;26200;18;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-26200-18.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19981999-108-169.1.16.49.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19981999-108-169?view=html#nl.proc.ob.d.h-tk-19981999-108-169.1.16.49.1;https://zoek.officielebekendmakingen.nl/h-tk-19981999-108-169.html;;no;no;;aye;aye;no;aye;aye;aye;no;Schutte;nl.m.02676;Van der Vlies;nl.m.02682;motie-Schutte/Van der Vlies (26200, nr. 18)
commons;1998-1999;3;1998-09-17;26200;17;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-26200-17.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19981999-108-169.1.16.46.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19981999-108-169?view=html#nl.proc.ob.d.h-tk-19981999-108-169.1.16.46.1;https://zoek.officielebekendmakingen.nl/h-tk-19981999-108-169.html;;no;aye;;aye;aye;no;aye;aye;aye;no;Schutte;nl.m.02676;Rosenmöller;nl.m.02970;motie-Schutte/Rosenmöller (26200, nr. 17)
commons;1998-1999;3;1998-09-17;26200;16;motie;not-available;van agenda afgevoerd;https://zoek.officielebekendmakingen.nl/kst-26200-16.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19981999-108-169.1.16.40.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19981999-108-169?view=html#nl.proc.ob.d.h-tk-19981999-108-169.1.16.40.1;https://zoek.officielebekendmakingen.nl/h-tk-19981999-108-169.html;;;;;;;;;;;;Van der Vlies;nl.m.02682;;;motie-Van der Vlies (26200, nr. 16)
commons;1998-1999;3;1998-09-17;26200;15;motie;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-26200-15.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19981999-108-169.1.16.37.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19981999-108-169?view=html#nl.proc.ob.d.h-tk-19981999-108-169.1.16.37.1;https://zoek.officielebekendmakingen.nl/h-tk-19981999-108-169.html;;aye;aye;;aye;aye;aye;aye;aye;aye;no;De Graaf;nl.m.02517;Melkert;nl.m.02807;motie-De Graaf/Melkert (26200, nr. 15)
commons;1998-1999;3;1998-09-17;26200;14;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-26200-14.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19981999-108-169.1.16.34.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19981999-108-169?view=html#nl.proc.ob.d.h-tk-19981999-108-169.1.16.34.1;https://zoek.officielebekendmakingen.nl/h-tk-19981999-108-169.html;;no;no;;aye;no;no;aye;no;aye;no;Marijnissen;nl.m.02529;;;motie-Marijnissen (26200, nr. 14)
commons;1998-1999;3;1998-09-17;26200;13;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-26200-13.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19981999-108-169.1.16.31.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19981999-108-169?view=html#nl.proc.ob.d.h-tk-19981999-108-169.1.16.31.1;https://zoek.officielebekendmakingen.nl/h-tk-19981999-108-169.html;;no;no;;aye;no;no;no;no;aye;no;Marijnissen;nl.m.02529;;;motie-Marijnissen (26200, nr. 13)
commons;1998-1999;3;1998-09-17;26200;12;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-26200-12.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19981999-108-169.1.16.28.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19981999-108-169?view=html#nl.proc.ob.d.h-tk-19981999-108-169.1.16.28.1;https://zoek.officielebekendmakingen.nl/h-tk-19981999-108-169.html;;no;no;;aye;no;no;aye;no;aye;no;Marijnissen;nl.m.02529;;;motie-Marijnissen (26200, nr. 12)
commons;1998-1999;3;1998-09-17;26200;11;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-26200-11.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19981999-108-169.1.16.25.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19981999-108-169?view=html#nl.proc.ob.d.h-tk-19981999-108-169.1.16.25.1;https://zoek.officielebekendmakingen.nl/h-tk-19981999-108-169.html;;no;no;;aye;no;no;no;no;aye;no;Rosenmöller;nl.m.02970;;;motie-Rosenmöller (26200, nr. 11)
commons;1998-1999;3;1998-09-17;26200;10;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-26200-10.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19981999-108-169.1.16.22.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19981999-108-169?view=html#nl.proc.ob.d.h-tk-19981999-108-169.1.16.22.1;https://zoek.officielebekendmakingen.nl/h-tk-19981999-108-169.html;;no;aye;;aye;aye;no;aye;aye;aye;no;Rosenmöller;nl.m.02970;;;motie-Rosenmöller (26200, nr. 10)
commons;1998-1999;3;1998-09-17;26200;9;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-26200-9.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19981999-108-169.1.16.19.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19981999-108-169?view=html#nl.proc.ob.d.h-tk-19981999-108-169.1.16.19.1;https://zoek.officielebekendmakingen.nl/h-tk-19981999-108-169.html;;no;no;;aye;no;no;no;no;aye;no;Rosenmöller;nl.m.02970;;;motie-Rosenmöller (26200, nr. 9)
commons;1998-1999;3;1998-09-17;26200;7;motie;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-26200-7.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19981999-108-169.1.16.16.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19981999-108-169?view=html#nl.proc.ob.d.h-tk-19981999-108-169.1.16.16.1;https://zoek.officielebekendmakingen.nl/h-tk-19981999-108-169.html;;aye;aye;;aye;aye;aye;aye;aye;aye;no;Melkert;nl.m.02807;De Graaf;nl.m.02517;motie-Melkert/De Graaf (26200, nr. 7)
commons;1998-1999;3;1998-09-17;26200;6;motie;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-26200-6.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19981999-108-169.1.16.13.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19981999-108-169?view=html#nl.proc.ob.d.h-tk-19981999-108-169.1.16.13.1;https://zoek.officielebekendmakingen.nl/h-tk-19981999-108-169.html;;aye;aye;;aye;aye;aye;aye;aye;aye;aye;Melkert;nl.m.02807;;;motie-Melkert c.s. (26200, nr. 6)
commons;1998-1999;3;1998-09-17;26200;5;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-26200-5.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19981999-108-169.1.16.10.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19981999-108-169?view=html#nl.proc.ob.d.h-tk-19981999-108-169.1.16.10.1;https://zoek.officielebekendmakingen.nl/h-tk-19981999-108-169.html;;aye;no;;no;no;no;no;aye;no;no;De Hoop Scheffer;nl.m.02798;;;motie-De Hoop Scheffer (26200, nr. 5)
commons;1998-1999;3;1998-09-17;26200;4;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-26200-4.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19981999-108-169.1.16.7.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19981999-108-169?view=html#nl.proc.ob.d.h-tk-19981999-108-169.1.16.7.1;https://zoek.officielebekendmakingen.nl/h-tk-19981999-108-169.html;;aye;aye;;aye;aye;no;aye;aye;aye;no;De Hoop Scheffer;nl.m.02798;;;motie-De Hoop Scheffer (26200, nr. 4)
commons;1998-1999;4;1998-09-22;25737;;wetsvoorstel;accepted;fractie;https://zoek.officielebekendmakingen.nl/dossier/25737;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19981999-188-188.1.14.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19981999-188-188?view=html#nl.proc.ob.d.h-tk-19981999-188-188.1.14.1;https://zoek.officielebekendmakingen.nl/h-tk-19981999-188-188.html;;aye;aye;;aye;aye;aye;aye;aye;aye;aye;;;;;Wijziging van de Opiumwet om onderscheid te kunnen maken tussen Opiumwetmiddelen bij het geven van regels voor het voorschrijven van Opiumwetmiddelen op recept ( 25737)
commons;1998-1999;4;1998-09-22;25737;7;amendement;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-25737-7.html;http://resolver.politicalmashup.nl/nl.parldoc.d.kst-25737-7?view=html;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19981999-188-188.1.7.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19981999-188-188?view=html#nl.proc.ob.d.h-tk-19981999-188-188.1.7.1;https://zoek.officielebekendmakingen.nl/h-tk-19981999-188-188.html;;aye;aye;;no;aye;aye;aye;aye;aye;aye;Apostolou;nl.m.02966;;;amendement-Apostolou (stuk nr. 7)
commons;1998-1999;4;1998-09-22;25474;;wetsvoorstel;accepted;fractie;https://zoek.officielebekendmakingen.nl/dossier/25474;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19981999-188-188-2.1.11.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19981999-188-188-2?view=html#nl.proc.ob.d.h-tk-19981999-188-188-2.1.11.1;https://zoek.officielebekendmakingen.nl/h-tk-19981999-188-188-2.html;;aye;aye;;aye;aye;aye;aye;aye;aye;aye;;;;;Wijziging van het Wetboek van Strafrecht, de Auteurswet 1912 en de Wet op de naburige rechten met het oog op de aanpassing van enkele strafbepalingen in verband met de verordening (EG) nr. 3295/94 van de Raad van de Europese Unie van 22 december 1994 tot vaststelling van maatregelen om het in het vrije verkeer brengen, de uitvoer, de wederuitvoer en de plaatsing onder een schorsingsregeling van nagemaakte of door piraterij verkregen goederen te verbieden (PbEG L 341) en de Overeenkomst tot oprichting van de Wereldhandelsorganisatie, Bijlage 1C, Overeenkomst inzake de handelsaspecten van de intellectuele eigendom (Trb. 1995, 130) ( 25474)
commons;1998-1999;4;1998-09-22;25474;7;amendement;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-25474-7.html;http://resolver.politicalmashup.nl/nl.parldoc.d.kst-25474-7?view=html;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19981999-188-188-2.1.6.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19981999-188-188-2?view=html#nl.proc.ob.d.h-tk-19981999-188-188-2.1.6.1;https://zoek.officielebekendmakingen.nl/h-tk-19981999-188-188-2.html;;aye;aye;;no;no;aye;no;no;aye;aye;Dittrich;nl.m.02512;;;amendement-Dittrich (stuk nr. 7)
commons;1998-1999;4;1998-09-22;25703;;wetsvoorstel;accepted;fractie;https://zoek.officielebekendmakingen.nl/dossier/25703;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19981999-188-188-1.1.7.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19981999-188-188-1?view=html#nl.proc.ob.d.h-tk-19981999-188-188-1.1.7.1;https://zoek.officielebekendmakingen.nl/h-tk-19981999-188-188-1.html;;aye;aye;;no;aye;aye;aye;aye;aye;aye;;;;;Wijziging van de Wet conflictenrecht huwelijk ( 25703)
commons;1998-1999;7;1998-09-29;25798;;wetsvoorstel;accepted;fractie;https://zoek.officielebekendmakingen.nl/dossier/25798;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19981999-263-263.1.27.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19981999-263-263?view=html#nl.proc.ob.d.h-tk-19981999-263-263.1.27.1;https://zoek.officielebekendmakingen.nl/h-tk-19981999-263-263.html;;no;aye;;aye;no;aye;no;no;aye;aye;;;;;Wijziging van de Wet op het primair onderwijs, de Wet op de expertisecentra en de Wet op het voortgezet onderwijs in verband met de verruiming van de bijdrageregeling voor het leerlingenvervoer ( 25798)
commons;1998-1999;7;1998-09-29;25798;12;amendement;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-25798-12.html;http://resolver.politicalmashup.nl/nl.parldoc.d.kst-25798-12?view=html;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19981999-263-263.1.17.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19981999-263-263?view=html#nl.proc.ob.d.h-tk-19981999-263-263.1.17.1;https://zoek.officielebekendmakingen.nl/h-tk-19981999-263-263.html;;aye;aye;;aye;aye;aye;aye;aye;aye;aye;Lambrechts;nl.m.02526;;;amendement-Lambrechts c.s. (stuk nr. 12)
commons;1998-1999;7;1998-09-29;25798;9;amendement;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-25798-9.html;http://resolver.politicalmashup.nl/nl.parldoc.d.kst-25798-9?view=html;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19981999-263-263.1.13.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19981999-263-263?view=html#nl.proc.ob.d.h-tk-19981999-263-263.1.13.1;https://zoek.officielebekendmakingen.nl/h-tk-19981999-263-263.html;;aye;no;;aye;aye;no;aye;aye;no;no;Schutte;nl.m.02676;;;amendement-Schutte c.s. (stuk nr. 9, I)
commons;1998-1999;7;1998-09-29;25798;8;amendement;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-25798-8.html;http://resolver.politicalmashup.nl/nl.parldoc.d.kst-25798-8?view=html;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19981999-263-263.1.8.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19981999-263-263?view=html#nl.proc.ob.d.h-tk-19981999-263-263.1.8.1;https://zoek.officielebekendmakingen.nl/h-tk-19981999-263-263.html;;aye;no;;aye;aye;aye;aye;aye;aye;aye;Schutte;nl.m.02676;;;amendement-Schutte c.s. (stuk nr. 8, I)
commons;1998-1999;7;1998-09-29;25872:,1606;7;motie;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-25872:,1606-7.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19981999-263-263-1.1.15.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19981999-263-263-1?view=html#nl.proc.ob.d.h-tk-19981999-263-263-1.1.15.1;https://zoek.officielebekendmakingen.nl/h-tk-19981999-263-263-1.html;;aye;aye;;aye;aye;aye;aye;aye;aye;aye;Udo;nl.m.02256;;;de motie-Udo c.s. over de Nederlandse achterstand met betrekking tot octrooiverlening ( 25872, R1606, nr. 7)
commons;1998-1999;7;1998-09-29;25872;;wetsvoorstel;accepted;fractie;https://zoek.officielebekendmakingen.nl/dossier/25872;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19981999-263-263-1.1.12.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19981999-263-263-1?view=html#nl.proc.ob.d.h-tk-19981999-263-263-1.1.12.1;https://zoek.officielebekendmakingen.nl/h-tk-19981999-263-263-1.html;;aye;aye;;aye;aye;aye;aye;aye;aye;aye;;;;;Herstel van gebreken en leemten in de Rijksoctrooiwet en de Rijksoctrooiwet 1995 alsmede het laten vervallen van de verplichte domiciliekeuze ( 25872, R1606)
commons;1998-1999;7;1998-09-29;25872;6;amendement;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-25872-6.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19981999-263-263-1.1.7.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19981999-263-263-1?view=html#nl.proc.ob.d.h-tk-19981999-263-263-1.1.7.1;https://zoek.officielebekendmakingen.nl/h-tk-19981999-263-263-1.html;;aye;aye;;aye;aye;aye;aye;aye;aye;aye;Van der Hoeven;nl.m.02880;;;amendement-Van der Hoeven c.s. (stuk nr. 6)
commons;1998-1999;7;1998-09-29;25871;17;motie;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-25871-17.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19981999-262-263.1.32.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19981999-262-263?view=html#nl.proc.ob.d.h-tk-19981999-262-263.1.32.1;https://zoek.officielebekendmakingen.nl/h-tk-19981999-262-263.html;;aye;aye;;aye;aye;aye;aye;aye;aye;aye;Rijpstra;nl.m.02539;;;de motie-Rijpstra c.s. over een betere samenhang van het onderwijs aan zieke kinderen ( 25871, nr. 17)
commons;1998-1999;7;1998-09-29;25871;;wetsvoorstel;accepted;fractie;https://zoek.officielebekendmakingen.nl/dossier/25871;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19981999-262-263.1.29.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19981999-262-263?view=html#nl.proc.ob.d.h-tk-19981999-262-263.1.29.1;https://zoek.officielebekendmakingen.nl/h-tk-19981999-262-263.html;;aye;aye;;aye;aye;aye;aye;aye;aye;aye;;;;;Wijziging van de Wet op de expertisecentra, de Wet op het primair onderwijs, de Wet op het voortgezet onderwijs, de Wet educatie en beroepsonderwijs en de Wet op het hoger onderwijs en wetenschappelijk onderzoek inzake de ondersteuning bij het onderwijs aan zieke leerlingen (ondersteuning onderwijs aan zieke leerlingen) ( 25871)
commons;1998-1999;7;1998-09-29;25871;10;amendement;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-25871-10.html;http://resolver.politicalmashup.nl/nl.parldoc.d.kst-25871-10?view=html;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19981999-262-263.1.25.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19981999-262-263?view=html#nl.proc.ob.d.h-tk-19981999-262-263.1.25.1;https://zoek.officielebekendmakingen.nl/h-tk-19981999-262-263.html;;aye;no;;aye;aye;no;aye;aye;aye;no;Van Bommel;nl.m.02211;;;amendement-Van Bommel (stuk nr. 10)
commons;1998-1999;7;1998-09-29;25871;15;amendement;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-25871-15.html;http://resolver.politicalmashup.nl/nl.parldoc.d.kst-25871-15?view=html;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19981999-262-263.1.17.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19981999-262-263?view=html#nl.proc.ob.d.h-tk-19981999-262-263.1.17.1;https://zoek.officielebekendmakingen.nl/h-tk-19981999-262-263.html;;aye;no;;aye;no;no;no;no;aye;no;Ross-van Dorp;nl.m.02238;;;amendement-Ross-van Dorp (stuk nr. 15, I)
commons;1998-1999;7;1998-09-29;25871;9;amendement;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-25871-9.html;http://resolver.politicalmashup.nl/nl.parldoc.d.kst-25871-9?view=html;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19981999-262-263.1.14.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19981999-262-263?view=html#nl.proc.ob.d.h-tk-19981999-262-263.1.14.1;https://zoek.officielebekendmakingen.nl/h-tk-19981999-262-263.html;;no;no;;aye;no;no;no;no;aye;no;Van Bommel;nl.m.02211;;;amendement-Van Bommel (stuk nr. 9, I)
commons;1998-1999;7;1998-09-29;25871;20;amendement;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-25871-20.html;http://resolver.politicalmashup.nl/nl.parldoc.d.kst-25871-20?view=html;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19981999-262-263.1.11.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19981999-262-263?view=html#nl.proc.ob.d.h-tk-19981999-262-263.1.11.1;https://zoek.officielebekendmakingen.nl/h-tk-19981999-262-263.html;;no;no;;aye;aye;no;aye;aye;aye;no;Rabbae;nl.m.02537;;;amendement-Rabbae (stuk nr. 20, I)
commons;1998-1999;7;1998-09-29;25871;19;amendement;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-25871-19.html;http://resolver.politicalmashup.nl/nl.parldoc.d.kst-25871-19?view=html;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19981999-262-263.1.7.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19981999-262-263?view=html#nl.proc.ob.d.h-tk-19981999-262-263.1.7.1;https://zoek.officielebekendmakingen.nl/h-tk-19981999-262-263.html;;aye;no;;aye;aye;no;aye;aye;no;no;Rabbae;nl.m.02537;;;amendement-Rabbae (stuk nr. 19, I)
commons;1998-1999;8;1998-09-30;26134;6;motie;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-26134-6.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19981999-332-333.1.7.12.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19981999-332-333?view=html#nl.proc.ob.d.h-tk-19981999-332-333.1.7.12.1;https://zoek.officielebekendmakingen.nl/h-tk-19981999-332-333.html;;aye;aye;;aye;aye;no;aye;aye;aye;aye;Cornielje;nl.m.02506;;;de motie-Cornielje c.s. over VBO-groenafdelingen ( 26134, nr. 6)
commons;1998-1999;8;1998-09-30;26134;5;motie;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-26134-5.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19981999-332-333.1.7.9.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19981999-332-333?view=html#nl.proc.ob.d.h-tk-19981999-332-333.1.7.9.1;https://zoek.officielebekendmakingen.nl/h-tk-19981999-332-333.html;;aye;aye;;aye;aye;no;aye;aye;aye;aye;Lambrechts;nl.m.02526;Cornielje;nl.m.02506;de motie-Lambrechts/Cornielje over meer ruimte voor smalle scholengemeenschappen ( 26134, nr. 5)
commons;1998-1999;8;1998-09-30;26134;4;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-26134-4.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19981999-332-333.1.7.6.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19981999-332-333?view=html#nl.proc.ob.d.h-tk-19981999-332-333.1.7.6.1;https://zoek.officielebekendmakingen.nl/h-tk-19981999-332-333.html;;no;no;;no;no;no;no;no;aye;no;Van Bommel;nl.m.02211;;;de motie-Van Bommel over een onderzoek naar de invloed van islamitisch onderwijs op de integratie van leerlingen ( 26134, nr. 4)
commons;1998-1999;8;1998-09-30;26134;3;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-26134-3.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19981999-332-333.1.7.3.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19981999-332-333?view=html#nl.proc.ob.d.h-tk-19981999-332-333.1.7.3.1;https://zoek.officielebekendmakingen.nl/h-tk-19981999-332-333.html;;no;no;;aye;no;no;no;no;no;no;Halsema;nl.m.02220;;;de motie-Halsema over de aanvraag voor een brede scholengemeenschap voor Nederlands-islamitisch onderwijs te Rotterdam ( 26134, nr. 3)
commons;1998-1999;8;1998-09-30;26134;2;motie;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-26134-2.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19981999-332-333.1.6.3.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19981999-332-333?view=html#nl.proc.ob.d.h-tk-19981999-332-333.1.6.3.1;https://zoek.officielebekendmakingen.nl/h-tk-19981999-332-333.html;;aye;no;;aye;aye;no;aye;aye;no;aye;Schutte;nl.m.02676;;;de motie-Schutte c.s. over het verzoek van de Stichting evangelisch voortgezet onderwijs in Utrecht ( 26134, nr. 2)
commons;1998-1999;10;1998-10-06;26200;33;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-26200-33.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19981999-467-468.1.19.3.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19981999-467-468?view=html#nl.proc.ob.d.h-tk-19981999-467-468.1.19.3.1;https://zoek.officielebekendmakingen.nl/h-tk-19981999-467-468.html;;no;no;;aye;aye;no;aye;aye;aye;no;Van Dijke;nl.m.02509;;;de motie-Van Dijke over plafonnering van de kosten van opvang van asielzoekers ten laste van Ontwikkelingssamenwerking ( 26200, nr. 33)
commons;1998-1999;10;1998-10-06;26200;29;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-26200-29.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19981999-467-468.1.17.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19981999-467-468?view=html#nl.proc.ob.d.h-tk-19981999-467-468.1.17.1;https://zoek.officielebekendmakingen.nl/h-tk-19981999-467-468.html;;no;no;;aye;no;no;no;no;aye;no;Vendrik;nl.m.02245;;;de motie-Vendrik over het gebruik van meevallende inkomsten voor verdere verlaging van het tarief nieuwe eerste schijf ( 26200, nr. 29)
commons;1998-1999;10;1998-10-06;26200;28;motie;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-26200-28.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19981999-467-468.1.14.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19981999-467-468?view=html#nl.proc.ob.d.h-tk-19981999-467-468.1.14.1;https://zoek.officielebekendmakingen.nl/h-tk-19981999-467-468.html;;aye;aye;;aye;aye;aye;aye;aye;aye;no;Crone;nl.m.02507;;;de motie-Crone c.s. over een maximale inzet voor ingrijpende maatregelen van het IMF en de Wereldbank ( 26200, nr. 28)
commons;1998-1999;10;1998-10-06;26200;26;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-26200-26.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19981999-467-468.1.11.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19981999-467-468?view=html#nl.proc.ob.d.h-tk-19981999-467-468.1.11.1;https://zoek.officielebekendmakingen.nl/h-tk-19981999-467-468.html;;aye;no;;no;no;no;no;no;no;no;Balkenende;nl.m.02207;;;de motie-Balkenende over lastenverzwaringen en koopkrachtvermindering ( 26200, nr. 26)
