#house;legislative-period;session-number;date of vote;dossier nummer;onder nummer;type;outcome;stemmings type;bron amendement op OB;link amendement HTML op PM;link stemming XML op PM;link stemming in context HTML op PM;bron stemming op OB;nl.p.50plus;nl.p.cda;nl.p.cu;nl.p.d66;nl.p.fractieyildirim;nl.p.gl;nl.p.osf;nl.p.pvda;nl.p.pvdd;nl.p.pvv;nl.p.sgp;nl.p.sp;nl.p.vvd;indiener 1, naam volgens stemming;indiener 1, id volgens stemming;indiener 2, naam volgens stemming;indiener 2, id volgens stemming;titel document volgens stemming
commons;2010-2011;98;2011-06-28;27428;200;motie;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-27428-200.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20102011-98-24.1.9.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20102011-98-24?view=html#nl.proc.ob.d.h-tk-20102011-98-24.1.9.1;https://zoek.officielebekendmakingen.nl/h-tk-20102011-98-24.html;;aye;aye;no;;aye;;aye;aye;aye;aye;aye;aye;Van Gerven;nl.m.03116;;;motie-Van Gerven ( 27428, nr. 200)
commons;2010-2011;98;2011-06-28;27428;192;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-27428-192.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20102011-98-24.1.12.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20102011-98-24?view=html#nl.proc.ob.d.h-tk-20102011-98-24.1.12.1;https://zoek.officielebekendmakingen.nl/h-tk-20102011-98-24.html;;no;aye;no;;aye;;aye;aye;no;aye;aye;no;Van Gerven;nl.m.03116;;;de motie-Van Gerven over milieueffecten van ggo's ( 27428, nr. 192) 
commons;2010-2011;98;2011-06-28;27428;193;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-27428-193.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20102011-98-24.1.15.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20102011-98-24?view=html#nl.proc.ob.d.h-tk-20102011-98-24.1.15.1;https://zoek.officielebekendmakingen.nl/h-tk-20102011-98-24.html;;no;aye;no;;aye;;aye;aye;no;aye;aye;no;Van Gerven;nl.m.03116;;;de motie-Van Gerven over genetisch gemodificeerde gewassen ( 27428, nr. 193) 
commons;2010-2011;98;2011-06-28;27428;194;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-27428-194.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20102011-98-24.1.18.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20102011-98-24?view=html#nl.proc.ob.d.h-tk-20102011-98-24.1.18.1;https://zoek.officielebekendmakingen.nl/h-tk-20102011-98-24.html;;no;aye;no;;aye;;aye;aye;no;aye;aye;no;Ouwehand;nl.m.03108;;;de motie-Ouwehand over patenten op genen en genetische eigenschappen ( 27428, nr. 194) 
commons;2010-2011;98;2011-06-28;27428;195;motie;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-27428-195.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20102011-98-24.1.21.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20102011-98-24?view=html#nl.proc.ob.d.h-tk-20102011-98-24.1.21.1;https://zoek.officielebekendmakingen.nl/h-tk-20102011-98-24.html;;aye;aye;aye;;aye;;aye;aye;no;aye;aye;no;Wiegman-van Meppelen Scheppink;nl.m.03125;Dijkgraaf;nl.m.02306;de motie-Wiegman-van Meppelen Scheppink/Dijkgraaf over de veredelingssector ( 27428, nr. 195) 
commons;2010-2011;98;2011-06-28;27428;196;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-27428-196.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20102011-98-24.1.24.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20102011-98-24?view=html#nl.proc.ob.d.h-tk-20102011-98-24.1.24.1;https://zoek.officielebekendmakingen.nl/h-tk-20102011-98-24.html;;no;aye;aye;;aye;;aye;aye;no;aye;aye;no;Dijkgraaf;nl.m.02306;Wiegman-van Meppelen Scheppink;nl.m.03125;de motie-Dijkgraaf/Wiegman-van Meppelen Scheppink over milieucriteria ( 27428, nr. 196) 
commons;2010-2011;98;2011-06-28;32314;;wetsvoorstel;accepted;fractie;https://zoek.officielebekendmakingen.nl/dossier/32314;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20102011-98-29.1.13.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20102011-98-29?view=html#nl.proc.ob.d.h-tk-20102011-98-29.1.13.1;https://zoek.officielebekendmakingen.nl/h-tk-20102011-98-29.html;;aye;aye;aye;;aye;;aye;no;aye;aye;no;aye;;;;;Aan de orde zijn de stemmingenin verband met het wetsvoorstel Instelling van de Raad voor de leefomgeving en infrastructuur (Wet Raad voor de leefomgeving en infrastructuur) (32314)
commons;2010-2011;98;2011-06-28;32314;10;amendement;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-32314-10.html;http://resolver.politicalmashup.nl/nl.parldoc.d.kst-32314-10?view=html;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20102011-98-29.1.10.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20102011-98-29?view=html#nl.proc.ob.d.h-tk-20102011-98-29.1.10.1;https://zoek.officielebekendmakingen.nl/h-tk-20102011-98-29.html;;no;no;no;;aye;;no;aye;no;no;aye;no;Paulus Jansen;nl.m.03106;;;amendement-Paulus Jansen (stuk nr. 10)
commons;2010-2011;98;2011-06-28;32314;9;amendement;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-32314-9.html;http://resolver.politicalmashup.nl/nl.parldoc.d.kst-32314-9?view=html;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20102011-98-29.1.7.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20102011-98-29?view=html#nl.proc.ob.d.h-tk-20102011-98-29.1.7.1;https://zoek.officielebekendmakingen.nl/h-tk-20102011-98-29.html;;no;aye;aye;;aye;;no;aye;no;aye;aye;no;Paulus Jansen;nl.m.03106;;;amendement-Paulus Jansen (stuk nr. 9)
commons;2010-2011;98;2011-06-28;27428;197;motie;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-27428-197.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20102011-98-24.1.27.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20102011-98-24?view=html#nl.proc.ob.d.h-tk-20102011-98-24.1.27.1;https://zoek.officielebekendmakingen.nl/h-tk-20102011-98-24.html;;aye;no;aye;;no;;no;no;aye;no;no;aye;Van Bemmel;nl.m.03234;;;de motie-Van Bemmel over een gedragscode ( 27428, nr. 197) 
