#house;legislative-period;session-number;date of vote;dossier nummer;onder nummer;type;outcome;stemmings type;bron amendement op OB;link amendement HTML op PM;link stemming XML op PM;link stemming in context HTML op PM;bron stemming op OB;nl.p.cda;nl.p.cu;nl.p.d66;nl.p.gl;nl.p.groepeerdmansvanschijndel;nl.p.groeplazrak;nl.p.groepnawijn;nl.p.groepvanoudenallen;nl.p.groepwilders;nl.p.lpf;nl.p.osf;nl.p.pvda;nl.p.pvdd;nl.p.pvv;nl.p.sgp;nl.p.sp;nl.p.vvd;indiener 1, naam volgens stemming;indiener 1, id volgens stemming;indiener 2, naam volgens stemming;indiener 2, id volgens stemming;titel document volgens stemming
commons;2006-2007;2;2006-09-20;30350;;wetsvoorstel;accepted;fractie;https://zoek.officielebekendmakingen.nl/dossier/30350;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20062007-9-9-1.1.7.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20062007-9-9-1?view=html#nl.proc.ob.d.h-tk-20062007-9-9-1.1.7.1;https://zoek.officielebekendmakingen.nl/h-tk-20062007-9-9-1.html;aye;aye;aye;aye;aye;aye;aye;aye;aye;aye;;aye;;;aye;aye;aye;;;;;Wijziging van de Wet op het notarisambt en enige andere wetten in verband met de invoering van de mogelijkheid het ambt van notaris in dienstbetrekking uit te oefenen en het aanbrengen van enkele wijzingen van technische aard (Wet notaris in dienstbetrekking) ( 30350)
commons;2006-2007;2;2006-09-20;30501;11;motie;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-30501-11.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20062007-11-11.1.24.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20062007-11-11?view=html#nl.proc.ob.d.h-tk-20062007-11-11.1.24.1;https://zoek.officielebekendmakingen.nl/h-tk-20062007-11-11.html;aye;aye;aye;aye;aye;aye;no;aye;aye;aye;;aye;;;aye;aye;aye;Atsma;nl.m.02204;;;de motie-Atsma c.s. over uniforme regels voor opdrachten onder de Europese drempelwaarden ( 30501, nr. 11)
commons;2006-2007;2;2006-09-20;30501;12;motie;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-30501-12.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20062007-11-11.1.27.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20062007-11-11?view=html#nl.proc.ob.d.h-tk-20062007-11-11.1.27.1;https://zoek.officielebekendmakingen.nl/h-tk-20062007-11-11.html;aye;aye;aye;aye;aye;aye;no;aye;aye;aye;;aye;;;aye;aye;aye;Atsma;nl.m.02204;;;de motie-Atsma c.s. over de geldigheidsduur van de integriteitsverklaring ( 30501, nr. 12)
commons;2006-2007;2;2006-09-20;30474;10;amendement;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-30474-10.html;http://resolver.politicalmashup.nl/nl.parldoc.d.kst-30474-10?view=html;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20062007-11-12.1.7.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20062007-11-12?view=html#nl.proc.ob.d.h-tk-20062007-11-12.1.7.1;https://zoek.officielebekendmakingen.nl/h-tk-20062007-11-12.html;aye;aye;no;no;no;no;aye;aye;aye;aye;;aye;;;aye;no;aye;Mastwijk;nl.m.02332;Oplaat;nl.m.02233;amendement-Mastwijk/Oplaat (stuk nr. 10)
commons;2006-2007;2;2006-09-20;30474;19;amendement;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-30474-19.html;http://resolver.politicalmashup.nl/nl.parldoc.d.kst-30474-19?view=html;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20062007-11-12.1.12.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20062007-11-12?view=html#nl.proc.ob.d.h-tk-20062007-11-12.1.12.1;https://zoek.officielebekendmakingen.nl/h-tk-20062007-11-12.html;no;no;no;no;no;no;aye;aye;no;aye;;no;;;no;no;no;Van den Brink;nl.m.02366;;;amendement-Van den Brink (stuk nr. 19)
commons;2006-2007;2;2006-09-20;30474;8;amendement;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-30474-8.html;http://resolver.politicalmashup.nl/nl.parldoc.d.kst-30474-8?view=html;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20062007-11-12.1.17.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20062007-11-12?view=html#nl.proc.ob.d.h-tk-20062007-11-12.1.17.1;https://zoek.officielebekendmakingen.nl/h-tk-20062007-11-12.html;aye;aye;aye;no;no;no;aye;aye;aye;aye;;no;;;aye;aye;aye;Mastwijk;nl.m.02332;;;amendement-Mastwijk c.s. (stuk nr. 8, I)
commons;2006-2007;2;2006-09-20;30474;13;amendement;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-30474-13.html;http://resolver.politicalmashup.nl/nl.parldoc.d.kst-30474-13?view=html;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20062007-11-12.1.27.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20062007-11-12?view=html#nl.proc.ob.d.h-tk-20062007-11-12.1.27.1;https://zoek.officielebekendmakingen.nl/h-tk-20062007-11-12.html;no;no;no;no;no;no;aye;aye;no;aye;;no;;;no;no;no;Van den Brink;nl.m.02366;;;amendement-Van den Brink (stuk nr. 13)
commons;2006-2007;2;2006-09-20;30474;;wetsvoorstel;accepted;fractie;https://zoek.officielebekendmakingen.nl/dossier/30474;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20062007-11-12.1.34.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20062007-11-12?view=html#nl.proc.ob.d.h-tk-20062007-11-12.1.34.1;https://zoek.officielebekendmakingen.nl/h-tk-20062007-11-12.html;aye;aye;aye;aye;aye;aye;aye;aye;aye;aye;;aye;;;aye;aye;aye;;;;;Regeling voor de toelating, het op de markt brengen en het gebruik van gewasbeschermingmiddelen en biociden (Wet gewasbeschermingsmiddelen en biociden) ( 30474)
commons;2006-2007;2;2006-09-20;30474;15;motie;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-30474-15.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20062007-11-12.1.37.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20062007-11-12?view=html#nl.proc.ob.d.h-tk-20062007-11-12.1.37.1;https://zoek.officielebekendmakingen.nl/h-tk-20062007-11-12.html;aye;aye;no;no;no;no;aye;aye;aye;aye;;no;;;aye;no;aye;Oplaat;nl.m.02233;;;de motie-Oplaat c.s. over rechtstreekse vertaling van Europese regelgeving ( 30474, nr. 15)
commons;2006-2007;2;2006-09-20;30474;16;motie;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-30474-16.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20062007-11-12.1.40.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20062007-11-12?view=html#nl.proc.ob.d.h-tk-20062007-11-12.1.40.1;https://zoek.officielebekendmakingen.nl/h-tk-20062007-11-12.html;aye;aye;aye;aye;aye;aye;aye;aye;aye;aye;;aye;;;aye;aye;aye;Mastwijk;nl.m.02332;;;de motie-Mastwijk c.s. over gebruik van gewasbeschermingsmiddelen zonder toelating ( 30474, nr. 16)
commons;2006-2007;2;2006-09-20;30474;17;motie;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-30474-17.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20062007-11-12.1.43.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20062007-11-12?view=html#nl.proc.ob.d.h-tk-20062007-11-12.1.43.1;https://zoek.officielebekendmakingen.nl/h-tk-20062007-11-12.html;aye;aye;no;no;no;no;aye;aye;aye;aye;;aye;;;aye;no;aye;Mastwijk;nl.m.02332;;;de motie-Mastwijk c.s. over saldobenadering bij gewasbescherming ( 30474, nr. 17)
commons;2006-2007;2;2006-09-20;30474;18;motie;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-30474-18.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20062007-11-12.1.46.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20062007-11-12?view=html#nl.proc.ob.d.h-tk-20062007-11-12.1.46.1;https://zoek.officielebekendmakingen.nl/h-tk-20062007-11-12.html;aye;no;no;no;no;no;aye;aye;aye;aye;;no;;;aye;no;aye;Van den Brink;nl.m.02366;Mastwijk;nl.m.02332;de motie-Van den Brink/Mastwijk over het afzien van verdergaande maatregelen dan de Europese richtlijnen voorschrijven ( 30474, nr. 18)
commons;2006-2007;2;2006-09-20;30541;;wetsvoorstel;accepted;fractie;https://zoek.officielebekendmakingen.nl/dossier/30541;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20062007-12-12.1.7.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20062007-12-12?view=html#nl.proc.ob.d.h-tk-20062007-12-12.1.7.1;https://zoek.officielebekendmakingen.nl/h-tk-20062007-12-12.html;aye;aye;aye;aye;aye;aye;aye;aye;aye;aye;;aye;;;aye;aye;aye;;;;;Wijziging van de Wet educatie en beroepsonderwijs en de Wet op het onderwijstoezicht in verband met de beëindiging van de bekostigingsrelatie tussen de agrarische innovatie- en praktijkcentra en de Minister van Landbouw, Natuur en Voedselkwaliteit ( 30541)
commons;2006-2007;2;2006-09-20;30501;10;motie;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-30501-10.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20062007-11-11.1.21.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20062007-11-11?view=html#nl.proc.ob.d.h-tk-20062007-11-11.1.21.1;https://zoek.officielebekendmakingen.nl/h-tk-20062007-11-11.html;aye;aye;aye;aye;aye;aye;aye;aye;aye;aye;;aye;;;aye;aye;aye;Aptroot;nl.m.02412;;;de motie-Aptroot c.s. over uniformiteit in aanbestedingsregels ( 30501, nr. 10)
commons;2006-2007;2;2006-09-20;30501;;wetsvoorstel;accepted;fractie;https://zoek.officielebekendmakingen.nl/dossier/30501;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20062007-11-11.1.18.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20062007-11-11?view=html#nl.proc.ob.d.h-tk-20062007-11-11.1.18.1;https://zoek.officielebekendmakingen.nl/h-tk-20062007-11-11.html;aye;aye;aye;aye;aye;aye;aye;aye;aye;aye;;aye;;;aye;aye;aye;;;;;Regels voor het gunnen van overheidsopdrachten door aanbestedende diensten en opdrachten door speciale-sectorbedrijven (Aanbestedingswet) ( 30501)
commons;2006-2007;2;2006-09-20;29326;9;motie;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-29326-9.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20062007-9-9.1.6.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20062007-9-9?view=html#nl.proc.ob.d.h-tk-20062007-9-9.1.6.1;https://zoek.officielebekendmakingen.nl/h-tk-20062007-9-9.html;aye;aye;no;aye;no;no;aye;aye;aye;aye;;aye;;;aye;aye;no;Atsma;nl.m.02204;;;de motie-Atsma c.s. over het tegengaan van schadelijke invloeden van het internetgebruik op jeugdigen ( 29326, nr. 9)
commons;2006-2007;2;2006-09-20;29326;10;motie;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-29326-10.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20062007-9-9.1.9.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20062007-9-9?view=html#nl.proc.ob.d.h-tk-20062007-9-9.1.9.1;https://zoek.officielebekendmakingen.nl/h-tk-20062007-9-9.html;aye;aye;no;aye;no;no;no;no;no;no;;aye;;;aye;aye;no;Slob;nl.m.01639;;;de motie-Slob c.s. over het versterken van media-educatie op scholen ( 29326, nr. 10)
commons;2006-2007;2;2006-09-20;29326;11;motie;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-29326-11.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20062007-9-9.1.12.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20062007-9-9?view=html#nl.proc.ob.d.h-tk-20062007-9-9.1.12.1;https://zoek.officielebekendmakingen.nl/h-tk-20062007-9-9.html;aye;aye;no;aye;no;no;no;no;no;no;;aye;;;aye;aye;no;Van der Vlies;nl.m.02682;;;de motie-Van der Vlies c.s. over een systeem voor geschiktheidsinformatie ( 29326, nr. 11)
commons;2006-2007;2;2006-09-20;30362;9;amendement;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-30362-9.html;http://resolver.politicalmashup.nl/nl.parldoc.d.kst-30362-9?view=html;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20062007-10-10-1.1.7.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20062007-10-10-1?view=html#nl.proc.ob.d.h-tk-20062007-10-10-1.1.7.1;https://zoek.officielebekendmakingen.nl/h-tk-20062007-10-10-1.html;no;no;aye;no;no;no;no;no;no;no;;no;;;no;no;aye;Weekers;nl.m.02247;;;amendement-Weekers (stuk nr. 9, I)
commons;2006-2007;2;2006-09-20;30362;;wetsvoorstel;accepted;fractie;https://zoek.officielebekendmakingen.nl/dossier/30362;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20062007-10-10-1.1.16.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20062007-10-10-1?view=html#nl.proc.ob.d.h-tk-20062007-10-10-1.1.16.1;https://zoek.officielebekendmakingen.nl/h-tk-20062007-10-10-1.html;aye;no;aye;aye;no;no;no;aye;aye;aye;;aye;;;no;no;no;;;;;Wijziging van de Wet op de kansspelen houdende tijdelijke bepalingen met betrekking tot kansspelen via internet ( 30362)
commons;2006-2007;2;2006-09-20;30480;;wetsvoorstel;accepted;fractie;https://zoek.officielebekendmakingen.nl/dossier/30480;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20062007-10-10.1.7.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20062007-10-10?view=html#nl.proc.ob.d.h-tk-20062007-10-10.1.7.1;https://zoek.officielebekendmakingen.nl/h-tk-20062007-10-10.html;aye;aye;aye;aye;aye;aye;aye;aye;aye;aye;;aye;;;aye;no;aye;;;;;Wijziging van de Gemeentewet en de Provinciewet in verband met een verruiming van de bevoegdheid van de raad en provinciale staten om tijdelijk ontheffing te verlenen van het vereiste van ingezetenschap voor wethouders en gedeputeerden ( 30480)
commons;2006-2007;2;2006-09-20;27925;230;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-27925-230.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20062007-9-10.1.6.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20062007-9-10?view=html#nl.proc.ob.d.h-tk-20062007-9-10.1.6.1;https://zoek.officielebekendmakingen.nl/h-tk-20062007-9-10.html;no;no;aye;aye;no;no;no;no;no;no;;aye;;;no;aye;no;Koenders;nl.m.02611;;;de motie-Koenders c.s. over een afkeurende politieke verklaring over illegale detentiecentra ( 27925, nr. 230)
commons;2006-2007;2;2006-09-20;27925;231;motie;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-27925-231.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20062007-9-10.1.9.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20062007-9-10?view=html#nl.proc.ob.d.h-tk-20062007-9-10.1.9.1;https://zoek.officielebekendmakingen.nl/h-tk-20062007-9-10.html;aye;aye;aye;aye;aye;aye;aye;aye;aye;aye;;aye;;;aye;aye;aye;Van Baalen;nl.m.02288;Ormel;nl.m.02368;de motie-Van Baalen/Ormel over afspraken om te voorkomen dat gevangenen aan het internationale recht worden onttrokken ( 27925, nr. 231)
commons;2006-2007;2;2006-09-20;30501;13;amendement;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-30501-13.html;http://resolver.politicalmashup.nl/nl.parldoc.d.kst-30501-13?view=html;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20062007-11-11.1.7.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20062007-11-11?view=html#nl.proc.ob.d.h-tk-20062007-11-11.1.7.1;https://zoek.officielebekendmakingen.nl/h-tk-20062007-11-11.html;aye;aye;aye;aye;aye;aye;aye;aye;aye;aye;;aye;;;aye;aye;aye;Verdaas;nl.m.02466;;;amendement-Verdaas c.s. (stuk nr. 13, I)
commons;2006-2007;2;2006-09-20;30316;7;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-30316-7.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20062007-10-11.1.7.3.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20062007-10-11?view=html#nl.proc.ob.d.h-tk-20062007-10-11.1.7.3.1;https://zoek.officielebekendmakingen.nl/h-tk-20062007-10-11.html;no;no;aye;aye;no;no;no;no;no;no;;aye;;;no;aye;no;Kant;nl.m.02226;;;de motie-Kant over voorstellen voor opvoedingsondersteuning voor ouders ( 30316, nr. 7)
commons;2006-2007;2;2006-09-20;30316;;wetsvoorstel;accepted;fractie;https://zoek.officielebekendmakingen.nl/dossier/30316;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20062007-10-11.1.6.4.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20062007-10-11?view=html#nl.proc.ob.d.h-tk-20062007-10-11.1.6.4.1;https://zoek.officielebekendmakingen.nl/h-tk-20062007-10-11.html;aye;aye;aye;aye;aye;aye;aye;aye;aye;aye;;aye;;;aye;aye;aye;;;;;Wijziging van Boek 1 van het Burgerlijk Wetboek teneinde een bijdrage te leveren aan het voorkomen van het gebruik van geestelijk of lichamelijk geweld jegens of van enige andere vernederende behandeling van kinderen in de verzorging en opvoeding ( 30316)
commons;2006-2007;2;2006-09-20;27925;232;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-27925-232.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20062007-9-10.1.12.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20062007-9-10?view=html#nl.proc.ob.d.h-tk-20062007-9-10.1.12.1;https://zoek.officielebekendmakingen.nl/h-tk-20062007-9-10.html;no;no;aye;aye;no;no;no;no;no;no;;aye;;;no;aye;no;Van Bommel;nl.m.02211;;;de motie-Van Bommel c.s. over een parlementair onderzoek ( 27925, nr. 232)
commons;2006-2007;4;2006-09-26;30413;76;motie;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-30413-76.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20062007-148-152.1.152.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20062007-148-152?view=html#nl.proc.ob.d.h-tk-20062007-148-152.1.152.1;https://zoek.officielebekendmakingen.nl/h-tk-20062007-148-152.html;aye;aye;aye;aye;aye;no;no;aye;no;aye;;aye;;;aye;aye;no;Verbeet;nl.m.02577;;;de motie-Verbeet c.s. over een maatschappelijk debat over het tweedepijlerpensioen ( 30413, nr. 76)
commons;2006-2007;4;2006-09-26;30413;74;motie;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-30413-74.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20062007-148-152.1.149.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20062007-148-152?view=html#nl.proc.ob.d.h-tk-20062007-148-152.1.149.1;https://zoek.officielebekendmakingen.nl/h-tk-20062007-148-152.html;aye;aye;no;aye;aye;aye;aye;aye;aye;aye;;aye;;;aye;aye;aye;Omtzigt;nl.m.02441;;;de motie-Omtzigt c.s. over het voorkomen van een communautaire opzet van de overdraagbaarheid van Europese pensioenen ( 30413, nr. 74)
commons;2006-2007;4;2006-09-26;30413;73;motie;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-30413-73.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20062007-148-152.1.146.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20062007-148-152?view=html#nl.proc.ob.d.h-tk-20062007-148-152.1.146.1;https://zoek.officielebekendmakingen.nl/h-tk-20062007-148-152.html;aye;aye;aye;aye;no;no;no;no;no;no;;aye;;;aye;aye;no;Omtzigt;nl.m.02441;Verbeet;nl.m.02577;de motie-Omtzigt/Verbeet over een uniforme dekking op kapitaalbasis ( 30413, nr. 73)
commons;2006-2007;4;2006-09-26;30413;69;motie;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-30413-69.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20062007-148-152.1.143.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20062007-148-152?view=html#nl.proc.ob.d.h-tk-20062007-148-152.1.143.1;https://zoek.officielebekendmakingen.nl/h-tk-20062007-148-152.html;aye;aye;aye;aye;no;no;no;no;aye;no;;aye;;;aye;aye;no;Mosterd;nl.m.02259;;;de motie-Mosterd c.s. ( 30300 XV, nr. 57) ( 30413, nr. 69)
commons;2006-2007;4;2006-09-26;30413;68;motie;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-30413-68.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20062007-148-152.1.140.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20062007-148-152?view=html#nl.proc.ob.d.h-tk-20062007-148-152.1.140.1;https://zoek.officielebekendmakingen.nl/h-tk-20062007-148-152.html;aye;aye;aye;aye;aye;aye;aye;aye;aye;aye;;aye;;;aye;aye;no;Mosterd;nl.m.02259;Depla;nl.m.02292;de motie-Mosterd/Depla over de toekomstbestendigheid van de bestuursstructuur ( 30413, nr. 68)
commons;2006-2007;4;2006-09-26;30413;;wetsvoorstel;accepted;fractie;https://zoek.officielebekendmakingen.nl/dossier/30413;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20062007-148-152.1.137.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20062007-148-152?view=html#nl.proc.ob.d.h-tk-20062007-148-152.1.137.1;https://zoek.officielebekendmakingen.nl/h-tk-20062007-148-152.html;aye;aye;aye;aye;aye;aye;aye;aye;aye;aye;;aye;;;aye;aye;aye;;;;;Regels betreffende pensioenen (Pensioenwet) ( 30413)
commons;2006-2007;4;2006-09-26;30413;77;amendement;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-30413-77.html;http://resolver.politicalmashup.nl/nl.parldoc.d.kst-30413-77?view=html;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20062007-148-152.1.133.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20062007-148-152?view=html#nl.proc.ob.d.h-tk-20062007-148-152.1.133.1;https://zoek.officielebekendmakingen.nl/h-tk-20062007-148-152.html;aye;aye;aye;aye;aye;aye;aye;aye;aye;aye;;aye;;;aye;aye;aye;Van Oudenallen;nl.m.02457;;;amendement-Van Oudenallen (stuk nr. 77)
commons;2006-2007;4;2006-09-26;30413;63;amendement;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-30413-63.html;http://resolver.politicalmashup.nl/nl.parldoc.d.kst-30413-63?view=html;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20062007-148-152.1.128.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20062007-148-152?view=html#nl.proc.ob.d.h-tk-20062007-148-152.1.128.1;https://zoek.officielebekendmakingen.nl/h-tk-20062007-148-152.html;aye;aye;aye;aye;aye;aye;aye;aye;aye;aye;;aye;;;aye;aye;no;Mosterd;nl.m.02259;Depla;nl.m.02292;amendement-Mosterd/Depla (stuk nr. 63)
commons;2006-2007;4;2006-09-26;30413;13;amendement;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-30413-13.html;http://resolver.politicalmashup.nl/nl.parldoc.d.kst-30413-13?view=html;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20062007-148-152.1.121.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20062007-148-152?view=html#nl.proc.ob.d.h-tk-20062007-148-152.1.121.1;https://zoek.officielebekendmakingen.nl/h-tk-20062007-148-152.html;no;aye;aye;no;aye;no;no;aye;aye;aye;;no;;;no;aye;aye;Bibi de Vries;nl.m.02550;;;amendement-Bibi de Vries (stuk nr. 13)
commons;2006-2007;4;2006-09-26;30413;64;amendement;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-30413-64.html;http://resolver.politicalmashup.nl/nl.parldoc.d.kst-30413-64?view=html;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20062007-148-152.1.116.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20062007-148-152?view=html#nl.proc.ob.d.h-tk-20062007-148-152.1.116.1;https://zoek.officielebekendmakingen.nl/h-tk-20062007-148-152.html;aye;aye;aye;aye;aye;aye;aye;aye;aye;aye;;aye;;;aye;aye;aye;Bibi de Vries;nl.m.02550;;;amendement-Bibi de Vries c.s. (stuk nr. 64)
commons;2006-2007;4;2006-09-26;30413;84;amendement;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-30413-84.html;http://resolver.politicalmashup.nl/nl.parldoc.d.kst-30413-84?view=html;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20062007-148-152.1.109.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20062007-148-152?view=html#nl.proc.ob.d.h-tk-20062007-148-152.1.109.1;https://zoek.officielebekendmakingen.nl/h-tk-20062007-148-152.html;aye;aye;aye;aye;aye;aye;aye;aye;aye;aye;;aye;;;aye;aye;aye;Bibi de Vries;nl.m.02550;;;amendement-Bibi de Vries c.s. (stuk nr. 84, I)
commons;2006-2007;4;2006-09-26;30413;66;amendement;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-30413-66.html;http://resolver.politicalmashup.nl/nl.parldoc.d.kst-30413-66?view=html;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20062007-148-152.1.104.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20062007-148-152?view=html#nl.proc.ob.d.h-tk-20062007-148-152.1.104.1;https://zoek.officielebekendmakingen.nl/h-tk-20062007-148-152.html;aye;aye;aye;aye;aye;aye;aye;aye;aye;aye;;aye;;;aye;aye;aye;Depla;nl.m.02292;;;amendement-Depla c.s. (stuk nr. 66)
commons;2006-2007;4;2006-09-26;30413;56;amendement;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-30413-56.html;http://resolver.politicalmashup.nl/nl.parldoc.d.kst-30413-56?view=html;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20062007-148-152.1.100.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20062007-148-152?view=html#nl.proc.ob.d.h-tk-20062007-148-152.1.100.1;https://zoek.officielebekendmakingen.nl/h-tk-20062007-148-152.html;no;no;aye;aye;aye;no;no;aye;no;aye;;aye;;;no;aye;no;Verbeet;nl.m.02577;Depla;nl.m.02292;amendement-Verbeet/Depla (stuk nr. 56)
