#house;legislative-period;session-number;date of vote;dossier nummer;onder nummer;type;outcome;stemmings type;bron amendement op OB;link amendement HTML op PM;link stemming XML op PM;link stemming in context HTML op PM;bron stemming op OB;nl.p.cda;nl.p.cu;nl.p.d66;nl.p.gl;nl.p.ln;nl.p.lpf;nl.p.osf;nl.p.pvda;nl.p.sgp;nl.p.sp;nl.p.vvd;indiener 1, naam volgens stemming;indiener 1, id volgens stemming;indiener 2, naam volgens stemming;indiener 2, id volgens stemming;titel document volgens stemming
commons;2001-2002;39;2001-12-20;18986;83;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-18986-83.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20012002-2940-2940.1.13.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20012002-2940-2940?view=html#nl.proc.ob.d.h-tk-20012002-2940-2940.1.13.1;https://zoek.officielebekendmakingen.nl/h-tk-20012002-2940-2940.html;no;no;no;aye;;;;no;no;aye;no;Kant;nl.m.02226;;;motie-Kant c.s. (18986, nr. 83)
commons;2001-2002;39;2001-12-20;18986;80;motie;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-18986-80.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20012002-2940-2940.1.16.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20012002-2940-2940?view=html#nl.proc.ob.d.h-tk-20012002-2940-2940.1.16.1;https://zoek.officielebekendmakingen.nl/h-tk-20012002-2940-2940.html;aye;aye;aye;aye;;;;aye;aye;aye;aye;Hofstra;nl.m.02566;;;de motie-Hofstra over een onafhankelijke toets ( 18986, nr. 80)
commons;2001-2002;39;2001-12-20;18986;81;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-18986-81.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20012002-2940-2940.1.19.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20012002-2940-2940?view=html#nl.proc.ob.d.h-tk-20012002-2940-2940.1.19.1;https://zoek.officielebekendmakingen.nl/h-tk-20012002-2940-2940.html;aye;no;no;aye;;;;no;no;aye;no;Eurlings;nl.m.02216;Halsema;nl.m.02220;de motie-Eurlings/Halsema over de prestatie-eisen ( 18986, nr. 81)
commons;2001-2002;39;2001-12-20;18986;82;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-18986-82.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20012002-2940-2940.1.22.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20012002-2940-2940?view=html#nl.proc.ob.d.h-tk-20012002-2940-2940.1.22.1;https://zoek.officielebekendmakingen.nl/h-tk-20012002-2940-2940.html;aye;aye;no;aye;;;;no;aye;aye;no;Stellingwerf;nl.m.02544;;;de motie-Stellingwerf over maandelijks inzicht in de mate waarin door NS wordt voldaan aan de verplichtingen ( 18986, nr. 82)
commons;2001-2002;39;2001-12-20;27924;5;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-27924-5.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20012002-2939-2939.1.9.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20012002-2939-2939?view=html#nl.proc.ob.d.h-tk-20012002-2939-2939.1.9.1;https://zoek.officielebekendmakingen.nl/h-tk-20012002-2939-2939.html;aye;aye;no;aye;;;;no;aye;no;no;Schreijer-Pierik;nl.m.02253;Van der Vlies;nl.m.02682;de motie-Schreijer-Pierik/Van der Vlies over een koppeling tussen de pachtprijs en het voortbrengend vermogen van de grond ( 27924, nr. 5)
commons;2001-2002;39;2001-12-20;27924;4;motie;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-27924-4.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20012002-2939-2939.1.6.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20012002-2939-2939?view=html#nl.proc.ob.d.h-tk-20012002-2939-2939.1.6.1;https://zoek.officielebekendmakingen.nl/h-tk-20012002-2939-2939.html;aye;aye;no;aye;;;;aye;aye;aye;aye;Waalkens;nl.m.02257;Geluk;nl.m.02217;de motie-Waalkens/Geluk over een evenwichtig prijsbeheersingssysteem ( 27924, nr. 4)
commons;2001-2002;39;2001-12-20;26980;13;motie;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-26980-13.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20012002-2939-2939-1.1.6.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20012002-2939-2939-1?view=html#nl.proc.ob.d.h-tk-20012002-2939-2939-1.1.6.1;https://zoek.officielebekendmakingen.nl/h-tk-20012002-2939-2939-1.html;aye;aye;aye;aye;;;;aye;aye;aye;aye;Bolhuis;nl.m.01845;;;de motie-Bolhuis c.s. over de Europeesrechtelijke aspecten alsmede de gevolgen voor de natuur ( 26980, nr. 13)
commons;2001-2002;39;2001-12-20;27728;50;amendement;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-27728-50.html;http://resolver.politicalmashup.nl/nl.parldoc.d.kst-27728-50?view=html;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20012002-2936-2938.1.7.72.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20012002-2936-2938?view=html#nl.proc.ob.d.h-tk-20012002-2936-2938.1.7.72.1;https://zoek.officielebekendmakingen.nl/h-tk-20012002-2936-2938.html;aye;aye;aye;aye;;;;aye;aye;aye;aye;;;;;amendement Smits c.s. (stuk nr. 50)
commons;2001-2002;39;2001-12-20;27728;;wetsvoorstel;accepted;fractie;https://zoek.officielebekendmakingen.nl/dossier/27728;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20012002-2936-2938.1.7.76.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20012002-2936-2938?view=html#nl.proc.ob.d.h-tk-20012002-2936-2938.1.7.76.1;https://zoek.officielebekendmakingen.nl/h-tk-20012002-2936-2938.html;aye;aye;aye;aye;;;;aye;aye;aye;aye;;;;;Wijziging van de Wet op de expertisecentra, de Wet op het primair onderwijs en de Wet op het voortgezet onderwijs in verband met de invoering van een leerlinggebonden financiering en de vorming van regionale expertisecentra (regeling leerlinggebonden financiering) ( 27728)
commons;2001-2002;39;2001-12-20;27728;40;motie;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-27728-40.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20012002-2936-2938.1.7.79.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20012002-2936-2938?view=html#nl.proc.ob.d.h-tk-20012002-2936-2938.1.7.79.1;https://zoek.officielebekendmakingen.nl/h-tk-20012002-2936-2938.html;aye;aye;aye;aye;;;;aye;aye;aye;aye;Smits;nl.m.02240;;;de motie-Smits c.s. over aanstelling van onderwijsconsulenten ( 27728, nr. 40)
