#house;legislative-period;session-number;date of vote;dossier nummer;onder nummer;type;outcome;stemmings type;bron amendement op OB;link amendement HTML op PM;link stemming XML op PM;link stemming in context HTML op PM;bron stemming op OB;nl.p.cda;nl.p.cu;nl.p.d66;nl.p.gl;nl.p.groeplazrak;nl.p.groepwilders;nl.p.lpf;nl.p.osf;nl.p.pvda;nl.p.sgp;nl.p.sp;nl.p.vvd;indiener 1, naam volgens stemming;indiener 1, id volgens stemming;indiener 2, naam volgens stemming;indiener 2, id volgens stemming;titel document volgens stemming
commons;2003-2004;3;2003-09-18;29200;6;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-29200-6.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20032004-155-157.1.6.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20032004-155-157?view=html#nl.proc.ob.d.h-tk-20032004-155-157.1.6.1;https://zoek.officielebekendmakingen.nl/h-tk-20032004-155-157.html;no;aye;no;aye;;;no;;aye;no;aye;no;Bos;nl.m.02212;;;motie-Bos c.s. (29200, nr. 6)
commons;2003-2004;3;2003-09-18;29200;7;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-29200-7.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20032004-155-157.1.9.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20032004-155-157?view=html#nl.proc.ob.d.h-tk-20032004-155-157.1.9.1;https://zoek.officielebekendmakingen.nl/h-tk-20032004-155-157.html;no;aye;no;aye;;;aye;;aye;no;aye;no;Bos;nl.m.02212;;;motie-Bos c.s. (29200, nr. 7)
commons;2003-2004;3;2003-09-18;29200;10;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-29200-10.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20032004-155-157.1.12.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20032004-155-157?view=html#nl.proc.ob.d.h-tk-20032004-155-157.1.12.1;https://zoek.officielebekendmakingen.nl/h-tk-20032004-155-157.html;no;aye;no;aye;;;aye;;aye;aye;aye;no;Marijnissen;nl.m.02529;;;motie-Marijnissen c.s. (29200, nr. 10)
commons;2003-2004;3;2003-09-18;29200;11;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-29200-11.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20032004-155-157.1.15.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20032004-155-157?view=html#nl.proc.ob.d.h-tk-20032004-155-157.1.15.1;https://zoek.officielebekendmakingen.nl/h-tk-20032004-155-157.html;no;no;no;aye;;;no;;aye;no;aye;no;Marijnissen;nl.m.02529;;;motie-Marijnissen c.s. (29200, nr. 11)
commons;2003-2004;3;2003-09-18;29200;12;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-29200-12.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20032004-155-157.1.18.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20032004-155-157?view=html#nl.proc.ob.d.h-tk-20032004-155-157.1.18.1;https://zoek.officielebekendmakingen.nl/h-tk-20032004-155-157.html;no;aye;no;aye;;;no;;aye;no;aye;no;Marijnissen;nl.m.02529;;;motie-Marijnissen c.s. (29200, nr. 12)
commons;2003-2004;3;2003-09-18;29200;13;motie;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-29200-13.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20032004-155-157.1.21.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20032004-155-157?view=html#nl.proc.ob.d.h-tk-20032004-155-157.1.21.1;https://zoek.officielebekendmakingen.nl/h-tk-20032004-155-157.html;no;aye;aye;aye;;;aye;;aye;aye;aye;no;Marijnissen;nl.m.02529;;;motie-Marijnissen c.s. (29200, nr. 13)
commons;2003-2004;4;2003-09-23;28762;13;amendement;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-28762-13.html;http://resolver.politicalmashup.nl/nl.parldoc.d.kst-28762-13?view=html;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20032004-178-180.1.7.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20032004-178-180?view=html#nl.proc.ob.d.h-tk-20032004-178-180.1.7.1;https://zoek.officielebekendmakingen.nl/h-tk-20032004-178-180.html;no;no;no;no;;;no;;no;no;aye;no;Vergeer;nl.m.02344;;;amendement-Vergeer (stuk nr. 13, I)
commons;2003-2004;4;2003-09-23;28170;16;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-28170-16.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20032004-178-178.1.29.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20032004-178-178?view=html#nl.proc.ob.d.h-tk-20032004-178-178.1.29.1;https://zoek.officielebekendmakingen.nl/h-tk-20032004-178-178.html;no;aye;aye;aye;;;no;;aye;no;aye;no;Bussemaker;nl.m.02251;;;de motie-Bussemaker over overeenstemming met het Europese Handvest Grondrechten ( 28170, nr. 16)
commons;2003-2004;4;2003-09-23;28762;21;amendement;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-28762-21.html;http://resolver.politicalmashup.nl/nl.parldoc.d.kst-28762-21?view=html;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20032004-178-180.1.12.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20032004-178-180?view=html#nl.proc.ob.d.h-tk-20032004-178-180.1.12.1;https://zoek.officielebekendmakingen.nl/h-tk-20032004-178-180.html;aye;aye;aye;no;;;aye;;aye;aye;no;aye;Jan de Vries;nl.m.02373;;;amendement-Jan de Vries c.s. (stuk nr. 21, I)
commons;2003-2004;4;2003-09-23;28762;;wetsvoorstel;accepted;fractie;https://zoek.officielebekendmakingen.nl/dossier/28762;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20032004-178-180.1.29.3.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20032004-178-180?view=html#nl.proc.ob.d.h-tk-20032004-178-180.1.29.3.1;https://zoek.officielebekendmakingen.nl/h-tk-20032004-178-180.html;aye;aye;aye;aye;;;aye;;aye;aye;no;aye;;;;;Wijziging van de Wet op het primair onderwijs, de Wet op de expertisecentra, de Wet op het voortgezet onderwijs en de Wet medezeggenschap onderwijs 1992 in verband met een verruiming van de bestedingsvrijheid voor scholen in het primair en voortgezet onderwijs ( 28762)
