#house;legislative-period;session-number;date of vote;dossier nummer;onder nummer;type;outcome;stemmings type;bron amendement op OB;link amendement HTML op PM;link stemming XML op PM;link stemming in context HTML op PM;bron stemming op OB;nl.p.cda;nl.p.d66;nl.p.gl;nl.p.gpv;nl.p.osf;nl.p.pvda;nl.p.rpf;nl.p.sgp;nl.p.sp;nl.p.vvd;indiener 1, naam volgens stemming;indiener 1, id volgens stemming;indiener 2, naam volgens stemming;indiener 2, id volgens stemming;titel document volgens stemming
commons;1999-2000;31;1999-12-07;26570;5;motie;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-26570-5.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19992000-2352-2353.1.16.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19992000-2352-2353?view=html#nl.proc.ob.d.h-tk-19992000-2352-2353.1.16.1;https://zoek.officielebekendmakingen.nl/h-tk-19992000-2352-2353.html;aye;aye;no;aye;;no;aye;aye;no;aye;Voûte-Droste;nl.m.02548;Van Walsem;nl.m.02564;de motie-Voûte-Droste/Van Walsem over een vertaling van de beleidsuitgangspunten in een actieplan ( 26570, nr. 5)
commons;1999-2000;31;1999-12-07;26800-VII;6;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-26800-VII-6.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19992000-2351-2352.1.9.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19992000-2351-2352?view=html#nl.proc.ob.d.h-tk-19992000-2351-2352.1.9.1;https://zoek.officielebekendmakingen.nl/h-tk-19992000-2351-2352.html;aye;no;aye;aye;;no;aye;no;aye;no;Rietkerk;nl.m.02237;;;motie-Rietkerk (26800-VII, nr. 6)
commons;1999-2000;31;1999-12-07;26800-VII;4;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-26800-VII-4.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19992000-2351-2352.1.6.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19992000-2351-2352?view=html#nl.proc.ob.d.h-tk-19992000-2351-2352.1.6.1;https://zoek.officielebekendmakingen.nl/h-tk-19992000-2351-2352.html;aye;aye;aye;aye;;no;aye;no;no;no;Van der Hoeven;nl.m.02880;;;motie-Van der Hoeven (26800-VII, nr. 4)
commons;1999-2000;31;1999-12-07;26800 VII;;wetsvoorstel;accepted;fractie;https://zoek.officielebekendmakingen.nl/dossier/26800 VII;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19992000-2351-2351.1.7.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19992000-2351-2351?view=html#nl.proc.ob.d.h-tk-19992000-2351-2351.1.7.1;https://zoek.officielebekendmakingen.nl/h-tk-19992000-2351-2351.html;aye;aye;aye;aye;;aye;aye;aye;aye;aye;;;;;Vaststelling van de begroting van de uitgaven en de ontvangsten van het Ministerie van Binnenlandse Zaken en Koninkrijksrelaties (VII) voor het jaar 2000 ( 26800 VII)
commons;1999-2000;31;1999-12-07;26603;15;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-26603-15.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19992000-2350-2351.1.29.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19992000-2350-2351?view=html#nl.proc.ob.d.h-tk-19992000-2350-2351.1.29.1;https://zoek.officielebekendmakingen.nl/h-tk-19992000-2350-2351.html;no;no;aye;aye;;no;aye;aye;aye;no;M.B. Vos;nl.m.02547;;;de motie-M.B. Vos over minimumnormen voor elektrische apparaten ( 26603, nr. 15)
commons;1999-2000;31;1999-12-07;26603;16;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-26603-16.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19992000-2350-2351.1.32.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19992000-2350-2351?view=html#nl.proc.ob.d.h-tk-19992000-2350-2351.1.32.1;https://zoek.officielebekendmakingen.nl/h-tk-19992000-2350-2351.html;no;no;aye;aye;;no;aye;aye;aye;no;M.B. Vos;nl.m.02547;;;de motie-M.B. Vos over de energieprestatiekeuring ( 26603, nr. 16)
commons;1999-2000;31;1999-12-07;26603;17;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-26603-17.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19992000-2350-2351.1.35.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19992000-2350-2351?view=html#nl.proc.ob.d.h-tk-19992000-2350-2351.1.35.1;https://zoek.officielebekendmakingen.nl/h-tk-19992000-2350-2351.html;no;no;aye;no;;no;no;no;aye;no;Poppe;nl.m.02536;;;de motie-Poppe over verlaging van de rendementseis ( 26603, nr. 17)
commons;1999-2000;31;1999-12-07;26603;18;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-26603-18.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19992000-2350-2351.1.38.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19992000-2350-2351?view=html#nl.proc.ob.d.h-tk-19992000-2350-2351.1.38.1;https://zoek.officielebekendmakingen.nl/h-tk-19992000-2350-2351.html;no;no;no;no;;no;no;no;aye;no;Poppe;nl.m.02536;;;de motie-Poppe over verhoging van de energiebesparingsdoelstelling voor de industrie ( 26603, nr. 18)
commons;1999-2000;31;1999-12-07;26603;19;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-26603-19.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19992000-2350-2351.1.41.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19992000-2350-2351?view=html#nl.proc.ob.d.h-tk-19992000-2350-2351.1.41.1;https://zoek.officielebekendmakingen.nl/h-tk-19992000-2350-2351.html;no;no;no;no;;no;no;no;aye;no;Poppe;nl.m.02536;;;de motie-Poppe over zuiniger personenauto's ( 26603, nr. 19)
commons;1999-2000;31;1999-12-07;26603;20;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-26603-20.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19992000-2350-2351.1.44.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19992000-2350-2351?view=html#nl.proc.ob.d.h-tk-19992000-2350-2351.1.44.1;https://zoek.officielebekendmakingen.nl/h-tk-19992000-2350-2351.html;no;no;no;no;;no;no;no;aye;no;Poppe;nl.m.02536;;;de motie-Poppe over energiezuinige huishoudelijke apparaten ( 26603, nr. 20)
commons;1999-2000;31;1999-12-07;26603;21;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-26603-21.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19992000-2350-2351.1.47.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19992000-2350-2351?view=html#nl.proc.ob.d.h-tk-19992000-2350-2351.1.47.1;https://zoek.officielebekendmakingen.nl/h-tk-19992000-2350-2351.html;aye;no;aye;aye;;no;aye;aye;aye;no;Poppe;nl.m.02536;;;de motie-Poppe over een projectmatige aanpak van energiebesparing ( 26603, nr. 21)
commons;1999-2000;31;1999-12-07;26603;22;motie;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-26603-22.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19992000-2350-2351.1.50.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19992000-2350-2351?view=html#nl.proc.ob.d.h-tk-19992000-2350-2351.1.50.1;https://zoek.officielebekendmakingen.nl/h-tk-19992000-2350-2351.html;aye;aye;aye;aye;;aye;aye;aye;aye;aye;Van der Staaij;nl.m.02252;;;de motie-Van der Staaij over de realisatie van de klimaatbeleidsdoelstellingen ( 26603, nr. 22)
commons;1999-2000;31;1999-12-07;26603;23;motie;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-26603-23.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19992000-2350-2351.1.53.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19992000-2350-2351?view=html#nl.proc.ob.d.h-tk-19992000-2350-2351.1.53.1;https://zoek.officielebekendmakingen.nl/h-tk-19992000-2350-2351.html;aye;aye;aye;aye;;aye;aye;aye;aye;aye;Van Middelkoop;nl.m.02973;;;de motie-Van Middelkoop c.s. over ratificatie van het Kyotoprotocol ( 26603, nr. 23)
commons;1999-2000;31;1999-12-07;26603;24;motie;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-26603-24.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19992000-2350-2351.1.56.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19992000-2350-2351?view=html#nl.proc.ob.d.h-tk-19992000-2350-2351.1.56.1;https://zoek.officielebekendmakingen.nl/h-tk-19992000-2350-2351.html;aye;aye;aye;aye;;aye;aye;aye;aye;aye;Van Middelkoop;nl.m.02973;;;de motie-Van Middelkoop over het vervangen van de inzet van kolen door aardgas ( 26603, nr. 24)
commons;1999-2000;31;1999-12-07;26800;;wetsvoorstel;accepted;fractie;https://zoek.officielebekendmakingen.nl/dossier/26800;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19992000-2351-2351-1.1.7.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19992000-2351-2351-1?view=html#nl.proc.ob.d.h-tk-19992000-2351-2351-1.1.7.1;https://zoek.officielebekendmakingen.nl/h-tk-19992000-2351-2351-1.html;aye;aye;aye;aye;;aye;aye;aye;aye;aye;;;;;Vaststelling van de begroting van de uitgaven en de ontvangsten van het gemeentefonds voor het jaar 2000 ( 26800 B)
commons;1999-2000;31;1999-12-07;26800;;wetsvoorstel;accepted;fractie;https://zoek.officielebekendmakingen.nl/dossier/26800;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19992000-2351-2351-2.1.7.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19992000-2351-2351-2?view=html#nl.proc.ob.d.h-tk-19992000-2351-2351-2.1.7.1;https://zoek.officielebekendmakingen.nl/h-tk-19992000-2351-2351-2.html;aye;aye;aye;aye;;aye;aye;aye;aye;aye;;;;;Vaststelling van de begroting van de uitgaven en de ontvangsten van het provinciefonds voor het jaar 2000 ( 26800 C)
commons;1999-2000;31;1999-12-07;26800-XV;36;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-26800-XV-36.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19992000-2347-2349.1.31.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19992000-2347-2349?view=html#nl.proc.ob.d.h-tk-19992000-2347-2349.1.31.1;https://zoek.officielebekendmakingen.nl/h-tk-19992000-2347-2349.html;no;no;aye;aye;;no;aye;aye;aye;no;Harrewijn;nl.m.02222;;;motie-Harrewijn c.s. (26800-XV, nr. 36)
