#house;legislative-period;session-number;date of vote;dossier nummer;onder nummer;type;outcome;stemmings type;bron amendement op OB;link amendement HTML op PM;link stemming XML op PM;link stemming in context HTML op PM;bron stemming op OB;nl.p.cda;nl.p.cu;nl.p.d66;nl.p.gl;nl.p.gpv;nl.p.osf;nl.p.pvda;nl.p.rpf;nl.p.sgp;nl.p.sp;nl.p.vvd;indiener 1, naam volgens stemming;indiener 1, id volgens stemming;indiener 2, naam volgens stemming;indiener 2, id volgens stemming;titel document volgens stemming
commons;2000-2001;96;2001-07-05;26294;19;amendement;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-26294-19.html;http://resolver.politicalmashup.nl/nl.parldoc.d.kst-26294-19?view=html;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20002001-6060-6062.1.48.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20002001-6060-6062?view=html#nl.proc.ob.d.h-tk-20002001-6060-6062.1.48.1;https://zoek.officielebekendmakingen.nl/h-tk-20002001-6060-6062.html;no;aye;no;aye;;;aye;;aye;aye;no;;;;;amendement Van Oven (stuk nr. 19, I)
commons;2000-2001;96;2001-07-05;26294;26;amendement;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-26294-26.html;http://resolver.politicalmashup.nl/nl.parldoc.d.kst-26294-26?view=html;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20002001-6060-6062.1.51.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20002001-6060-6062?view=html#nl.proc.ob.d.h-tk-20002001-6060-6062.1.51.1;https://zoek.officielebekendmakingen.nl/h-tk-20002001-6060-6062.html;aye;aye;aye;aye;;;aye;;aye;aye;no;Rouvoet;nl.m.02541;Van der Staaij;nl.m.02252;amendement-Rouvoet/Van der Staaij (stuk nr. 26)
commons;2000-2001;96;2001-07-05;26294;32;amendement;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-26294-32.html;http://resolver.politicalmashup.nl/nl.parldoc.d.kst-26294-32?view=html;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20002001-6060-6062.1.55.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20002001-6060-6062?view=html#nl.proc.ob.d.h-tk-20002001-6060-6062.1.55.1;https://zoek.officielebekendmakingen.nl/h-tk-20002001-6060-6062.html;aye;aye;aye;aye;;;aye;;aye;aye;aye;Dittrich;nl.m.02512;;;amendement-Dittrich (stuk nr. 32)
commons;2000-2001;96;2001-07-05;26294;25;amendement;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-26294-25.html;http://resolver.politicalmashup.nl/nl.parldoc.d.kst-26294-25?view=html;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20002001-6060-6062.1.60.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20002001-6060-6062?view=html#nl.proc.ob.d.h-tk-20002001-6060-6062.1.60.1;https://zoek.officielebekendmakingen.nl/h-tk-20002001-6060-6062.html;aye;aye;aye;aye;;;aye;;aye;aye;aye;Dittrich;nl.m.02512;;;amendement-Dittrich (stuk nr. 25)
commons;2000-2001;96;2001-07-05;26294;21);amendement;accepted;fractie;https://zoek.officielebekendmakingen.nl/dossier/26294;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20002001-6060-6062.1.66.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20002001-6060-6062?view=html#nl.proc.ob.d.h-tk-20002001-6060-6062.1.66.1;https://zoek.officielebekendmakingen.nl/h-tk-20002001-6060-6062.html;aye;aye;no;aye;;;aye;;aye;aye;no;Van Oven;nl.m.02534;Halsema;nl.m.02220;amendement-Van Oven/Halsema (stuk nr. 21)
commons;2000-2001;96;2001-07-05;26294;;wetsvoorstel;accepted;fractie;https://zoek.officielebekendmakingen.nl/dossier/26294;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20002001-6060-6062.1.75.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20002001-6060-6062?view=html#nl.proc.ob.d.h-tk-20002001-6060-6062.1.75.1;https://zoek.officielebekendmakingen.nl/h-tk-20002001-6060-6062.html;aye;no;aye;no;;;aye;;no;no;aye;;;;;Wijziging van het Wetboek van Strafrecht en het Wetboek van Strafvordering met betrekking tot verklaringen van getuigen die in ruil voor een toezegging van het openbaar ministerie zijn afgelegd (toezeggingen aan getuigen in strafzaken) ( 26294)
commons;2000-2001;96;2001-07-05;26294;31;motie;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-26294-31.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20002001-6060-6062.1.78.6.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20002001-6060-6062?view=html#nl.proc.ob.d.h-tk-20002001-6060-6062.1.78.6.1;https://zoek.officielebekendmakingen.nl/h-tk-20002001-6060-6062.html;aye;aye;aye;aye;;;aye;;aye;aye;no;Rouvoet;nl.m.02541;;;de motie-Rouvoet c.s. over informatie aan de Kamer ( 26294, nr. 31)
commons;2000-2001;96;2001-07-05;27695;;wetsvoorstel;accepted;fractie;https://zoek.officielebekendmakingen.nl/dossier/27695;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20002001-6062-6062-3.1.7.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20002001-6062-6062-3?view=html#nl.proc.ob.d.h-tk-20002001-6062-6062-3.1.7.1;https://zoek.officielebekendmakingen.nl/h-tk-20002001-6062-6062-3.html;aye;aye;aye;aye;;;aye;;aye;aye;aye;;;;;Wijziging van de Telecommunicatiewet en de Wet Onafhankelijke post- en telecommunicatieautoriteit ter uitvoering van verordening (EG) nr. 2887/2000 van het Europees Parlement en de Raad van de Unie van 18 december 2000 inzake ontbundelde toegang tot het aansluitnetwerk (PbEG L 336/4) ( 27695)
commons;2000-2001;96;2001-07-05;26158;;wetsvoorstel;accepted;fractie;https://zoek.officielebekendmakingen.nl/dossier/26158;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20002001-6062-6062-4.1.7.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20002001-6062-6062-4?view=html#nl.proc.ob.d.h-tk-20002001-6062-6062-4.1.7.1;https://zoek.officielebekendmakingen.nl/h-tk-20002001-6062-6062-4.html;aye;aye;aye;aye;;;aye;;aye;no;aye;;;;;Verandering in de Grondwet van de bepalingen over het binnentreden in woningen ( 26158)
commons;2000-2001;96;2001-07-05;27753;5;amendement;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-27753-5.html;http://resolver.politicalmashup.nl/nl.parldoc.d.kst-27753-5?view=html;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20002001-6062-6062-5.1.7.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20002001-6062-6062-5?view=html#nl.proc.ob.d.h-tk-20002001-6062-6062-5.1.7.1;https://zoek.officielebekendmakingen.nl/h-tk-20002001-6062-6062-5.html;aye;aye;aye;aye;;;aye;;aye;aye;aye;Van Gijzel;nl.m.02979;Crone;nl.m.02507;amendement-Van Gijzel/Crone (stuk nr. 5, I)
