#house;legislative-period;session-number;date of vote;dossier nummer;onder nummer;type;outcome;stemmings type;bron amendement op OB;link amendement HTML op PM;link stemming XML op PM;link stemming in context HTML op PM;bron stemming op OB;nl.p.cda;nl.p.cu;nl.p.d66;nl.p.fractieyildirim;nl.p.gl;nl.p.lidverdonk;nl.p.osf;nl.p.pvda;nl.p.pvdd;nl.p.pvv;nl.p.sgp;nl.p.sp;nl.p.vvd;indiener 1, naam volgens stemming;indiener 1, id volgens stemming;indiener 2, naam volgens stemming;indiener 2, id volgens stemming;titel document volgens stemming
commons;2008-2009;3;2008-09-18;31700;28;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-31700-28.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20082009-179-181.1.6.65.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20082009-179-181?view=html#nl.proc.ob.d.h-tk-20082009-179-181.1.6.65.1;https://zoek.officielebekendmakingen.nl/h-tk-20082009-179-181.html;no;no;no;;no;aye;;no;no;aye;aye;no;aye;Verdonk;nl.m.02995;;;de motie-Verdonk over het binnen twee weken volledig duidelijkheid geven over de kosten van het generaal pardon ( 31700, nr. 28)
commons;2008-2009;3;2008-09-18;31700;5;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-31700-5.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20082009-179-181.1.6.9.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20082009-179-181?view=html#nl.proc.ob.d.h-tk-20082009-179-181.1.6.9.1;https://zoek.officielebekendmakingen.nl/h-tk-20082009-179-181.html;no;no;aye;;aye;aye;;no;aye;no;aye;aye;no;Kant;nl.m.02226;Halsema;nl.m.02220;de motie-Kant/Halsema over een voorstel om het koopkrachtverlies voor chronisch zieken en gehandicapten te voorkomen ( 31700, nr. 5)
commons;2008-2009;3;2008-09-18;31700;6;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-31700-6.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20082009-179-181.1.6.12.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20082009-179-181?view=html#nl.proc.ob.d.h-tk-20082009-179-181.1.6.12.1;https://zoek.officielebekendmakingen.nl/h-tk-20082009-179-181.html;no;no;no;;aye;no;;no;aye;no;no;aye;no;Kant;nl.m.02226;Halsema;nl.m.02220;de motie-Kant/Halsema over verlaging van de nominale premie voor de basisverzekering ( 31700, nr. 6)
commons;2008-2009;3;2008-09-18;31700;7;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-31700-7.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20082009-179-181.1.6.15.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20082009-179-181?view=html#nl.proc.ob.d.h-tk-20082009-179-181.1.6.15.1;https://zoek.officielebekendmakingen.nl/h-tk-20082009-179-181.html;no;no;aye;;aye;aye;;no;aye;aye;no;aye;aye;Kant;nl.m.02226;;;de motie-Kant c.s. over het afzien van de doorwerkbonus ( 31700, nr. 7)
commons;2008-2009;3;2008-09-18;31700;8;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-31700-8.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20082009-179-181.1.6.18.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20082009-179-181?view=html#nl.proc.ob.d.h-tk-20082009-179-181.1.6.18.1;https://zoek.officielebekendmakingen.nl/h-tk-20082009-179-181.html;no;no;aye;;aye;aye;;no;aye;aye;aye;aye;no;Kant;nl.m.02226;;;de motie-Kant c.s. over ten minste één conciërge of ondersteunende kracht op basisscholen ( 31700, nr. 8)
commons;2008-2009;3;2008-09-18;31700;10;motie;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-31700-10.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20082009-179-181.1.6.21.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20082009-179-181?view=html#nl.proc.ob.d.h-tk-20082009-179-181.1.6.21.1;https://zoek.officielebekendmakingen.nl/h-tk-20082009-179-181.html;aye;aye;no;;no;aye;;aye;no;aye;aye;no;aye;Van Geel;nl.m.02313;;;de motie-Van Geel c.s. over het ten goede laten komen van maximaal 165 mln. van incidentele opbrengsten uit staatsdeelnemingen voor extra investeringen in infrastructurele knelpunten ( 31700, nr. 10)
commons;2008-2009;3;2008-09-18;31700;11;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-31700-11.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20082009-179-181.1.6.24.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20082009-179-181?view=html#nl.proc.ob.d.h-tk-20082009-179-181.1.6.24.1;https://zoek.officielebekendmakingen.nl/h-tk-20082009-179-181.html;no;no;no;;no;aye;;no;no;aye;aye;no;aye;Rutte;nl.m.02396;;;de motie-Rutte over het aanpassen van Europese verdragen die beletsels opwerpen bij het opzetten en uitvoeren van immigratiebeleid ( 31700, nr. 11)
commons;2008-2009;3;2008-09-18;31700;12;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-31700-12.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20082009-179-181.1.6.27.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20082009-179-181?view=html#nl.proc.ob.d.h-tk-20082009-179-181.1.6.27.1;https://zoek.officielebekendmakingen.nl/h-tk-20082009-179-181.html;no;no;aye;;no;aye;;no;aye;aye;aye;aye;aye;Rutte;nl.m.02396;;;de motie-Rutte c.s. over het afzien van het voornemen om ouderen met een aanvullend pensioen extra te belasten ( 31700, nr. 12)
commons;2008-2009;3;2008-09-18;31700;13;motie;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-31700-13.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20082009-179-181.1.6.30.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20082009-179-181?view=html#nl.proc.ob.d.h-tk-20082009-179-181.1.6.30.1;https://zoek.officielebekendmakingen.nl/h-tk-20082009-179-181.html;aye;aye;no;;no;aye;;aye;no;aye;aye;aye;aye;Rutte;nl.m.02396;;;de motie-Rutte c.s. over het toepassen van snelrecht bij geweldsmisdrijven tegen werknemers in de dienstverlenende sector ( 31700, nr. 13)
commons;2008-2009;3;2008-09-18;31700;14;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-31700-14.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20082009-179-181.1.6.35.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20082009-179-181?view=html#nl.proc.ob.d.h-tk-20082009-179-181.1.6.35.1;https://zoek.officielebekendmakingen.nl/h-tk-20082009-179-181.html;no;no;no;;no;aye;;no;no;aye;aye;aye;aye;Rutte;nl.m.02396;;;de motie-Rutte c.s. over het onmogelijk maken van het opleggen van een taakstraf voor ernstige geweldsmisdrijven en zedenmisdrijven ( 31700, nr. 14)
