#house;legislative-period;session-number;date of vote;dossier nummer;onder nummer;type;outcome;stemmings type;bron amendement op OB;link amendement HTML op PM;link stemming XML op PM;link stemming in context HTML op PM;bron stemming op OB;nl.p.aov;nl.p.cd;nl.p.cda;nl.p.d66;nl.p.fractiebierman;nl.p.fractiehendriks;nl.p.gl;nl.p.gpv;nl.p.groephendriks;nl.p.groepnijpels;nl.p.groepverkerk;nl.p.ou55plus;nl.p.pvda;nl.p.rpf;nl.p.sgp;nl.p.sp;nl.p.vvd;indiener 1, naam volgens stemming;indiener 1, id volgens stemming;indiener 2, naam volgens stemming;indiener 2, id volgens stemming;titel document volgens stemming
commons;1997-1998;3;1997-09-18;25600;20;motie;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-25600-20.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19971998-3-126-191.1.26.45.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19971998-3-126-191?view=html#nl.proc.ob.d.h-tk-19971998-3-126-191.1.26.45.1;https://zoek.officielebekendmakingen.nl/h-tk-19971998-3-126-191.html;aye;no;no;aye;;;aye;aye;no;aye;;no;aye;no;no;aye;aye;Wolffensperger;nl.m.02817;;;motie-Wolffensperger c.s. (25600, nr. 20)
commons;1997-1998;3;1997-09-18;25600;18;motie;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-25600-18.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19971998-3-126-191.1.26.39.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19971998-3-126-191?view=html#nl.proc.ob.d.h-tk-19971998-3-126-191.1.26.39.1;https://zoek.officielebekendmakingen.nl/h-tk-19971998-3-126-191.html;aye;aye;no;aye;;;aye;aye;no;aye;;no;aye;aye;aye;aye;aye;Wolffensperger;nl.m.02817;;;motie-Wolffensperger c.s. (25600, nr. 18)
commons;1997-1998;3;1997-09-18;25600;19;motie;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-25600-19.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19971998-3-126-191.1.26.42.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19971998-3-126-191?view=html#nl.proc.ob.d.h-tk-19971998-3-126-191.1.26.42.1;https://zoek.officielebekendmakingen.nl/h-tk-19971998-3-126-191.html;no;aye;no;aye;;;aye;no;no;aye;;no;aye;no;no;aye;aye;Wolffensperger;nl.m.02817;;;motie-Wolffensperger c.s. (25600, nr. 19)
commons;1997-1998;3;1997-09-18;25600;33;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-25600-33.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19971998-3-126-191.1.26.48.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19971998-3-126-191?view=html#nl.proc.ob.d.h-tk-19971998-3-126-191.1.26.48.1;https://zoek.officielebekendmakingen.nl/h-tk-19971998-3-126-191.html;no;no;aye;no;;;aye;no;no;aye;;no;no;no;aye;aye;no;Nijpels-Hezemans;nl.m.02530;;;motie-Nijpels-Hezemans (25600, nr. 33)
commons;1997-1998;3;1997-09-18;25600;24;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-25600-24.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19971998-3-126-191.1.26.51.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19971998-3-126-191?view=html#nl.proc.ob.d.h-tk-19971998-3-126-191.1.26.51.1;https://zoek.officielebekendmakingen.nl/h-tk-19971998-3-126-191.html;no;no;no;no;;;aye;no;no;no;;no;no;aye;no;aye;no;Van Dijke;nl.m.02509;;;motie-Van Dijke (25600, nr. 24)
commons;1997-1998;3;1997-09-18;25600;25;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-25600-25.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19971998-3-126-191.1.26.54.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19971998-3-126-191?view=html#nl.proc.ob.d.h-tk-19971998-3-126-191.1.26.54.1;https://zoek.officielebekendmakingen.nl/h-tk-19971998-3-126-191.html;no;no;no;no;;;aye;aye;no;aye;;no;no;aye;aye;aye;no;Van Dijke;nl.m.02509;;;motie-Van Dijke (25600, nr. 25)
commons;1997-1998;3;1997-09-18;25600;26;motie;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-25600-26.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19971998-3-126-191.1.26.57.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19971998-3-126-191?view=html#nl.proc.ob.d.h-tk-19971998-3-126-191.1.26.57.1;https://zoek.officielebekendmakingen.nl/h-tk-19971998-3-126-191.html;aye;aye;aye;aye;;;aye;no;no;aye;;no;aye;aye;aye;aye;aye;Van der Vlies;nl.m.02682;;;motie-Van der Vlies (25600, nr. 26)
commons;1997-1998;3;1997-09-18;25600;27;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-25600-27.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19971998-3-126-191.1.26.60.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19971998-3-126-191?view=html#nl.proc.ob.d.h-tk-19971998-3-126-191.1.26.60.1;https://zoek.officielebekendmakingen.nl/h-tk-19971998-3-126-191.html;aye;no;no;no;;;aye;aye;no;aye;;no;no;aye;aye;aye;no;Van der Vlies;nl.m.02682;;;motie-Van der Vlies (25600, nr. 27)
commons;1997-1998;3;1997-09-18;25600;29;motie;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-25600-29.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19971998-3-126-191.1.26.63.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19971998-3-126-191?view=html#nl.proc.ob.d.h-tk-19971998-3-126-191.1.26.63.1;https://zoek.officielebekendmakingen.nl/h-tk-19971998-3-126-191.html;aye;no;aye;no;;;aye;aye;no;aye;;no;aye;aye;aye;aye;no;Schutte;nl.m.02676;;;motie-Schutte (25600, nr. 29)
commons;1997-1998;3;1997-09-18;25600;30;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-25600-30.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19971998-3-126-191.1.26.66.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19971998-3-126-191?view=html#nl.proc.ob.d.h-tk-19971998-3-126-191.1.26.66.1;https://zoek.officielebekendmakingen.nl/h-tk-19971998-3-126-191.html;no;no;no;no;;;aye;no;no;aye;;no;no;no;no;aye;no;Marijnissen;nl.m.02529;;;motie-Marijnissen (25600, nr. 30)
commons;1997-1998;3;1997-09-18;25600;31;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-25600-31.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19971998-3-126-191.1.26.69.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19971998-3-126-191?view=html#nl.proc.ob.d.h-tk-19971998-3-126-191.1.26.69.1;https://zoek.officielebekendmakingen.nl/h-tk-19971998-3-126-191.html;aye;no;no;no;;;aye;no;no;no;;no;no;no;no;aye;no;Marijnissen;nl.m.02529;;;motie-Marijnissen (25600, nr. 31)
commons;1997-1998;3;1997-09-18;25600;17;motie;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-25600-17.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19971998-3-126-191.1.26.36.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19971998-3-126-191?view=html#nl.proc.ob.d.h-tk-19971998-3-126-191.1.26.36.1;https://zoek.officielebekendmakingen.nl/h-tk-19971998-3-126-191.html;aye;aye;no;aye;;;aye;aye;no;aye;;no;aye;aye;aye;aye;aye;Bolkestein;nl.m.02604;;;motie-Bolkestein c.s. (25600, nr. 17)
commons;1997-1998;3;1997-09-18;25600;16;motie;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-25600-16.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19971998-3-126-191.1.26.33.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19971998-3-126-191?view=html#nl.proc.ob.d.h-tk-19971998-3-126-191.1.26.33.1;https://zoek.officielebekendmakingen.nl/h-tk-19971998-3-126-191.html;no;aye;no;aye;;;aye;no;no;aye;;no;aye;no;no;aye;aye;Bolkestein;nl.m.02604;;;motie-Bolkestein c.s. (25600, nr. 16)
commons;1997-1998;3;1997-09-18;25600;15;motie;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-25600-15.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19971998-3-126-191.1.26.30.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19971998-3-126-191?view=html#nl.proc.ob.d.h-tk-19971998-3-126-191.1.26.30.1;https://zoek.officielebekendmakingen.nl/h-tk-19971998-3-126-191.html;no;aye;no;aye;;;aye;aye;no;aye;;no;aye;aye;aye;aye;aye;Bolkestein;nl.m.02604;;;motie-Bolkestein c.s. (25600, nr. 15)
commons;1997-1998;3;1997-09-18;25600;4;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-25600-4.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19971998-3-126-191.1.25.6.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19971998-3-126-191?view=html#nl.proc.ob.d.h-tk-19971998-3-126-191.1.25.6.1;https://zoek.officielebekendmakingen.nl/h-tk-19971998-3-126-191.html;aye;aye;aye;no;;;aye;aye;no;no;;no;no;aye;aye;no;no;De Hoop Scheffer;nl.m.02798;;;motie-De Hoop Scheffer (25600, nr. 4)
commons;1997-1998;3;1997-09-18;25600;5;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-25600-5.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19971998-3-126-191.1.26.3.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19971998-3-126-191?view=html#nl.proc.ob.d.h-tk-19971998-3-126-191.1.26.3.1;https://zoek.officielebekendmakingen.nl/h-tk-19971998-3-126-191.html;aye;aye;aye;no;;;no;aye;no;aye;;no;no;aye;aye;no;no;De Hoop Scheffer;nl.m.02798;;;motie-De Hoop Scheffer (25600, nr. 5)
commons;1997-1998;3;1997-09-18;25600;6;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-25600-6.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19971998-3-126-191.1.26.6.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19971998-3-126-191?view=html#nl.proc.ob.d.h-tk-19971998-3-126-191.1.26.6.1;https://zoek.officielebekendmakingen.nl/h-tk-19971998-3-126-191.html;aye;no;aye;no;;;no;no;no;aye;;no;no;no;no;no;no;De Hoop Scheffer;nl.m.02798;;;motie-De Hoop Scheffer (25600, nr. 6)
commons;1997-1998;3;1997-09-18;25600;7;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-25600-7.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19971998-3-126-191.1.26.9.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19971998-3-126-191?view=html#nl.proc.ob.d.h-tk-19971998-3-126-191.1.26.9.1;https://zoek.officielebekendmakingen.nl/h-tk-19971998-3-126-191.html;aye;aye;aye;no;;;no;aye;no;aye;;no;no;aye;aye;no;no;De Hoop Scheffer;nl.m.02798;;;motie-De Hoop Scheffer (25600, nr. 7)
