#house;legislative-period;session-number;date of vote;dossier nummer;onder nummer;type;outcome;stemmings type;bron amendement op OB;link amendement HTML op PM;link stemming XML op PM;link stemming in context HTML op PM;bron stemming op OB;nl.p.aov;nl.p.cd;nl.p.cda;nl.p.d66;nl.p.fractiebierman;nl.p.fractiehendriks;nl.p.gl;nl.p.gpv;nl.p.groephendriks;nl.p.groepnijpels;nl.p.ou55plus;nl.p.pvda;nl.p.rpf;nl.p.sgp;nl.p.sp;nl.p.vvd;indiener 1, naam volgens stemming;indiener 1, id volgens stemming;indiener 2, naam volgens stemming;indiener 2, id volgens stemming;titel document volgens stemming
commons;1996-1997;3;1996-09-19;24140;26;motie;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-24140-26.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19961997-114-114-2.1.6.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19961997-114-114-2?view=html#nl.proc.ob.d.h-tk-19961997-114-114-2.1.6.1;https://zoek.officielebekendmakingen.nl/h-tk-19961997-114-114-2.html;aye;no;no;aye;;;aye;aye;no;aye;aye;aye;aye;aye;aye;aye;M.B. Vos;nl.m.02547;;;de motie-M.B. Vos over milieuaspecten van de modernisering van de tuinbouwsector ( 24140, nr. 26)
commons;1996-1997;3;1996-09-19;25000;12;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-25000-12.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19961997-115-178.1.32.18.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19961997-115-178?view=html#nl.proc.ob.d.h-tk-19961997-115-178.1.32.18.1;https://zoek.officielebekendmakingen.nl/h-tk-19961997-115-178.html;aye;no;no;no;;;aye;no;no;aye;no;no;no;no;aye;no;Rosenmöller;nl.m.02970;;;motie-Rosenmöller (25000, nr. 12)
commons;1996-1997;3;1996-09-19;25000;13;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-25000-13.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19961997-115-178.1.32.21.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19961997-115-178?view=html#nl.proc.ob.d.h-tk-19961997-115-178.1.32.21.1;https://zoek.officielebekendmakingen.nl/h-tk-19961997-115-178.html;aye;aye;aye;no;;;aye;no;no;aye;no;no;aye;aye;aye;no;Rosenmöller;nl.m.02970;;;motie-Rosenmöller (25000, nr. 13)
commons;1996-1997;3;1996-09-19;25000;14;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-25000-14.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19961997-115-178.1.32.24.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19961997-115-178?view=html#nl.proc.ob.d.h-tk-19961997-115-178.1.32.24.1;https://zoek.officielebekendmakingen.nl/h-tk-19961997-115-178.html;aye;aye;no;no;;;no;no;no;aye;no;no;no;aye;no;aye;Bolkestein;nl.m.02604;;;motie-Bolkestein (25000, nr. 14)
commons;1996-1997;3;1996-09-19;25000;15;motie;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-25000-15.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19961997-115-178.1.32.27.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19961997-115-178?view=html#nl.proc.ob.d.h-tk-19961997-115-178.1.32.27.1;https://zoek.officielebekendmakingen.nl/h-tk-19961997-115-178.html;aye;aye;no;aye;;;aye;no;no;aye;no;aye;no;no;no;aye;Bolkestein;nl.m.02604;;;motie-Bolkestein (25000, nr. 15)
commons;1996-1997;3;1996-09-19;25000;17;motie;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-25000-17.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19961997-115-178.1.32.30.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19961997-115-178?view=html#nl.proc.ob.d.h-tk-19961997-115-178.1.32.30.1;https://zoek.officielebekendmakingen.nl/h-tk-19961997-115-178.html;aye;aye;aye;aye;;;aye;aye;aye;aye;aye;aye;aye;aye;aye;aye;Wolffensperger;nl.m.02817;;;motie-Wolffensperger c.s. (25000, nr. 17)
commons;1996-1997;3;1996-09-19;25000;19).Voorzitter;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/dossier/25000;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19961997-115-178.1.32.33.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19961997-115-178?view=html#nl.proc.ob.d.h-tk-19961997-115-178.1.32.33.1;https://zoek.officielebekendmakingen.nl/h-tk-19961997-115-178.html;no;no;no;no;;;no;no;no;aye;no;no;no;no;no;no;Nijpels-Hezemans;nl.m.02530;Leerkes;nl.m.02527;motie-Nijpels-Hezemans/Leerkes (25000, nr. 19)
commons;1996-1997;3;1996-09-19;25000;20;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-25000-20.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19961997-115-178.1.32.36.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19961997-115-178?view=html#nl.proc.ob.d.h-tk-19961997-115-178.1.32.36.1;https://zoek.officielebekendmakingen.nl/h-tk-19961997-115-178.html;no;no;no;no;;;no;no;no;aye;no;no;no;no;aye;no;Nijpels-Hezemans;nl.m.02530;Leerkes;nl.m.02527;motie-Nijpels-Hezemans/Leerkes (25000, nr. 20)
commons;1996-1997;3;1996-09-19;25000;21;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-25000-21.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19961997-115-178.1.32.39.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19961997-115-178?view=html#nl.proc.ob.d.h-tk-19961997-115-178.1.32.39.1;https://zoek.officielebekendmakingen.nl/h-tk-19961997-115-178.html;no;no;no;no;;;no;no;no;aye;no;no;no;no;no;no;Nijpels-Hezemans;nl.m.02530;Leerkes;nl.m.02527;motie-Nijpels-Hezemans/Leerkes (25000, nr. 21)
commons;1996-1997;3;1996-09-19;25000;23;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-25000-23.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19961997-115-178.1.32.42.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19961997-115-178?view=html#nl.proc.ob.d.h-tk-19961997-115-178.1.32.42.1;https://zoek.officielebekendmakingen.nl/h-tk-19961997-115-178.html;aye;no;aye;no;;;aye;aye;no;aye;no;no;aye;aye;aye;no;Van der Vlies;nl.m.02682;;;motie-Van der Vlies (25000, nr. 23)
